 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 20.01.13 12:00 0.25 0.16 0.24 0.46 0.01 0.21 0.00 0.04 0.00
 -------- 13:00 0.27 0.17 0.24 0.44 0.02 0.21 0.00 0.02 0.00
 -------- 14:00 0.24 0.16 0.24 0.47 0.01 0.20 0.00 0.04 0.01
 -------- 15:00 0.04 0.11 0.31 0.42 0.01 0.17 0.00 0.09 0.01
 -------- 16:00 0.03 0.11 0.22 0.41 0.02 0.18 0.00 0.11 0.01
 20.01.13 17:00 0.02 0.10 0.29 0.39 0.02 0.13 0.00 0.09 0.00
 -------- 18:00 0.03 0.09 0.22 0.37 0.01 0.13 0.00 0.09 0.01
 -------- 19:00 0.03 0.09 0.28 0.38 0.01 0.11 0.00 0.11 0.00
 -------- 20:00 0.03 0.09 0.20 0.36 0.02 0.12 0.00 0.09 0.01
 -------- 21:00 0.03 0.08 0.18 0.34 0.01 0.13 0.00 0.10 0.01
 20.01.13 22:00 0.02 0.06 0.16 0.32 0.01 0.13 0.00 0.07 0.00
 -------- 23:00 0.02 0.06 0.18 0.30 0.01 0.12 0.00 0.07 0.00
 -------- 00:00 0.02 0.06 0.17 0.29 0.02 0.16 0.00 0.09 0.00
 -------- 01:00 0.02 0.08 0.17 0.27 0.01 0.13 0.00 0.05 0.00
 -------- 02:00 0.02 0.05 0.18 0.28 0.01 0.17 0.00 0.07 0.02
 21.01.13 03:00 0.02 0.06 0.16 0.26 0.01 0.15 0.00 0.08 ----
 -------- 04:00 0.01 0.06 0.13 0.25 0.01 0.14 0.00 0.05 0.00
 -------- 05:00 0.01 0.05 0.14 0.24 0.02 0.15 0.00 0.08 0.01
 -------- 06:00 0.01 0.06 0.14 0.25 ---- 0.13 0.00 0.12 0.01
 -------- 07:00 0.02 0.07 0.25 0.30 0.03 0.17 0.00 0.05 0.01
 21.01.13 08:00 0.02 0.09 0.16 0.30 0.01 0.10 0.00 0.10 0.00
 -------- 09:00 0.02 0.08 0.18 0.32 0.01 0.12 0.00 0.09 0.01
 -------- 10:00 0.01 0.07 0.15 0.31 0.01 0.12 0.00 0.08 0.01
 -------- 11:00 0.01 0.09 0.16 0.32 0.01 0.12 0.00 0.08 0.01
 -------- 12:00 0.01 0.10 0.15 0.22 0.01 0.08 0.00 0.07 0.00
 21.01.13 13:00 0.01 0.13 0.14 0.20 0.01 0.07 0.00 0.07 0.01
 -------- 14:00 0.01 0.12 0.15 0.19 0.01 0.10 0.00 0.09 0.00
 -------- 15:00 0.02 0.14 0.16 0.20 0.01 0.10 0.00 0.08 0.00
 -------- 16:00 0.02 0.10 0.15 0.25 0.01 0.11 0.00 0.09 0.00
 -------- 17:00 0.01 0.10 0.19 0.29 0.01 0.10 0.00 0.10 0.00
 21.01.13 18:00 0.01 0.08 0.18 0.32 0.01 0.11 0.00 0.08 0.01
 -------- 19:00 0.01 0.07 0.16 0.33 0.01 0.13 0.00 0.06 0.01
 -------- 20:00 0.02 0.11 0.16 0.33 0.01 0.10 0.00 0.07 0.00
 -------- 21:00 0.03 0.10 0.14 0.34 0.01 0.08 0.00 0.08 0.00
 -------- 22:00 0.02 0.10 0.15 0.33 0.00 0.11 0.00 0.08 0.00
 21.01.13 23:00 0.02 0.13 0.13 0.28 0.01 0.09 0.00 0.07 0.00
 -------- 00:00 0.02 0.12 0.11 0.30 0.01 0.10 0.00 0.08 0.00
 -------- 01:00 0.02 0.09 0.13 0.34 0.01 0.10 0.00 0.07 0.00
 -------- 02:00 0.01 0.14 0.11 0.27 0.00 0.11 0.00 0.07 0.00
 -------- 03:00 0.01 0.15 0.11 0.26 0.01 0.10 0.00 0.08 0.00
 22.01.13 04:00 0.00 0.20 0.13 0.25 0.01 0.07 0.00 0.06 0.00
 -------- 05:00 0.00 0.11 0.10 0.33 0.01 0.11 0.00 0.06 0.00
 -------- 06:00 0.00 0.11 0.12 0.34 0.00 0.08 0.00 0.09 0.00
 -------- 07:00 0.00 0.07 0.14 0.37 0.01 0.12 0.00 0.10 0.01
 -------- 08:00 0.01 0.05 0.16 0.42 0.01 0.13 0.00 0.08 0.01
 22.01.13 09:00 0.00 0.06 0.17 0.39 0.01 0.12 0.00 0.07 0.01
 -------- 10:00 0.00 0.08 0.20 0.41 0.01 0.12 0.00 0.09 0.01
 -------- 11:00 0.00 0.13 0.15 0.33 0.01 0.10 0.00 0.10 0.00
