 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 27.02.13 00:00 0.01 0.25 0.04 0.30 0.01 0.07 0.00 0.09 0.00
 -------- 01:00 0.01 0.29 0.02 0.26 0.00 0.09 0.00 0.07 0.00
 -------- 02:00 0.01 0.34 0.03 0.20 0.01 0.10 0.00 0.06 0.00
 -------- 03:00 0.01 0.34 0.03 0.19 0.01 0.10 0.00 0.08 0.00
 -------- 04:00 0.01 0.33 ---- 0.18 0.00 0.10 0.00 0.06 0.00
 27.02.13 05:00 0.01 0.33 ---- 0.22 0.01 0.09 0.00 0.07 0.00
 -------- 06:00 0.01 0.25 0.02 0.28 0.01 0.12 0.00 0.06 0.00
 -------- 07:00 0.01 0.22 0.02 0.32 0.01 0.10 0.00 0.10 0.00
 -------- 08:00 0.00 0.25 0.04 0.31 0.01 0.09 0.00 0.07 0.00
 -------- 09:00 0.00 0.21 0.04 0.33 0.01 0.11 0.00 0.07 0.00
 27.02.13 10:00 0.00 0.25 0.03 0.28 0.01 0.09 0.00 0.06 0.00
 -------- 11:00 0.00 0.21 0.04 0.31 0.01 0.10 0.00 0.07 0.00
 -------- 12:00 0.00 0.21 0.04 0.30 0.01 0.10 0.00 0.07 0.01
 -------- 13:00 0.00 0.20 0.04 0.29 0.01 0.09 0.00 0.08 0.00
 -------- 14:00 0.00 0.24 0.03 0.26 0.01 0.09 0.00 0.05 0.00
 27.02.13 15:00 0.00 0.22 0.03 0.27 0.01 0.08 0.00 0.07 0.00
 -------- 16:00 0.00 0.20 0.02 0.29 0.01 0.10 0.00 0.07 0.00
 -------- 17:00 0.00 0.23 0.04 0.26 0.01 0.10 0.00 0.06 0.00
 -------- 18:00 0.00 0.29 0.05 0.21 0.01 0.09 0.00 0.07 0.00
 -------- 19:00 0.00 0.28 0.03 0.24 0.01 0.10 0.00 0.07 0.00
 27.02.13 20:00 ---- 0.22 0.02 0.27 0.00 0.09 0.00 0.08 0.00
 -------- 21:00 0.00 0.19 0.02 0.31 0.01 0.10 0.00 0.09 0.00
 -------- 22:00 0.00 0.09 0.06 0.44 0.01 0.10 0.00 0.07 0.00
 -------- 23:00 0.00 0.08 0.08 0.48 0.01 0.08 0.00 0.09 0.00
 -------- 00:00 0.00 0.05 0.08 0.49 0.01 0.11 0.00 0.08 0.00
 28.02.13 01:00 0.00 0.10 0.05 0.38 0.01 0.10 0.00 0.07 0.00
 -------- 02:00 0.00 0.16 0.03 0.28 0.01 0.10 0.00 0.06 0.00
 -------- 03:00 0.00 0.21 0.02 0.23 0.00 0.08 0.00 0.08 0.00
 -------- 04:00 0.00 0.25 0.01 0.19 0.01 0.09 0.00 0.07 0.00
 -------- 05:00 0.00 0.29 0.00 0.17 0.01 0.11 0.00 0.06 0.00
 28.02.13 06:00 0.00 0.23 0.01 0.22 0.01 0.11 0.00 0.08 0.01
 -------- 07:00 ---- 0.20 ---- 0.23 0.00 0.08 0.00 0.08 0.00
 -------- 08:00 ---- 0.25 0.03 0.23 0.01 0.09 0.00 0.08 0.00
 -------- 09:00 ---- 0.21 ---- 0.24 0.01 0.10 0.00 0.10 0.00
 -------- 10:00 ---- 0.22 0.01 0.27 0.01 0.11 0.00 0.06 0.00
 28.02.13 11:00 ---- 0.21 0.01 0.26 0.00 0.10 0.00 0.08 0.00
 -------- 12:00 ---- 0.17 0.03 0.29 0.01 0.11 0.00 0.10 0.01
 -------- 13:00 ---- 0.20 0.02 0.27 0.01 0.12 0.00 0.07 0.00
 -------- 14:00 0.00 0.21 0.02 0.28 0.01 0.10 0.00 0.06 0.00
 -------- 15:00 0.00 0.20 0.03 0.30 0.01 0.11 0.00 0.06 0.00
 28.02.13 16:00 0.00 0.21 0.05 0.29 0.00 0.08 0.00 0.06 0.00
 -------- 17:00 0.00 0.18 0.03 0.29 0.01 0.13 0.00 0.08 0.01
 -------- 18:00 0.00 0.15 0.06 0.35 0.01 0.13 0.00 0.08 0.00
 -------- 19:00 0.00 0.16 0.08 0.35 0.01 0.10 0.00 0.07 0.00
 -------- 20:00 0.00 0.16 0.08 0.37 0.01 0.09 0.00 0.11 0.00
 28.02.13 21:00 0.00 0.16 0.05 0.32 0.01 0.11 0.00 0.08 0.00
 -------- 22:00 0.00 0.11 0.05 0.40 0.01 0.11 0.00 0.07 0.00
 -------- 23:00 0.00 0.12 0.07 0.38 0.01 0.11 0.00 0.06 0.00
