 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 21.03.13 12:00 0.01 0.29 0.14 0.22 0.00 0.11 0.00 0.14 0.02
 -------- 13:00 0.01 0.32 0.12 0.20 0.01 0.11 0.00 0.06 0.01
 -------- 14:00 0.00 0.35 0.12 0.18 0.01 0.10 0.00 0.06 0.01
 -------- 15:00 0.00 0.32 0.08 0.20 0.01 0.11 0.00 0.10 0.01
 -------- 16:00 0.00 0.34 0.10 0.17 0.01 0.08 0.00 0.07 0.01
 21.03.13 17:00 0.00 0.33 0.11 0.18 0.01 0.09 0.00 0.07 0.01
 -------- 18:00 0.00 0.32 0.13 0.22 0.01 0.08 0.00 0.06 0.01
 -------- 19:00 0.00 0.36 0.10 0.17 0.01 0.07 0.00 0.09 0.00
 -------- 20:00 0.00 0.33 0.12 0.20 0.01 0.08 0.00 0.08 0.01
 -------- 21:00 0.00 0.37 0.10 0.16 0.01 0.09 0.00 0.08 0.01
 21.03.13 22:00 0.01 0.34 0.14 0.21 0.01 0.06 0.00 0.09 0.01
 -------- 23:00 0.01 0.33 0.13 0.22 0.00 0.07 0.00 0.09 0.00
 -------- 00:00 0.01 0.33 0.12 0.22 0.01 0.06 0.00 0.07 0.01
 -------- 01:00 0.01 0.29 0.12 0.24 0.01 0.04 0.00 0.06 0.00
 -------- 02:00 0.01 0.29 0.13 0.23 0.01 0.06 0.00 0.08 0.00
 22.03.13 03:00 0.01 0.29 0.10 0.24 0.00 0.04 0.00 0.08 0.01
 -------- 04:00 0.01 0.09 0.16 0.50 0.01 0.08 0.00 0.10 0.01
 -------- 05:00 0.01 0.10 0.12 0.44 0.01 0.08 0.00 0.06 0.01
 -------- 06:00 0.01 0.18 0.11 0.34 0.00 0.05 0.00 0.06 0.01
 -------- 07:00 0.01 0.17 0.13 0.33 0.01 0.04 0.00 0.08 0.01
 22.03.13 08:00 0.01 0.14 0.14 0.37 0.01 0.03 0.00 0.08 0.01
 -------- 09:00 0.01 0.13 0.19 0.44 0.02 0.06 0.00 0.09 0.01
 -------- 10:00 0.02 0.17 0.18 0.42 0.01 0.06 0.00 0.10 0.01
 -------- 11:00 0.02 0.19 0.21 0.43 0.01 0.06 0.00 0.09 0.01
 -------- 12:00 0.01 0.26 0.17 0.34 0.01 0.06 0.00 0.10 0.00
 22.03.13 13:00 0.01 0.35 0.11 0.18 0.01 0.10 0.00 0.08 0.01
 -------- 14:00 0.01 0.33 0.13 0.20 0.00 0.10 0.00 0.09 0.00
 -------- 15:00 0.01 0.34 0.13 0.17 0.01 0.08 0.00 0.09 0.01
 -------- 16:00 0.00 0.34 0.13 0.16 0.01 0.08 0.00 0.10 0.01
 -------- 17:00 0.00 0.28 0.15 0.23 0.00 0.09 0.00 0.09 0.01
 22.03.13 18:00 0.01 0.23 0.14 0.25 0.00 0.09 0.00 0.09 0.01
 -------- 19:00 0.01 0.22 0.14 0.24 0.01 0.09 0.00 0.07 0.00
 -------- 20:00 0.01 0.22 0.08 0.21 0.00 0.07 0.00 0.06 0.01
 -------- 21:00 0.00 0.21 0.05 0.21 0.01 0.06 0.00 0.06 0.01
 -------- 22:00 0.00 0.20 0.06 0.19 0.00 0.05 0.00 0.06 0.00
 22.03.13 23:00 0.00 0.20 0.06 0.17 0.01 0.03 0.00 0.05 0.01
 -------- 00:00 0.00 0.16 0.04 0.22 0.01 0.03 0.00 0.04 0.01
 -------- 01:00 0.01 0.18 0.05 0.20 0.00 0.03 0.00 0.06 0.01
 -------- 02:00 0.01 0.17 0.05 0.21 0.01 0.02 0.00 0.04 0.01
 -------- 03:00 0.01 0.15 0.07 0.25 0.00 0.02 0.00 0.04 0.01
 23.03.13 04:00 0.01 0.14 0.07 0.29 0.01 0.05 0.00 0.04 0.01
 -------- 05:00 0.01 0.17 0.07 0.27 0.00 0.04 0.00 0.05 0.01
 -------- 06:00 0.01 0.18 0.04 0.25 0.01 0.03 0.00 0.05 0.01
 -------- 07:00 0.01 0.16 0.05 0.27 0.00 0.04 0.00 0.05 0.01
 -------- 08:00 0.02 0.14 0.04 0.30 0.00 0.03 0.00 0.03 0.01
 23.03.13 09:00 0.02 0.16 0.07 0.28 0.01 0.06 0.00 0.05 0.01
 -------- 10:00 0.02 0.22 0.07 0.26 0.01 0.06 0.00 0.04 0.01
 -------- 11:00 0.01 0.28 0.04 0.21 0.01 0.05 0.00 0.06 0.01
