 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 19.12.12 12:00 0.02 0.13 0.13 0.28 0.00 0.10 0.00 0.06 0.00
 -------- 13:00 0.02 0.14 0.13 0.27 0.01 0.13 0.00 0.06 0.00
 -------- 14:00 0.02 0.13 0.17 0.28 0.01 0.12 0.00 0.07 0.00
 -------- 15:00 0.02 0.13 0.19 0.30 0.00 0.10 0.00 0.07 0.00
 -------- 16:00 0.11 0.12 0.17 0.35 0.01 0.12 0.00 0.04 0.00
 19.12.12 17:00 0.04 0.09 0.14 0.36 0.01 0.11 0.00 0.07 0.00
 -------- 18:00 0.02 0.07 0.15 0.35 0.01 0.11 0.00 0.06 0.00
 -------- 19:00 0.03 0.08 0.16 0.37 0.01 0.11 0.00 0.08 0.00
 -------- 20:00 0.05 0.10 0.15 0.35 0.00 0.11 0.00 0.06 0.00
 -------- 21:00 0.03 0.08 0.14 0.36 0.00 0.12 0.00 0.06 0.00
 19.12.12 22:00 0.01 0.08 0.16 0.36 0.00 0.10 0.00 0.07 0.00
 -------- 23:00 0.02 0.09 0.15 0.36 0.01 0.10 0.00 0.07 0.00
 -------- 00:00 0.02 0.07 0.15 0.36 0.01 0.12 0.00 0.08 0.00
 -------- 01:00 0.02 0.07 0.15 0.35 0.01 0.13 0.00 0.09 0.00
 -------- 02:00 0.02 0.10 0.17 0.33 0.00 0.06 0.00 0.08 0.00
 20.12.12 03:00 0.03 0.10 0.15 0.33 0.00 0.09 0.00 0.08 0.00
 -------- 04:00 0.02 0.08 0.13 0.33 0.01 0.13 0.00 0.08 0.00
 -------- 05:00 0.02 0.08 0.14 0.32 0.00 0.12 0.00 0.07 0.00
 -------- 06:00 0.02 0.08 0.15 0.33 0.00 0.11 0.00 0.08 0.00
 -------- 07:00 0.03 0.09 0.15 0.34 0.01 0.09 0.00 0.07 0.00
 20.12.12 08:00 0.05 0.09 0.14 0.35 0.01 0.11 0.00 0.07 0.00
 -------- 09:00 0.10 0.12 0.17 0.37 0.01 0.11 0.00 0.06 0.00
 -------- 10:00 0.10 0.10 0.17 0.38 0.01 0.14 0.00 0.06 0.01
 -------- 11:00 0.05 0.09 0.17 0.37 0.01 0.15 0.00 0.07 0.01
 -------- 12:00 0.04 0.12 0.17 0.33 0.01 0.12 0.00 0.08 0.00
 20.12.12 13:00 0.06 0.15 0.19 0.35 0.00 0.11 0.00 0.08 0.00
 -------- 14:00 0.10 0.17 0.22 0.42 0.01 0.13 0.00 0.08 0.00
 -------- 15:00 0.18 0.19 0.21 0.44 0.01 0.14 0.00 0.04 0.01
 -------- 16:00 0.05 0.09 0.24 0.44 0.01 0.19 0.00 0.10 0.00
 -------- 17:00 0.04 0.10 0.20 0.41 0.01 0.15 0.00 0.10 0.01
 20.12.12 18:00 0.02 0.09 0.22 0.39 0.01 0.13 0.00 0.09 0.00
 -------- 19:00 0.02 0.08 0.23 0.39 0.01 0.14 0.00 0.08 0.01
 -------- 20:00 0.02 0.08 0.17 0.37 0.01 0.14 0.00 0.08 0.01
 -------- 21:00 0.02 0.09 0.16 0.36 0.01 0.12 0.00 0.08 0.01
 -------- 22:00 0.05 0.10 0.15 0.35 0.01 0.11 0.00 0.06 0.00
 20.12.12 23:00 0.07 0.11 0.15 0.34 0.01 0.10 0.00 0.05 0.00
 -------- 00:00 0.07 0.12 0.16 0.34 0.00 0.10 0.00 0.07 0.00
 -------- 01:00 0.11 0.13 0.16 0.34 0.01 0.11 0.00 0.06 0.00
 -------- 02:00 0.10 0.15 0.17 0.33 0.01 0.10 0.00 0.06 0.00
 -------- 03:00 0.03 0.11 0.16 0.31 0.01 0.12 0.00 0.07 0.00
 21.12.12 04:00 0.03 0.10 0.16 0.31 0.01 0.12 0.00 0.07 0.00
 -------- 05:00 0.03 0.07 0.15 0.30 0.01 0.14 0.00 0.07 0.00
 -------- 06:00 0.05 0.10 0.14 0.31 0.00 0.11 0.00 0.07 0.00
 -------- 07:00 0.07 0.11 0.15 0.32 0.01 0.11 0.00 0.06 0.00
 -------- 08:00 0.08 0.11 0.14 0.32 0.01 0.12 0.00 0.06 0.01
 21.12.12 09:00 0.10 0.13 0.17 0.34 0.01 0.13 0.00 0.05 0.00
 -------- 10:00 0.11 0.15 0.17 0.34 0.01 0.13 0.00 0.05 0.01
 -------- 11:00 0.06 0.12 0.19 0.34 0.01 0.15 0.00 0.07 0.01
