 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 02.05.13 00:00 0.02 0.18 0.27 0.59 0.01 0.11 0.00 2.26 0.00
 -------- 01:00 0.02 0.16 0.26 0.60 0.01 0.11 0.00 2.35 0.00
 -------- 02:00 0.02 0.19 0.27 0.62 0.00 0.12 0.00 2.50 ----
 -------- 03:00 0.02 0.14 0.25 0.63 0.01 0.12 0.00 2.49 ----
 -------- 04:00 0.01 0.12 0.21 0.51 0.01 0.05 0.00 1.01 0.00
 02.05.13 05:00 0.01 0.11 0.22 0.55 0.01 0.09 0.00 1.36 0.00
 -------- 06:00 0.01 0.08 0.23 0.54 0.01 0.08 0.00 1.52 0.00
 -------- 07:00 0.01 0.10 0.19 0.45 0.01 0.04 0.00 0.62 0.00
 -------- 08:00 0.01 0.16 0.20 0.44 0.01 0.02 0.00 0.42 0.00
 -------- 09:00 0.01 0.22 0.19 0.39 0.01 ---- 0.00 0.67 0.00
 02.05.13 10:00 0.01 0.32 0.17 0.32 0.00 0.05 0.00 0.59 0.00
 -------- 11:00 0.00 0.47 0.10 0.17 0.00 0.05 0.00 0.44 0.00
 -------- 12:00 0.00 0.52 0.12 0.13 0.01 0.04 0.00 0.25 0.00
 -------- 13:00 0.00 0.51 0.12 0.15 0.01 0.06 0.00 0.26 0.00
 -------- 14:00 0.00 0.51 0.12 0.14 0.01 0.06 0.00 0.28 0.00
 02.05.13 15:00 0.00 0.53 0.15 0.18 0.01 0.05 0.00 0.51 0.00
 -------- 16:00 0.00 0.56 0.14 0.14 0.00 0.05 0.00 0.26 0.00
 -------- 17:00 0.00 0.49 0.14 0.19 0.00 0.06 0.00 0.13 0.00
 -------- 18:00 0.00 0.48 0.15 0.21 0.00 0.04 0.00 0.14 0.00
 -------- 19:00 0.00 0.42 0.14 0.23 0.01 0.06 0.00 0.13 0.00
 02.05.13 20:00 0.00 0.35 0.16 0.28 0.01 0.05 0.00 0.16 0.00
 -------- 21:00 0.00 0.22 0.17 0.43 0.01 0.02 0.00 0.20 0.01
 -------- 22:00 0.01 0.11 0.23 0.57 0.01 0.05 0.00 0.35 0.01
 -------- 23:00 0.01 0.10 0.23 0.57 0.01 0.05 0.00 0.43 0.01
 -------- 00:00 0.01 0.13 0.21 0.54 0.01 0.04 0.00 0.23 0.01
 03.05.13 01:00 0.01 0.26 0.21 0.43 0.01 0.01 0.00 0.18 0.01
 -------- 02:00 0.02 0.34 0.20 0.36 0.01 0.03 0.00 0.23 0.00
 -------- 03:00 0.01 0.44 0.15 0.16 0.01 0.06 0.00 0.17 0.00
 -------- 04:00 0.01 0.44 0.15 0.19 0.01 0.04 0.00 0.16 0.01
 -------- 05:00 0.01 0.38 0.15 0.23 0.01 0.05 0.00 0.15 0.00
 03.05.13 06:00 0.01 0.31 0.19 0.29 0.00 0.02 0.00 0.19 0.00
 -------- 07:00 0.01 0.33 0.19 0.27 0.01 0.02 0.00 0.15 0.00
 -------- 08:00 0.00 0.33 0.18 0.27 0.01 0.02 0.00 0.15 0.01
 -------- 09:00 0.00 0.31 0.21 0.31 0.01 0.02 0.00 0.57 0.00
 -------- 10:00 0.00 0.33 0.21 0.32 0.00 0.04 0.00 1.56 0.00
 03.05.13 11:00 0.00 0.33 0.22 0.33 0.00 0.04 0.00 0.80 0.00
 -------- 12:00 0.01 0.37 0.22 0.30 0.01 0.07 0.00 0.31 0.00
 -------- 13:00 0.00 0.41 0.20 0.28 0.01 0.07 0.00 0.48 0.00
 -------- 14:00 0.00 0.48 0.20 0.24 0.00 0.08 0.00 0.33 0.00
 -------- 15:00 0.00 0.50 0.16 0.20 0.01 0.06 0.00 0.34 0.00
 03.05.13 16:00 0.00 0.48 0.18 0.20 0.01 0.06 0.00 0.22 0.00
 -------- 17:00 0.00 0.46 0.17 0.22 0.01 0.06 0.00 0.25 0.00
 -------- 18:00 0.03 0.39 0.18 0.31 0.01 0.05 0.00 0.25 0.00
 -------- 19:00 0.03 0.33 0.20 0.36 0.01 0.04 0.00 0.23 0.01
 -------- 20:00 0.04 0.30 0.22 0.38 0.01 0.05 0.00 0.21 0.00
 03.05.13 21:00 0.01 0.22 0.22 0.47 0.01 0.02 0.00 0.19 0.01
 -------- 22:00 0.02 0.12 0.24 0.56 0.01 0.03 0.00 0.22 0.01
 -------- 23:00 0.02 0.15 0.26 0.56 0.01 0.01 0.00 0.22 0.01
