 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 01.10.12 23:00 0.00 0.07 0.24 0.32 0.01 0.10 0.00 0.07 0.00
 -------- 00:00 0.00 0.08 0.24 0.32 0.01 0.10 0.00 0.08 0.00
 -------- 01:00 0.01 0.08 0.23 0.30 0.01 0.10 0.00 0.07 0.01
 -------- 02:00 0.01 0.07 0.22 0.28 0.01 0.10 0.00 0.07 0.00
 -------- 03:00 0.01 0.06 0.22 0.27 0.01 0.10 0.00 0.07 0.00
 02.10.12 04:00 0.01 0.05 0.19 0.26 0.01 0.10 0.00 0.06 0.00
 -------- 05:00 0.00 0.07 0.20 0.26 0.01 0.10 0.00 0.07 0.00
 -------- 06:00 0.00 0.06 0.21 0.26 0.01 0.10 0.00 0.07 0.00
 -------- 07:00 0.00 0.03 0.18 0.26 0.01 0.10 0.00 0.08 0.01
 -------- 08:00 0.00 0.06 0.21 0.27 0.01 0.10 0.00 0.08 0.01
 02.10.12 09:00 0.01 0.06 0.23 0.29 0.01 0.10 0.00 0.08 0.01
 -------- 10:00 0.01 0.09 0.23 0.30 0.01 0.10 0.00 0.08 0.01
 -------- 11:00 0.01 0.12 0.25 0.31 0.01 0.10 0.00 0.08 0.00
 -------- 12:00 0.01 0.15 0.24 0.26 0.01 0.10 0.00 0.08 0.00
 -------- 13:00 0.01 0.18 0.22 0.25 0.01 0.10 0.00 0.08 0.00
 02.10.12 14:00 0.00 0.21 0.23 0.24 0.01 0.10 0.00 0.08 0.00
 -------- 15:00 0.00 0.16 0.23 0.27 0.01 0.10 0.00 0.08 0.00
 -------- 16:00 0.00 0.18 0.23 0.26 0.01 0.10 0.00 0.07 0.00
 -------- 17:00 0.01 0.11 0.26 0.35 0.01 0.10 0.00 0.08 0.00
 -------- 18:00 0.00 0.09 0.26 0.36 0.01 0.10 0.00 0.08 0.01
 02.10.12 19:00 0.01 0.10 0.28 0.39 0.02 0.10 0.00 0.08 0.01
 -------- 20:00 0.01 0.08 0.30 0.38 0.01 0.10 0.00 0.08 0.01
 -------- 21:00 0.00 0.06 0.27 0.36 0.01 0.10 0.00 0.08 0.00
 -------- 22:00 0.01 0.10 0.29 0.35 0.01 0.10 0.00 0.08 0.01
 -------- 23:00 0.01 0.08 0.27 0.35 0.01 0.10 0.00 0.07 0.00
 03.10.12 00:00 0.01 0.08 0.24 0.32 0.01 0.10 0.00 0.07 0.00
 -------- 01:00 0.00 0.07 0.23 0.29 0.01 0.10 0.00 0.08 0.00
 -------- 02:00 0.00 0.07 0.22 0.29 0.01 0.10 0.00 0.08 0.00
 -------- 03:00 0.00 0.08 0.22 0.27 0.01 0.10 0.00 0.05 0.00
 -------- 04:00 0.00 0.09 0.20 0.26 0.01 0.10 0.00 0.06 0.00
 03.10.12 05:00 0.00 0.12 0.21 0.22 0.01 0.10 0.00 0.07 0.00
 -------- 06:00 0.00 0.11 0.23 0.23 0.01 0.10 0.00 0.06 0.00
 -------- 07:00 0.00 0.09 0.22 0.26 0.01 0.10 0.00 0.06 0.00
 -------- 08:00 0.00 0.09 0.23 0.28 0.01 0.10 0.00 0.08 0.00
 -------- 09:00 0.00 0.09 0.25 0.29 0.01 0.10 0.00 0.08 0.00
 03.10.12 10:00 0.00 0.09 0.25 0.29 0.01 0.10 0.00 0.08 0.00
 -------- 11:00 0.01 0.10 0.24 0.29 0.01 0.10 0.00 0.08 0.00
 -------- 12:00 0.01 0.10 0.24 0.27 0.01 0.10 0.00 0.08 0.00
 -------- 13:00 0.01 0.10 0.26 0.27 0.01 0.10 0.00 0.08 0.00
 -------- 14:00 0.01 0.11 0.26 0.27 0.01 0.10 0.00 0.08 0.00
 03.10.12 15:00 0.01 0.09 0.26 0.28 0.01 0.10 0.00 0.08 0.00
 -------- 16:00 0.01 0.08 0.26 0.29 0.01 0.10 0.00 0.08 0.01
 -------- 17:00 0.01 0.08 0.26 0.30 0.01 0.10 0.00 0.08 0.01
 -------- 18:00 0.01 0.07 0.24 0.30 0.01 0.10 0.00 0.07 0.00
 -------- 19:00 0.01 0.07 0.25 0.30 0.01 0.10 0.00 0.08 0.01
 03.10.12 20:00 0.01 0.07 0.24 0.28 0.01 0.10 0.00 0.08 0.00
 -------- 21:00 0.01 0.07 0.24 0.27 0.01 0.10 0.00 0.08 0.01
 -------- 22:00 0.01 0.08 0.26 0.27 0.01 0.10 0.00 0.08 0.00
