 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 26.03.13 12:00 0.00 0.33 0.07 0.15 0.00 0.10 0.00 0.08 0.00
 -------- 13:00 0.00 0.35 0.09 0.16 0.00 0.09 0.00 0.09 0.00
 -------- 14:00 0.00 0.34 0.10 0.15 0.00 0.11 0.00 0.09 0.01
 -------- 15:00 0.00 0.38 0.10 0.15 0.00 0.10 0.00 0.07 0.01
 -------- 16:00 0.00 0.43 0.10 0.11 0.01 0.11 0.00 0.05 0.00
 26.03.13 17:00 0.00 0.44 0.09 0.10 0.01 0.12 0.00 0.06 0.01
 -------- 18:00 0.00 0.38 0.08 0.16 0.01 0.11 0.00 0.06 0.01
 -------- 19:00 0.00 0.36 0.10 0.18 0.01 0.10 0.00 0.07 0.00
 -------- 20:00 0.00 0.33 0.11 0.21 0.01 0.09 0.00 0.06 0.01
 -------- 21:00 0.00 0.28 0.11 0.29 0.01 0.10 0.00 0.06 0.01
 26.03.13 22:00 0.00 0.21 0.11 0.37 0.00 0.07 0.00 0.07 0.01
 -------- 23:00 0.01 0.21 0.11 0.38 0.01 0.08 0.00 0.10 0.01
 -------- 00:00 0.01 0.19 0.11 0.40 0.01 0.09 0.00 0.09 0.01
 -------- 01:00 0.01 0.19 0.12 0.38 0.01 0.07 0.00 0.08 0.00
 -------- 02:00 0.01 0.10 0.15 0.51 0.01 0.14 0.00 0.08 0.01
 27.03.13 03:00 0.01 0.08 0.11 0.58 0.01 0.14 0.00 0.06 0.01
 -------- 04:00 0.01 0.08 0.14 0.53 0.01 0.13 0.00 0.06 0.01
 -------- 05:00 0.01 0.08 0.14 0.53 0.01 0.15 0.00 0.08 0.01
 -------- 06:00 0.01 0.07 0.13 0.53 0.01 0.12 0.00 0.05 0.01
 -------- 07:00 0.01 0.06 0.15 0.56 0.01 0.09 0.00 0.05 0.01
 27.03.13 08:00 0.01 0.09 0.12 0.50 0.01 0.11 0.00 0.06 0.01
 -------- 09:00 0.01 0.16 0.16 0.44 0.01 0.05 0.00 0.07 0.01
 -------- 10:00 0.01 0.18 0.13 0.40 0.01 0.07 0.00 0.08 0.01
 -------- 11:00 0.01 0.27 0.11 0.31 0.01 0.07 0.00 0.08 0.01
 -------- 12:00 0.01 0.34 0.07 0.20 0.01 0.07 0.00 0.09 0.01
 27.03.13 13:00 0.00 0.34 0.09 0.19 0.01 0.08 0.00 0.08 0.01
 -------- 14:00 0.01 0.39 0.10 0.14 0.01 0.11 0.00 0.08 0.01
 -------- 15:00 0.00 0.42 0.10 0.13 0.00 0.10 0.00 0.08 0.00
 -------- 16:00 0.00 0.45 0.08 0.12 0.00 0.09 0.00 0.06 0.01
 -------- 17:00 0.00 0.44 0.11 0.13 0.01 0.12 0.00 0.08 0.01
 27.03.13 18:00 0.00 0.41 0.11 0.21 0.01 0.10 0.00 0.05 0.01
 -------- 19:00 0.00 0.40 0.12 0.23 0.01 0.11 0.00 0.06 0.01
 -------- 20:00 0.00 0.34 0.12 0.29 0.01 0.09 0.00 0.07 0.01
 -------- 21:00 0.00 0.18 0.12 0.47 0.01 0.05 0.00 0.07 0.01
 -------- 22:00 0.01 0.09 0.16 0.60 0.01 0.10 0.00 0.09 0.01
 27.03.13 23:00 0.01 0.08 0.14 0.59 0.01 0.10 0.00 0.07 0.01
 -------- 00:00 0.01 0.07 0.15 0.59 0.01 0.11 0.00 0.07 0.01
 -------- 01:00 0.01 0.08 0.17 0.59 0.01 0.12 0.00 0.08 0.01
 -------- 02:00 0.01 0.09 0.17 0.58 0.01 0.14 0.00 0.05 0.01
 -------- 03:00 0.01 0.08 0.14 0.56 0.00 0.12 0.00 0.05 0.01
 28.03.13 04:00 0.01 0.11 0.10 0.48 0.01 0.16 0.00 0.06 0.00
 -------- 05:00 0.01 0.10 0.11 0.48 0.01 0.13 0.00 0.05 0.01
 -------- 06:00 0.00 0.08 0.13 0.50 0.01 0.13 0.00 0.05 0.01
 -------- 07:00 0.01 0.07 0.13 0.51 0.01 0.15 0.00 0.04 0.01
 -------- 08:00 0.00 0.12 0.13 0.46 0.01 0.10 0.00 0.06 0.01
 28.03.13 09:00 0.01 0.19 0.11 0.38 0.01 0.05 0.00 0.06 0.01
 -------- 10:00 0.01 0.22 0.11 0.36 0.01 0.06 0.00 0.09 0.00
 -------- 11:00 0.01 0.26 0.12 0.29 0.00 0.07 0.00 0.05 0.01
