 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 27.09.12 00:00 0.01 0.08 0.23 0.27 0.01 0.10 0.00 0.07 0.01
 -------- 01:00 0.01 0.08 0.23 0.26 0.01 0.10 0.00 0.08 0.01
 -------- 02:00 0.01 0.10 0.25 0.28 0.01 0.10 0.00 0.09 0.01
 -------- 03:00 0.01 0.10 0.21 0.24 0.02 0.10 0.00 0.10 0.01
 -------- 04:00 0.00 0.06 0.17 0.22 0.02 0.10 0.00 0.09 0.01
 27.09.12 05:00 0.00 0.08 0.20 0.24 0.01 0.10 0.00 0.10 0.01
 -------- 06:00 0.00 0.07 0.19 0.25 0.02 0.10 0.00 0.11 0.01
 -------- 07:00 0.01 0.07 0.21 0.31 0.02 0.10 0.00 0.14 0.01
 -------- 08:00 0.01 0.10 0.24 0.34 0.02 0.10 0.00 0.13 0.01
 -------- 09:00 0.02 0.12 0.26 0.35 0.01 0.10 0.00 0.10 0.01
 27.09.12 10:00 0.01 0.09 0.23 0.33 0.01 0.10 0.00 0.08 0.01
 -------- 11:00 0.01 0.09 0.24 0.31 0.01 0.10 0.00 0.08 0.00
 -------- 12:00 0.01 0.10 0.24 0.31 0.01 0.10 0.00 0.06 0.00
 -------- 13:00 0.01 0.16 0.26 0.29 0.01 0.10 0.00 0.08 0.00
 -------- 14:00 0.01 0.13 0.25 0.31 0.01 0.10 0.00 0.08 0.00
 27.09.12 15:00 0.01 0.12 0.28 0.34 0.01 0.10 0.00 0.07 0.01
 -------- 16:00 0.01 0.12 0.26 0.34 0.01 0.10 0.00 0.08 0.00
 -------- 17:00 0.01 0.11 0.26 0.33 0.01 0.10 0.00 0.05 0.00
 -------- 18:00 0.02 0.10 0.29 0.37 0.01 0.10 0.00 0.08 0.00
 -------- 19:00 0.02 0.10 0.30 0.38 0.01 0.10 0.00 0.07 0.01
 27.09.12 20:00 0.01 0.09 0.29 0.39 0.01 0.10 0.00 0.08 0.01
 -------- 21:00 0.01 0.06 0.27 0.37 0.01 0.10 0.00 0.06 0.00
 -------- 22:00 0.01 0.06 0.27 0.37 0.01 0.10 0.00 0.08 0.00
 -------- 23:00 0.01 0.10 0.25 0.33 0.01 0.10 0.00 0.07 0.00
 -------- 00:00 0.01 0.10 0.24 0.33 0.01 0.10 0.00 0.08 0.00
 28.09.12 01:00 0.00 0.14 0.23 0.28 0.01 0.10 0.00 0.08 0.00
 -------- 02:00 0.00 0.21 0.23 0.24 0.01 0.10 0.00 0.08 0.00
 -------- 03:00 0.00 0.26 0.22 0.18 0.01 0.10 0.00 0.08 0.00
 -------- 04:00 0.00 0.30 0.23 0.16 0.01 0.10 0.00 0.08 0.00
 -------- 05:00 0.01 0.31 0.23 0.17 0.01 0.10 0.00 0.08 0.00
 28.09.12 06:00 0.01 0.27 0.24 0.20 0.01 0.10 0.00 0.08 0.00
 -------- 07:00 0.01 0.23 0.23 0.26 0.01 0.10 0.00 0.06 0.00
 -------- 08:00 0.01 0.19 0.23 0.29 0.01 0.10 0.00 0.08 0.00
 -------- 09:00 0.01 0.20 0.24 0.30 0.01 0.10 0.00 0.08 0.00
 -------- 10:00 0.01 0.19 0.26 0.32 0.01 0.10 0.00 0.08 0.00
 28.09.12 11:00 0.01 0.20 0.26 0.33 0.01 0.10 0.00 0.07 0.00
 -------- 12:00 0.01 0.27 0.24 0.29 0.01 0.10 0.00 0.07 0.00
 -------- 13:00 0.01 0.32 0.23 0.28 0.01 0.10 0.00 0.08 0.00
 -------- 14:00 0.01 0.30 0.26 0.32 0.01 0.10 0.00 0.08 0.00
 -------- 15:00 0.01 0.31 0.24 0.30 0.01 0.10 0.00 0.08 0.00
 28.09.12 16:00 0.01 0.23 0.26 0.38 0.01 0.10 0.00 0.08 0.00
 -------- 17:00 0.01 0.25 0.26 0.37 0.01 0.10 0.00 0.08 0.00
 -------- 18:00 0.01 0.19 0.27 0.44 0.01 0.10 0.00 0.08 0.00
 -------- 19:00 0.01 0.19 0.30 0.47 0.01 0.10 0.00 0.08 0.01
 -------- 20:00 0.01 0.21 0.28 0.42 0.01 0.10 0.00 0.08 0.00
 28.09.12 21:00 0.00 0.34 0.23 0.25 0.01 0.10 0.00 0.08 0.00
 -------- 22:00 0.00 0.27 0.19 0.21 0.01 0.10 0.00 0.06 0.00
 -------- 23:00 0.00 0.21 0.21 0.25 0.01 0.10 0.00 0.05 0.00
