 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 05.12.12 23:00 0.01 0.06 0.19 0.32 0.01 0.09 0.00 0.07 0.00
 -------- 00:00 0.01 0.07 0.16 0.35 0.01 0.08 0.00 0.08 0.00
 -------- 01:00 0.01 0.08 0.14 0.28 0.01 0.08 0.00 0.07 0.01
 -------- 02:00 0.01 0.06 0.19 0.31 0.01 0.10 0.00 0.06 0.00
 -------- 03:00 0.01 0.07 0.17 0.32 0.01 0.09 0.00 0.07 0.00
 06.12.12 04:00 0.01 0.07 0.16 0.30 0.01 0.10 0.00 0.06 0.01
 -------- 05:00 0.01 0.08 0.16 0.28 0.01 0.09 0.00 0.07 0.00
 -------- 06:00 0.01 0.08 0.15 0.28 0.01 0.09 0.00 0.08 0.00
 -------- 07:00 0.01 0.08 0.18 0.30 0.01 0.09 0.00 0.07 0.01
 -------- 08:00 0.01 0.08 0.17 0.33 0.02 0.10 0.00 0.08 0.00
 06.12.12 09:00 0.00 0.09 0.15 0.32 0.01 0.10 0.00 0.08 0.01
 -------- 10:00 0.01 0.08 0.18 0.35 0.01 0.08 0.00 0.08 0.01
 -------- 11:00 0.01 0.07 0.18 0.34 0.01 0.13 0.00 0.10 0.00
 -------- 12:00 0.01 0.09 0.15 0.33 0.01 0.09 0.00 0.10 0.01
 -------- 13:00 0.01 0.08 0.15 0.33 0.01 0.10 0.00 0.09 0.01
 06.12.12 14:00 0.01 0.09 0.18 0.32 0.01 0.08 0.00 0.06 0.00
 -------- 15:00 0.00 0.09 0.18 0.30 0.01 0.09 0.00 0.09 0.00
 -------- 16:00 0.00 0.10 0.15 0.27 0.01 0.10 0.00 0.07 0.01
 -------- 17:00 0.00 0.12 0.10 0.21 0.01 0.08 0.00 0.07 0.01
 -------- 18:00 0.00 0.11 0.12 0.24 0.00 0.12 0.00 0.08 0.00
 06.12.12 19:00 0.01 0.07 0.13 0.27 0.01 0.13 0.00 0.07 0.00
 -------- 20:00 0.01 0.08 0.15 0.27 0.00 0.11 0.00 0.06 0.01
 -------- 21:00 0.09 0.11 0.15 0.26 0.01 0.09 0.00 0.07 0.00
 -------- 22:00 0.11 0.09 0.11 0.26 0.01 0.08 0.00 0.06 0.01
 -------- 23:00 0.02 0.10 0.13 0.23 0.01 0.07 0.00 0.08 0.01
 07.12.12 00:00 0.01 0.12 0.11 0.19 0.01 0.09 0.00 0.09 0.01
 -------- 01:00 0.00 0.17 0.13 0.14 0.01 0.10 0.00 0.07 0.00
 -------- 02:00 0.00 0.18 0.08 0.12 0.01 0.10 0.00 0.10 0.00
 -------- 03:00 0.00 0.16 0.10 0.15 0.01 0.09 0.00 0.09 0.00
 -------- 04:00 0.03 0.14 0.14 0.18 0.01 0.08 0.00 0.06 0.01
 07.12.12 05:00 0.03 0.13 0.15 0.19 0.01 0.08 0.00 0.08 0.00
 -------- 06:00 0.01 0.10 0.14 0.22 0.01 0.10 0.00 0.10 0.00
 -------- 07:00 0.07 0.12 0.12 0.26 0.00 0.10 0.00 0.06 0.01
 -------- 08:00 0.03 0.05 0.11 0.27 0.02 0.14 0.00 0.07 0.00
 -------- 09:00 0.01 0.06 0.07 0.26 0.02 0.14 0.00 0.04 0.01
 07.12.12 10:00 0.01 0.11 0.12 0.24 0.01 0.13 0.00 0.05 0.01
 -------- 11:00 0.00 0.16 0.08 0.21 0.01 0.10 0.00 0.04 0.01
 -------- 12:00 0.00 0.12 0.09 0.25 0.01 0.10 0.00 0.12 0.01
 -------- 14:00 0.01 0.09 0.09 0.25 ---- 0.10 0.00 0.07 0.01
 -------- 15:00 0.01 0.09 0.10 0.28 0.01 0.12 0.00 0.10 0.01
 07.12.12 16:00 0.06 0.09 0.16 0.28 0.01 0.10 0.00 0.08 0.01
 -------- 17:00 0.04 0.07 0.13 0.25 0.01 0.11 0.00 0.09 0.01
 -------- 18:00 0.04 0.09 0.16 0.28 0.01 0.09 0.00 0.07 0.01
 -------- 19:00 0.04 0.10 0.16 0.27 0.01 0.10 0.00 0.08 0.00
 -------- 20:00 0.02 0.06 0.13 0.24 0.01 0.10 0.00 0.05 0.00
 07.12.12 21:00 0.01 0.07 0.12 0.20 0.01 0.10 0.00 0.06 0.01
 -------- 22:00 0.02 0.08 0.13 0.21 0.01 0.13 0.00 0.08 0.00
 -------- 23:00 0.03 0.08 0.12 0.20 0.01 0.09 0.00 0.05 0.01
