 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 18.04.13 00:00 0.14 0.01 0.77 1.76 0.10 0.22 0.17
 -------- 01:00 0.12 0.13 0.62 1.75 0.05 0.19 0.17
 -------- 02:00 0.10 0.11 0.63 1.77 0.02 0.16 0.15
 -------- 03:00 0.17 0.10 0.58 1.94 0.11 0.16 0.16
 -------- 04:00 0.15 0.02 0.74 2.18 0.59 0.21 0.22
 18.04.13 05:00 0.17 0.02 0.89 2.07 0.44 0.26 0.27
 -------- 06:00 0.09 0.06 0.66 1.74 0.05 0.14 0.12
 -------- 07:00 0.11 0.10 0.68 1.63 0.08 0.18 0.13
 -------- 08:00 0.13 0.09 0.69 1.68 0.14 0.24 0.16
 -------- 09:00 0.10 0.28 0.55 1.62 0.07 0.23 0.17
 18.04.13 10:00 0.09 0.34 0.49 1.57 0.06 0.28 0.22
 -------- 11:00 0.10 0.36 0.47 1.59 0.06 0.24 0.19
 -------- 12:00 0.10 0.40 0.41 1.64 0.06 0.21 0.18
 -------- 13:00 0.07 0.55 0.34 1.54 0.04 0.20 0.17
 -------- 14:00 0.06 0.56 0.30 1.54 0.03 0.21 0.15
 18.04.13 15:00 0.06 0.67 0.21 1.48 0.03 0.21 0.14
 -------- 16:00 0.07 0.61 0.27 1.52 0.03 0.25 0.21
 -------- 17:00 0.06 0.64 0.22 1.49 0.02 0.20 0.19
 -------- 18:00 0.06 0.65 0.19 1.50 0.02 0.20 0.19
 -------- 19:00 0.06 0.55 0.28 1.50 0.02 0.17 0.14
 18.04.13 20:00 0.11 0.33 0.47 1.59 0.03 0.21 0.24
 -------- 21:00 0.12 0.17 0.55 1.68 0.06 0.19 0.19
 -------- 22:00 0.39 0.01 0.71 2.33 0.67 0.81 0.32
 -------- 23:00 0.49 0.01 0.73 2.40 0.82 0.94 0.40
 -------- 00:00 0.43 0.01 0.65 2.87 0.79 0.79 0.41
 19.04.13 01:00 0.41 0.01 0.61 2.94 0.76 0.64 0.33
 -------- 02:00 0.37 0.01 0.54 3.00 0.69 0.61 0.30
 -------- 03:00 0.26 0.01 0.52 2.75 0.65 0.56 0.27
 -------- 04:00 0.17 0.01 0.59 2.20 0.34 0.35 0.21
 -------- 05:00 0.11 0.01 0.62 1.93 0.22 0.32 0.17
 19.04.13 06:00 0.08 0.11 0.57 1.69 0.04 0.16 0.11
 -------- 07:00 0.10 0.04 0.74 1.82 0.18 0.23 0.16
 -------- 08:00 ---- 0.11 0.62 1.66 0.10 0.20 0.14
 -------- 09:00 ---- 0.24 0.53 1.63 0.08 0.21 0.13
 -------- 10:00 ---- 0.40 0.43 1.59 0.06 0.19 0.12
 19.04.13 11:00 ---- 0.58 0.30 1.56 0.03 0.18 0.11
 -------- 12:00 ---- 0.82 0.19 1.48 0.02 0.19 0.11
 -------- 13:00 ---- 0.92 0.16 1.46 0.02 0.20 0.12
 -------- 14:00 ---- 0.96 0.17 1.46 0.02 0.21 0.11
 -------- 15:00 ---- 0.98 0.13 1.47 0.02 0.15 0.10
 19.04.13 16:00 ---- 0.94 0.16 1.47 0.02 0.14 0.11
 -------- 17:00 ---- 0.94 0.17 1.45 0.02 0.13 0.10
 -------- 18:00 ---- 0.86 0.28 1.47 0.03 0.18 0.17
 -------- 19:00 ---- 0.81 0.24 1.48 0.02 0.17 0.18
 -------- 20:00 ---- 0.77 0.27 1.48 0.02 0.14 0.13
 19.04.13 21:00 ---- 0.37 0.56 1.57 0.02 0.19 0.16
 -------- 22:00 ---- 0.20 0.64 1.67 0.08 0.31 0.23
 -------- 23:00 ---- 0.22 0.57 1.67 0.05 0.30 0.20
