 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 01.05.13 12:00 0.04 0.47 0.14 1.42 0.02 0.07 0.05
 -------- 13:00 0.04 0.51 0.13 1.42 0.03 0.08 0.07
 -------- 14:00 0.07 0.51 0.21 1.44 0.04 0.13 0.12
 -------- 15:00 0.05 0.56 0.14 1.42 0.02 0.12 0.08
 -------- 16:00 0.06 0.59 0.12 1.42 0.02 0.11 0.11
 01.05.13 17:00 0.05 0.57 0.15 1.41 0.03 0.10 0.07
 -------- 18:00 0.06 0.50 0.27 1.45 0.05 0.11 0.08
 -------- 19:00 0.07 0.44 0.25 1.46 0.04 0.16 0.11
 -------- 20:00 0.11 0.37 0.34 1.55 0.06 0.31 0.14
 -------- 21:00 0.19 0.19 0.46 1.60 0.09 0.47 0.24
 01.05.13 22:00 0.21 0.01 0.53 1.80 0.24 0.67 0.20
 -------- 23:00 0.31 0.01 0.56 2.00 0.56 1.04 0.31
 -------- 00:00 0.27 0.01 0.49 2.04 0.42 0.80 0.26
 -------- 01:00 0.50 0.01 0.62 2.39 1.51 2.23 0.50
 -------- 02:00 0.32 0.01 0.50 2.18 0.89 0.80 0.29
 02.05.13 03:00 0.33 0.01 0.51 2.24 1.02 0.41 0.24
 -------- 04:00 0.31 0.01 0.55 2.21 1.20 0.50 0.22
 -------- 05:00 0.29 0.01 0.41 2.22 0.90 0.35 0.17
 -------- 06:00 0.28 0.01 0.40 2.26 0.91 0.40 0.19
 -------- 07:00 0.40 0.01 0.63 2.56 1.33 0.73 0.34
 02.05.13 08:00 0.23 0.01 0.58 1.97 0.50 0.34 0.28
 -------- 09:00 0.09 0.10 0.45 1.63 0.15 0.20 0.10
 -------- 10:00 0.05 0.38 0.21 1.45 0.04 0.11 0.03
 -------- 11:00 0.02 0.50 0.17 1.43 0.03 0.09 0.03
 -------- 12:00 0.02 0.52 0.17 1.43 0.03 0.20 0.04
 02.05.13 13:00 0.03 0.61 0.14 1.44 0.02 0.08 0.03
 -------- 14:00 0.03 0.63 0.17 1.46 0.04 0.09 0.06
 -------- 15:00 0.02 0.70 0.14 1.44 0.02 0.07 0.05
 -------- 16:00 0.02 0.79 0.11 1.41 0.02 0.05 0.04
 -------- 17:00 0.03 0.80 0.12 1.42 0.02 0.07 0.06
 02.05.13 18:00 0.04 0.79 0.10 1.41 0.01 0.06 0.05
 -------- 19:00 0.04 0.77 0.11 1.41 0.01 0.05 0.04
 -------- 20:00 0.05 0.65 0.17 1.43 0.01 0.05 0.05
 -------- 21:00 0.08 0.45 0.27 1.50 0.01 0.08 0.07
 -------- 22:00 0.23 0.11 0.53 1.95 0.15 0.30 0.19
 02.05.13 23:00 0.31 0.01 0.61 2.33 0.41 0.71 0.33
 -------- 00:00 0.32 0.01 0.56 2.51 0.48 0.58 0.35
 -------- 01:00 0.40 0.01 0.48 2.41 0.41 0.67 0.35
 -------- 02:00 0.27 0.01 0.51 2.62 0.42 0.55 0.32
 -------- 03:00 0.14 0.07 0.47 1.98 0.15 0.31 0.18
 03.05.13 04:00 0.05 0.41 0.22 1.49 0.01 0.05 0.05
 -------- 05:00 0.05 0.39 0.28 1.48 0.02 0.05 0.05
 -------- 06:00 0.06 0.37 0.29 1.48 0.02 0.05 0.05
 -------- 07:00 0.07 0.34 0.32 1.54 0.02 0.07 0.06
 -------- 08:00 0.07 0.37 0.29 1.49 0.03 0.08 0.06
 03.05.13 09:00 0.06 0.35 0.30 1.55 0.03 0.08 0.06
 -------- 10:00 0.06 0.42 0.27 1.50 0.03 0.37 0.19
 -------- 11:00 0.06 0.51 0.23 1.52 0.03 0.10 0.08
