 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 11.04.13 00:00 0.07 0.35 0.37 2.04 0.02 0.17 0.08
 -------- 01:00 0.11 0.14 0.47 2.32 0.12 0.28 0.12
 -------- 02:00 0.05 0.36 0.28 2.17 0.02 0.15 0.08
 -------- 03:00 0.04 0.47 0.21 1.99 0.01 0.11 0.06
 -------- 04:00 0.08 0.21 0.34 2.10 0.10 0.19 0.10
 11.04.13 05:00 0.08 0.02 0.48 2.16 0.14 0.38 0.11
 -------- 06:00 0.13 0.01 0.54 2.69 0.37 0.45 0.15
 -------- 07:00 0.15 0.02 0.60 3.65 0.37 0.43 0.15
 -------- 08:00 0.10 0.18 0.44 3.15 0.11 0.26 0.12
 -------- 09:00 0.08 0.34 0.37 2.87 0.08 0.25 0.12
 11.04.13 10:00 0.08 0.39 0.34 2.37 0.07 0.17 0.11
 -------- 11:00 0.06 0.59 0.20 1.67 0.04 0.11 0.07
 -------- 12:00 0.04 0.79 0.11 2.04 0.02 0.10 0.06
 -------- 13:00 0.04 0.81 0.09 1.51 0.01 0.05 0.03
 -------- 14:00 0.05 0.81 0.11 1.63 0.02 0.08 0.05
 11.04.13 15:00 0.04 0.81 0.12 1.64 0.01 0.08 0.05
 -------- 16:00 0.05 0.79 0.14 1.95 0.01 0.14 0.08
 -------- 17:00 0.05 0.81 0.12 1.66 0.01 0.08 0.06
 -------- 18:00 0.05 0.78 0.18 1.60 0.02 0.09 0.05
 -------- 19:00 0.07 0.70 0.23 2.41 0.01 0.23 0.09
 11.04.13 20:00 0.14 0.28 0.55 2.46 0.05 0.37 0.15
 -------- 21:00 0.20 0.05 0.72 2.13 0.15 0.41 0.19
 -------- 22:00 0.29 0.05 0.64 2.70 0.31 0.51 0.18
 -------- 23:00 0.08 0.41 0.32 4.11 0.02 0.22 0.14
 -------- 00:00 0.07 0.31 0.41 4.28 0.03 0.30 0.16
 12.04.13 01:00 0.06 0.46 0.27 2.08 0.01 0.11 0.07
 -------- 02:00 0.07 0.33 0.35 2.01 0.02 0.14 0.10
 -------- 03:00 0.09 0.15 0.43 1.98 0.08 0.20 0.11
 -------- 04:00 0.09 0.04 0.46 1.98 0.10 0.15 0.09
 -------- 05:00 0.11 0.07 0.57 2.09 0.13 0.27 0.15
 12.04.13 06:00 0.18 0.03 0.68 2.94 0.33 0.51 0.26
 -------- 07:00 0.10 0.06 0.54 2.42 0.12 0.34 0.14
 -------- 08:00 0.11 0.17 0.46 2.27 0.09 0.27 0.11
 -------- 09:00 0.13 0.19 0.47 2.09 0.10 0.28 0.14
 -------- 10:00 0.13 0.21 0.47 2.10 0.11 0.28 0.14
 12.04.13 11:00 0.09 0.45 0.27 1.72 0.05 0.18 0.09
 -------- 12:00 0.06 0.61 0.19 1.52 0.03 0.11 0.06
 -------- 13:00 0.06 0.68 0.13 1.44 0.02 0.07 0.05
 -------- 14:00 0.05 0.75 0.11 1.45 0.02 0.06 0.03
 -------- 15:00 0.04 0.81 0.08 1.43 0.01 0.05 0.04
 12.04.13 16:00 0.04 0.81 0.10 1.45 0.02 0.06 0.04
 -------- 17:00 0.05 0.80 0.12 1.46 0.01 0.06 0.05
 -------- 18:00 0.04 0.79 0.13 1.47 0.01 0.07 0.05
 -------- 19:00 0.07 0.73 0.17 1.49 0.01 0.07 0.05
 -------- 20:00 0.09 0.57 0.30 1.55 0.01 0.09 0.06
 12.04.13 21:00 0.23 0.11 0.63 1.78 0.17 0.29 0.17
 -------- 22:00 0.32 0.01 0.69 1.85 0.47 0.71 0.24
 -------- 23:00 0.30 0.01 0.63 1.97 0.33 0.47 0.19
