 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 24.01.13 00:00 0.08 0.02 0.35 1.65 0.07 0.06 0.10
 -------- 01:00 0.09 0.01 0.38 1.69 0.24 0.07 0.11
 -------- 02:00 0.16 0.01 0.38 1.92 0.50 0.10 0.14
 -------- 03:00 0.14 0.01 0.45 1.92 0.92 0.14 0.21
 -------- 04:00 0.17 0.01 0.46 1.92 0.82 0.14 0.19
 24.01.13 05:00 0.13 0.01 0.45 1.91 0.43 0.14 0.17
 -------- 06:00 0.19 0.01 0.50 2.16 0.44 0.17 0.24
 -------- 07:00 0.18 0.01 0.45 2.41 0.58 0.19 0.27
 -------- 08:00 0.28 0.01 0.51 2.88 0.71 0.25 0.36
 -------- 09:00 0.29 0.01 0.52 2.48 0.68 0.18 0.26
 24.01.13 10:00 0.27 0.01 0.53 2.37 0.64 0.17 0.24
 -------- 11:00 0.21 0.01 0.49 2.10 0.47 0.16 0.22
 -------- 12:00 0.15 0.02 0.44 1.85 0.30 0.14 0.20
 -------- 13:00 0.13 0.04 0.41 1.78 0.23 0.12 0.14
 -------- 14:00 0.11 0.03 0.40 1.72 0.19 0.11 0.14
 24.01.13 15:00 0.10 0.03 0.39 1.74 0.18 0.12 0.14
 -------- 16:00 0.15 0.02 0.42 1.84 0.25 0.14 0.15
 -------- 17:00 0.17 0.01 0.44 1.91 0.33 0.15 0.18
 -------- 18:00 0.21 0.01 0.45 1.72 0.26 0.16 0.23
 -------- 19:00 0.15 0.04 0.37 1.62 0.10 0.10 0.15
 24.01.13 20:00 0.12 0.05 0.36 1.59 0.10 0.06 0.10
 -------- 21:00 0.21 0.02 0.37 1.70 0.18 0.06 0.09
 -------- 22:00 0.07 0.03 0.36 1.52 0.07 0.06 0.09
 -------- 23:00 0.05 0.06 0.31 1.46 0.03 0.04 0.06
 -------- 00:00 0.04 0.11 0.25 1.47 0.02 0.02 0.04
 25.01.13 01:00 0.04 0.15 0.25 1.46 0.02 0.02 0.03
 -------- 02:00 0.04 0.03 0.36 1.51 0.05 0.03 0.04
 -------- 03:00 0.05 0.08 0.32 1.48 0.04 0.02 0.04
 -------- 04:00 0.04 0.08 0.32 1.49 0.04 0.03 0.04
 -------- 05:00 0.05 0.06 0.32 1.49 0.04 0.03 0.04
 25.01.13 06:00 0.05 0.07 0.39 1.48 0.08 0.04 0.07
 -------- 07:00 0.06 0.06 0.31 1.47 0.08 0.03 0.05
 -------- 08:00 0.08 0.06 0.32 1.52 0.10 0.03 0.05
 -------- 09:00 0.07 0.05 0.32 1.50 0.11 0.03 0.05
 -------- 10:00 0.06 0.10 0.28 1.47 0.09 0.03 0.05
 25.01.13 11:00 0.07 0.15 0.26 1.50 0.10 0.04 0.06
 -------- 12:00 0.06 0.14 0.29 1.48 0.15 0.04 0.07
 -------- 13:00 0.09 0.10 0.32 1.52 0.18 0.03 0.05
 -------- 14:00 0.11 0.10 0.40 1.67 0.21 0.08 0.12
 -------- 15:00 0.12 0.09 0.40 1.67 0.19 0.08 0.11
 25.01.13 16:00 0.19 0.08 0.40 1.71 0.14 0.13 0.19
 -------- 17:00 0.15 0.05 0.46 1.68 0.15 0.14 0.22
 -------- 18:00 0.10 0.01 0.44 1.62 0.12 0.08 0.12
 -------- 19:00 0.09 0.02 0.41 1.57 0.08 0.11 0.17
 -------- 20:00 0.07 0.05 0.36 1.52 0.05 0.06 0.08
 25.01.13 21:00 0.07 0.06 0.37 1.53 0.06 0.06 0.09
 -------- 22:00 0.07 0.02 0.38 1.55 0.07 0.06 0.10
 -------- 23:00 0.08 0.01 0.37 1.58 0.07 0.05 0.07
