 Date Time CO OZ NO2 CHX NO PM10
 27.09.12 12:00 0.06 ---- 0.18 1.47 0.07 0.11
 -------- 13:00 0.04 ---- 0.13 1.42 0.03 0.08
 -------- 14:00 0.04 ---- 0.13 1.40 0.02 0.06
 -------- 15:00 0.04 ---- 0.14 1.39 0.01 0.06
 -------- 16:00 0.05 0.25 0.19 1.43 0.01 0.08
 27.09.12 17:00 0.06 0.15 0.21 1.45 0.02 0.11
 -------- 18:00 0.08 0.08 0.30 1.46 0.03 0.13
 -------- 19:00 0.09 0.04 0.34 1.48 0.03 0.15
 -------- 20:00 0.09 0.02 0.34 1.48 0.04 0.14
 -------- 21:00 0.08 0.05 0.30 1.56 0.02 0.12
 27.09.12 22:00 0.09 0.05 0.32 1.45 0.02 0.12
 -------- 23:00 0.08 0.10 0.25 1.43 0.01 0.10
 -------- 00:00 0.07 0.09 0.26 1.44 0.01 0.10
 -------- 01:00 0.07 0.05 0.28 1.47 0.01 0.11
 -------- 02:00 0.06 0.22 0.14 1.42 0.00 0.09
 28.09.12 03:00 0.06 0.28 0.11 1.44 ---- 0.09
 -------- 04:00 0.06 0.29 0.12 1.43 ---- 0.09
 -------- 05:00 0.06 0.29 0.13 1.41 ---- 0.09
 -------- 06:00 0.07 0.21 0.24 1.42 0.01 0.09
 -------- 07:00 0.06 0.20 0.22 1.42 0.01 0.10
 28.09.12 08:00 0.06 0.20 0.26 1.43 0.01 0.13
 -------- 09:00 0.06 0.11 0.36 1.44 0.04 0.14
 -------- 10:00 0.06 0.13 0.34 1.46 0.05 0.14
 -------- 11:00 0.06 0.17 0.33 1.45 0.04 0.16
 -------- 12:00 0.06 0.28 0.25 1.44 0.03 0.16
 28.09.12 13:00 0.04 0.42 0.22 1.41 0.02 0.18
 -------- 14:00 0.04 0.40 0.26 1.43 0.02 0.17
 -------- 15:00 0.05 0.45 0.21 1.44 0.01 0.15
 -------- 16:00 0.04 0.54 0.15 1.41 0.00 0.14
 -------- 17:00 0.06 0.52 0.18 1.45 0.00 0.14
 28.09.12 18:00 0.04 0.50 0.18 1.41 0.00 0.13
 -------- 19:00 0.06 0.47 0.20 1.47 0.00 0.13
 -------- 20:00 0.09 0.48 0.17 1.51 0.00 0.12
 -------- 21:00 0.04 0.51 0.15 1.42 ---- 0.13
 -------- 22:00 0.04 0.38 0.15 1.34 ---- 0.09
 28.09.12 23:00 0.04 0.29 0.19 1.33 0.01 0.01
