 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 22.01.13 00:00 0.07 0.12 0.31 1.52 0.06 0.05 0.10
 -------- 01:00 0.05 0.14 0.25 1.47 0.03 0.03 0.05
 -------- 02:00 0.04 0.17 0.25 1.44 0.02 0.02 0.04
 -------- 03:00 0.04 0.18 0.25 1.41 0.02 0.02 0.04
 -------- 04:00 0.03 0.23 0.21 1.40 0.02 0.02 0.03
 22.01.13 05:00 0.04 0.25 0.23 1.43 0.02 0.03 0.06
 -------- 06:00 0.07 0.11 0.40 1.64 0.10 0.08 0.14
 -------- 07:00 0.08 0.04 0.43 1.61 0.14 0.04 0.06
 -------- 08:00 0.19 0.05 0.57 2.08 0.22 0.28 0.44
 -------- 09:00 0.10 0.02 0.45 1.66 0.18 0.01 0.01
 22.01.13 10:00 0.13 0.02 0.46 1.72 0.31 0.04 0.08
 -------- 11:00 0.13 0.03 0.43 1.72 0.29 0.09 0.16
 -------- 12:00 0.11 0.04 0.40 1.64 0.27 0.11 0.19
 -------- 13:00 0.13 0.05 0.44 1.70 0.32 0.12 0.19
 -------- 14:00 0.14 0.05 0.47 1.76 0.32 0.11 0.17
 22.01.13 15:00 0.13 0.05 0.46 1.75 0.29 0.07 0.11
 -------- 16:00 0.10 0.05 0.43 1.66 0.21 0.09 0.15
 -------- 17:00 0.13 0.02 0.47 1.78 0.26 0.08 0.14
 -------- 18:00 0.15 0.01 0.48 1.77 0.24 0.08 0.12
 -------- 19:00 0.10 0.01 0.46 1.63 0.15 0.07 0.12
 22.01.13 20:00 0.18 0.01 0.43 1.65 0.09 0.07 0.13
 -------- 21:00 0.08 0.02 0.39 1.54 0.05 0.08 0.15
 -------- 22:00 0.11 0.01 0.45 1.58 0.14 0.07 0.12
 -------- 23:00 0.25 0.01 0.40 1.78 0.22 0.06 0.10
 -------- 00:00 0.08 0.01 0.41 1.55 0.14 0.03 0.05
 23.01.13 01:00 0.08 0.01 0.38 1.53 0.11 0.03 0.05
 -------- 02:00 0.07 0.01 0.37 1.55 0.07 0.03 0.06
 -------- 03:00 0.06 0.02 0.33 1.50 0.03 0.03 0.05
 -------- 04:00 0.06 0.01 0.34 1.51 0.05 0.02 0.04
 -------- 05:00 0.06 0.01 0.34 1.54 0.12 0.02 0.05
 23.01.13 06:00 0.07 0.01 0.36 1.57 0.22 0.03 0.06
 -------- 07:00 0.10 0.01 0.37 1.65 0.26 0.07 0.12
 -------- 08:00 0.12 0.01 0.39 1.74 0.19 0.10 0.18
 -------- 09:00 0.17 0.01 0.40 1.82 0.37 0.06 0.12
 -------- 10:00 0.19 0.01 0.43 1.94 0.44 0.07 0.11
 23.01.13 11:00 0.18 0.02 0.42 1.82 0.40 0.08 0.12
 -------- 12:00 0.23 0.03 0.49 2.01 0.54 0.09 0.15
 -------- 13:00 0.22 0.03 0.45 1.89 0.38 0.17 0.28
 -------- 14:00 0.18 0.05 0.46 2.11 0.33 0.22 0.51
 -------- 15:00 0.17 0.04 0.41 2.61 0.35 0.17 0.93
 23.01.13 16:00 0.10 0.04 0.37 1.81 0.25 0.12 0.31
 -------- 17:00 0.12 0.02 0.41 1.68 0.29 0.13 0.25
 -------- 18:00 0.23 0.01 0.46 1.76 0.34 0.13 0.24
 -------- 19:00 0.15 0.01 0.40 1.69 0.29 0.10 0.17
 -------- 20:00 0.26 0.03 0.86 2.10 0.56 0.26 0.40
 23.01.13 21:00 0.15 0.06 0.42 1.70 0.22 0.08 0.12
 -------- 22:00 0.09 0.10 0.27 1.57 0.08 0.03 0.05
 -------- 23:00 0.06 0.09 0.28 1.54 0.03 0.05 0.08
