 Date Time CO OZ NO2 CHX NO
 13.10.12 12:00 0.08 0.09 0.21 1.42 0.10
 -------- 13:00 0.09 0.11 0.20 1.41 0.09
 -------- 14:00 0.07 0.11 0.19 1.41 0.09
 -------- 15:00 0.09 0.13 0.24 1.45 0.10
 -------- 16:00 0.07 0.12 0.20 1.51 0.07
 13.10.12 17:00 0.11 0.12 0.24 1.63 0.08
 -------- 18:00 0.15 0.05 0.39 1.73 0.19
 -------- 19:00 0.15 0.02 0.38 1.74 0.22
 -------- 20:00 0.16 0.01 0.31 1.61 0.17
 -------- 21:00 0.23 0.01 0.31 1.67 0.36
 13.10.12 22:00 0.15 0.01 0.27 1.60 0.20
 -------- 23:00 0.18 0.01 0.25 1.64 0.23
