 Date Time CO OZ NO2 CHX NO PM10
 02.10.12 12:00 0.07 0.08 0.25 1.46 0.08 0.09
 -------- 13:00 0.05 0.15 0.23 1.42 0.06 0.05
 -------- 14:00 0.04 0.21 0.19 1.43 0.04 0.05
 -------- 15:00 0.03 0.25 0.18 1.40 0.02 0.05
 -------- 16:00 0.04 0.25 0.18 1.38 0.02 0.04
 02.10.12 17:00 0.04 0.21 0.24 1.63 0.02 0.06
 -------- 18:00 0.05 0.10 0.32 1.83 0.02 0.08
 -------- 19:00 0.11 0.03 0.36 2.35 0.10 0.14
 -------- 20:00 0.15 0.01 0.33 1.93 0.16 0.17
 -------- 21:00 0.21 0.01 0.32 2.01 0.30 0.27
 02.10.12 22:00 0.19 0.01 0.30 1.81 0.22 0.18
 -------- 23:00 0.15 0.01 0.32 1.64 0.20 0.14
 -------- 00:00 0.11 0.01 0.31 1.60 0.17 0.12
 -------- 01:00 0.08 0.01 0.29 1.63 0.10 0.09
 -------- 02:00 0.07 0.01 0.24 1.59 0.08 0.07
 03.10.12 03:00 0.06 0.01 0.23 1.69 0.04 0.06
 -------- 04:00 0.06 0.01 0.21 1.65 0.02 0.06
 -------- 05:00 0.05 0.01 0.22 1.47 0.03 0.05
 -------- 06:00 0.06 0.01 0.25 1.45 0.07 0.05
 -------- 07:00 0.06 0.01 0.23 1.44 0.06 0.05
 03.10.12 08:00 0.07 0.01 0.22 1.43 0.04 0.04
 -------- 09:00 0.09 0.01 0.25 1.46 0.09 0.05
 -------- 10:00 0.09 0.01 0.24 1.48 0.09 0.05
 -------- 11:00 0.07 0.03 0.21 1.53 0.04 0.07
 -------- 12:00 0.07 0.03 0.23 1.47 0.07 0.08
 03.10.12 13:00 0.06 0.03 0.24 1.63 0.06 0.09
 -------- 14:00 0.07 0.02 0.26 1.78 0.07 0.08
 -------- 15:00 0.08 0.02 0.25 1.55 0.08 0.08
 -------- 16:00 0.09 0.02 0.23 1.50 0.07 0.10
 -------- 17:00 0.08 0.01 0.23 1.57 0.08 0.10
 03.10.12 18:00 0.10 0.01 0.23 1.61 0.10 0.13
 -------- 19:00 0.13 0.01 0.23 1.63 0.14 0.12
 -------- 20:00 0.12 0.01 0.22 1.64 0.15 0.12
 -------- 21:00 0.14 0.01 0.20 1.68 0.18 0.14
 -------- 22:00 0.15 0.01 0.19 1.76 0.21 0.15
 03.10.12 23:00 0.17 0.01 0.20 1.74 0.29 0.18
 -------- 00:00 0.19 0.01 0.16 1.80 0.34 0.19
 -------- 01:00 0.15 0.01 0.13 1.89 0.27 0.16
 -------- 02:00 0.13 0.01 0.10 1.90 0.25 0.15
 -------- 03:00 0.12 0.01 0.10 1.92 0.21 0.13
 04.10.12 04:00 0.12 0.01 0.12 2.26 0.20 0.13
 -------- 05:00 0.12 0.01 0.12 2.17 0.19 0.14
 -------- 06:00 0.13 0.01 0.13 2.12 0.20 0.13
 -------- 07:00 0.10 0.01 0.14 1.79 0.12 0.10
 -------- 08:00 0.13 0.01 0.16 1.74 0.16 0.12
 04.10.12 09:00 0.13 0.01 0.17 1.73 0.13 0.14
 -------- 10:00 0.11 0.02 0.18 1.60 0.11 0.21
 -------- 11:00 0.08 0.04 0.15 1.50 0.07 0.15
 -------- 12:00 0.10 0.04 0.14 1.51 0.06 0.13
