 Date Time CO OZ NO2 CHX NO PM10
 30.03.13 00:00 0.31 0.01 0.74 2.19 0.82 0.18
 -------- 01:00 0.31 0.01 0.70 2.34 0.84 0.18
 -------- 02:00 0.34 0.01 0.74 2.52 1.25 0.23
 -------- 03:00 0.25 0.01 0.65 2.70 0.60 0.17
 -------- 04:00 0.23 0.01 0.64 2.94 0.52 0.19
 30.03.13 05:00 0.25 0.01 0.66 3.12 0.63 0.21
 -------- 06:00 0.25 0.01 0.64 3.36 0.56 0.18
 -------- 07:00 0.23 0.01 0.69 3.43 0.59 0.19
 -------- 08:00 0.21 0.01 0.67 3.28 0.58 0.24
 -------- 09:00 0.20 0.03 0.65 2.52 0.41 0.22
 30.03.13 10:00 0.21 0.05 0.64 2.14 0.34 0.15
 -------- 11:00 0.20 0.12 0.55 1.88 0.21 0.11
 -------- 12:00 0.12 0.32 0.39 1.67 0.08 0.07
 -------- 13:00 0.07 0.55 0.24 1.50 0.03 0.05
 -------- 14:00 0.04 0.78 0.08 1.42 0.01 0.02
 30.03.13 15:00 0.04 0.73 0.17 1.45 0.02 0.02
 -------- 16:00 0.04 0.78 0.12 1.45 0.01 0.03
 -------- 17:00 0.04 0.77 0.14 1.44 0.01 0.05
 -------- 18:00 0.05 0.70 0.17 1.47 0.01 0.03
 -------- 19:00 0.05 0.71 0.17 1.42 0.01 0.03
 30.03.13 20:00 0.06 0.66 0.18 1.45 0.01 0.05
 -------- 21:00 0.07 0.71 0.16 1.46 0.01 0.04
 -------- 22:00 0.06 0.76 0.14 1.44 0.01 0.04
 -------- 23:00 0.06 0.75 0.14 1.42 0.01 0.04
 -------- 00:00 0.05 0.70 0.13 1.41 0.01 0.03
 31.03.13 01:00 0.04 0.65 0.11 1.42 0.01 0.03
 -------- 02:00 0.04 0.60 0.11 1.40 0.01 0.03
 -------- 03:00 0.04 0.55 0.11 1.42 0.01 0.02
 -------- 04:00 0.04 0.53 0.12 1.41 0.01 0.02
 -------- 05:00 0.04 0.46 0.17 1.41 0.01 0.03
 31.03.13 06:00 0.04 0.41 0.18 1.42 0.01 0.03
 -------- 07:00 0.05 0.37 0.24 1.43 0.01 0.03
 -------- 08:00 0.06 0.30 0.29 1.44 0.02 0.05
 -------- 09:00 0.06 0.31 0.26 1.44 0.01 0.05
 -------- 10:00 0.08 0.21 0.33 1.53 0.04 0.08
 31.03.13 11:00 0.07 0.30 0.28 1.52 0.05 0.07
 -------- 12:00 0.07 0.31 0.23 1.48 0.05 0.05
 -------- 13:00 0.07 0.32 0.25 1.49 0.05 0.06
 -------- 14:00 0.07 0.30 0.26 1.50 0.05 0.06
 -------- 15:00 0.08 0.31 0.25 1.53 0.04 0.08
 31.03.13 16:00 0.09 0.34 0.25 1.52 0.05 0.08
 -------- 17:00 0.10 0.35 0.27 1.54 0.04 0.10
 -------- 18:00 0.14 0.30 0.33 1.62 0.05 0.18
 -------- 19:00 0.18 0.21 0.45 1.63 0.09 0.16
 -------- 20:00 0.17 0.12 0.48 1.70 0.12 0.13
 31.03.13 21:00 0.26 0.01 0.57 1.93 0.33 0.16
 -------- 22:00 0.15 0.01 0.49 1.78 0.20 0.09
 -------- 23:00 0.15 0.01 0.47 1.74 0.17 0.09
