 Date Time CO OZ NO2 CHX NO PM10
 24.10.12 12:00 0.13 0.03 0.26 1.62 0.17 0.32
 -------- 13:00 0.10 0.03 0.25 1.62 0.13 0.21
 -------- 14:00 0.13 0.02 0.29 1.59 0.18 0.25
 -------- 15:00 0.13 0.03 0.33 1.55 0.19 0.24
 -------- 16:00 0.15 0.02 0.35 1.58 0.23 0.24
 24.10.12 17:00 0.19 0.02 0.35 1.62 0.19 0.19
 -------- 18:00 0.11 0.02 0.35 1.56 0.11 0.11
 -------- 19:00 0.11 0.02 0.34 1.58 0.10 0.15
 -------- 20:00 0.09 0.02 0.34 1.57 0.07 0.10
 -------- 21:00 0.09 0.01 0.35 1.60 0.10 0.05
 24.10.12 22:00 0.09 0.01 0.34 1.54 0.10 0.06
 -------- 23:00 0.08 0.01 0.32 1.54 0.08 0.05
 -------- 00:00 0.07 0.02 0.30 1.51 0.06 0.04
 -------- 01:00 0.07 0.03 0.26 1.50 0.04 0.03
 -------- 02:00 0.06 0.07 0.21 1.48 0.03 0.03
 25.10.12 03:00 0.06 0.07 0.23 1.49 0.03 0.03
 -------- 04:00 0.06 0.09 0.22 1.51 0.03 0.03
 -------- 05:00 0.06 0.05 0.25 1.55 0.03 0.03
 -------- 06:00 0.06 0.04 0.26 1.51 0.04 0.03
 -------- 07:00 0.07 0.02 0.29 1.49 0.06 0.04
 25.10.12 08:00 0.07 0.03 0.29 1.53 0.05 0.04
 -------- 09:00 0.08 0.03 0.31 1.51 0.07 0.05
 -------- 10:00 0.07 0.07 0.27 1.52 0.05 0.05
 -------- 11:00 0.08 0.12 0.26 1.50 0.06 0.06
 -------- 12:00 0.08 0.12 0.26 1.44 0.06 0.06
 25.10.12 13:00 0.08 0.12 0.27 1.41 0.06 0.05
 -------- 14:00 0.07 0.12 0.26 1.41 0.05 0.05
 -------- 15:00 0.07 0.16 0.23 1.41 0.04 0.05
 -------- 16:00 0.07 0.13 0.26 1.43 0.05 0.06
 -------- 17:00 0.07 0.10 0.29 1.46 0.04 0.06
 25.10.12 18:00 0.08 0.09 0.30 1.49 0.04 0.07
 -------- 19:00 0.07 0.08 0.28 1.51 0.03 0.07
 -------- 20:00 0.07 0.09 0.27 1.50 0.03 0.06
 -------- 21:00 0.07 0.12 0.27 1.47 0.03 0.05
 -------- 22:00 0.06 0.17 0.24 1.45 0.02 0.05
 25.10.12 23:00 0.06 0.11 0.28 1.46 0.02 0.04
 -------- 00:00 0.04 0.14 0.24 1.46 0.01 0.04
 -------- 01:00 0.05 0.25 0.15 1.46 0.01 0.03
 -------- 02:00 0.07 0.21 0.15 1.46 0.01 0.03
 -------- 03:00 0.04 0.31 0.07 1.44 0.00 0.03
 26.10.12 04:00 0.04 0.31 0.07 1.45 0.00 0.03
 -------- 05:00 0.04 0.25 0.08 1.46 0.00 0.03
 -------- 06:00 0.05 0.19 0.11 1.48 0.01 0.02
 -------- 07:00 0.07 0.10 0.20 1.48 0.02 0.02
 -------- 08:00 0.08 0.04 0.27 1.50 0.06 0.03
 26.10.12 09:00 0.08 0.07 0.24 1.57 0.04 0.03
 -------- 10:00 0.08 0.07 0.23 1.51 0.03 0.03
