 Date Time CO OZ NO2 CHX NO PM10
 10.04.13 00:00 0.20 0.01 0.54 2.45 0.32 0.22
 -------- 01:00 0.21 0.01 0.55 3.09 0.43 0.31
 -------- 02:00 0.18 0.01 0.51 4.08 0.17 0.21
 -------- 03:00 0.11 0.01 0.52 3.76 0.15 0.17
 -------- 04:00 0.11 0.01 0.55 4.68 0.16 0.26
 10.04.13 05:00 0.11 0.01 0.58 4.57 0.17 0.28
 -------- 06:00 0.15 0.01 0.67 4.52 0.27 0.32
 -------- 07:00 0.12 0.06 0.54 3.13 0.14 0.22
 -------- 08:00 0.11 0.17 0.47 2.38 0.12 0.17
 -------- 09:00 0.11 0.20 0.47 2.04 0.13 0.21
 10.04.13 10:00 0.06 0.40 0.31 1.66 0.06 0.20
 -------- 11:00 0.06 0.49 0.26 1.56 0.05 0.13
 -------- 12:00 0.05 0.63 0.19 1.69 0.03 0.08
 -------- 13:00 0.04 0.77 0.10 1.56 0.02 0.05
 -------- 14:00 0.04 0.82 0.08 1.49 0.01 0.04
 10.04.13 15:00 0.04 0.84 0.09 1.56 0.01 0.05
 -------- 16:00 0.04 0.83 0.10 1.73 0.01 0.05
 -------- 17:00 0.04 0.81 0.13 1.56 0.01 0.05
 -------- 18:00 0.05 0.76 0.18 1.58 0.01 0.06
 -------- 19:00 0.07 0.61 0.31 1.77 0.01 0.10
 10.04.13 20:00 0.15 0.28 0.58 2.08 0.07 0.19
 -------- 21:00 0.17 0.05 0.70 1.97 0.12 0.23
 -------- 22:00 0.39 0.01 0.69 2.20 0.58 0.50
 -------- 23:00 0.08 0.27 0.40 2.75 0.03 0.15
 -------- 00:00 0.07 0.38 0.36 2.06 0.02 0.15
 11.04.13 01:00 0.11 0.14 0.47 2.32 0.12 0.28
 -------- 02:00 0.05 0.36 0.28 2.17 0.02 0.15
 -------- 03:00 0.04 0.47 0.21 1.99 0.01 0.11
 -------- 04:00 0.08 0.21 0.34 2.10 0.10 0.19
 -------- 05:00 0.08 0.02 0.48 2.16 0.14 0.38
 11.04.13 06:00 0.13 0.01 0.54 2.69 0.37 0.45
 -------- 07:00 0.15 0.02 0.60 3.65 0.37 0.43
 -------- 08:00 0.10 0.18 0.44 3.15 0.11 0.26
 -------- 09:00 0.08 0.34 0.37 2.87 0.08 0.25
 -------- 10:00 0.08 0.39 0.34 2.37 0.07 0.17
 11.04.13 11:00 0.06 0.59 0.20 1.67 0.04 0.11
 -------- 12:00 0.04 0.79 0.11 2.04 0.02 0.10
 -------- 13:00 0.04 0.81 0.09 1.51 0.01 0.05
 -------- 14:00 0.05 0.81 0.11 1.63 0.02 0.08
 -------- 15:00 0.04 0.81 0.12 1.64 0.01 0.08
 11.04.13 16:00 0.05 0.79 0.14 1.95 0.01 0.14
 -------- 17:00 0.05 0.81 0.12 1.66 0.01 0.08
 -------- 18:00 0.05 0.78 0.18 1.60 0.02 0.09
 -------- 19:00 0.07 0.70 0.23 2.41 0.01 0.23
 -------- 20:00 0.14 0.28 0.55 2.46 0.05 0.37
 11.04.13 21:00 0.20 0.05 0.72 2.13 0.15 0.41
 -------- 22:00 0.29 0.05 0.64 2.70 0.31 0.51
 -------- 23:00 0.08 0.41 0.32 4.11 0.02 0.22
