 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 09.04.13 00:00 0.24 0.01 0.60 2.00 0.48 0.13 0.14
 -------- 01:00 0.24 0.01 0.59 2.09 0.46 0.14 0.15
 -------- 02:00 0.22 0.01 0.54 2.18 0.51 0.15 0.12
 -------- 03:00 0.23 0.01 0.56 2.31 0.71 0.20 0.16
 -------- 04:00 0.25 0.01 0.62 2.44 0.86 0.24 0.21
 09.04.13 05:00 0.26 0.01 0.72 2.35 1.11 0.27 0.26
 -------- 06:00 0.43 0.01 1.10 2.90 1.57 0.46 0.56
 -------- 07:00 0.41 0.02 1.03 3.06 1.51 0.39 0.48
 -------- 08:00 0.19 0.04 0.71 2.09 0.48 0.14 0.13
 -------- 09:00 0.12 0.12 0.53 2.51 0.15 0.13 0.07
 09.04.13 10:00 0.09 0.29 0.40 2.43 0.08 0.16 0.10
 -------- 11:00 0.08 0.42 0.31 1.77 0.05 0.12 0.09
 -------- 12:00 0.07 0.49 0.35 2.85 0.06 0.14 0.07
 -------- 13:00 0.07 0.56 0.41 1.65 0.05 0.12 0.10
 -------- 14:00 0.06 0.61 0.28 1.99 0.03 0.09 0.07
 09.04.13 15:00 0.07 0.54 0.36 1.54 0.04 0.11 0.12
 -------- 16:00 0.11 0.50 0.38 1.61 0.05 0.16 0.19
 -------- 17:00 0.09 0.41 0.51 2.05 0.06 0.17 0.13
 -------- 18:00 0.10 0.36 0.56 1.78 0.08 0.17 0.14
 -------- 19:00 0.09 0.31 0.56 2.00 0.07 0.14 0.09
 09.04.13 20:00 0.13 0.12 0.73 1.70 0.16 0.12 0.10
 -------- 21:00 0.15 0.01 0.79 2.15 0.24 0.14 0.12
 -------- 22:00 0.31 0.01 0.68 2.15 0.54 0.19 0.18
 -------- 23:00 0.38 0.01 0.72 2.15 0.57 0.20 0.21
 -------- 00:00 0.23 0.01 0.55 2.40 0.37 0.21 0.14
 10.04.13 01:00 0.21 0.01 0.55 3.09 0.43 0.31 0.20
 -------- 02:00 0.18 0.01 0.51 4.08 0.17 0.21 0.17
 -------- 03:00 0.11 0.01 0.52 3.76 0.15 0.17 0.14
 -------- 04:00 0.11 0.01 0.55 4.68 0.16 0.26 0.16
 -------- 05:00 0.11 0.01 0.58 4.57 0.17 0.28 0.15
 10.04.13 06:00 0.15 0.01 0.67 4.52 0.27 0.32 0.23
 -------- 07:00 0.12 0.06 0.54 3.13 0.14 0.22 0.12
 -------- 08:00 0.11 0.17 0.47 2.38 0.12 0.17 0.10
 -------- 09:00 0.11 0.20 0.47 2.04 0.13 0.21 0.11
 -------- 10:00 0.06 0.40 0.31 1.66 0.06 0.20 0.11
 10.04.13 11:00 0.06 0.49 0.26 1.56 0.05 0.13 0.08
 -------- 12:00 0.05 0.63 0.19 1.69 0.03 0.08 0.05
 -------- 13:00 0.04 0.77 0.10 1.56 0.02 0.05 0.03
 -------- 14:00 0.04 0.82 0.08 1.49 0.01 0.04 0.03
 -------- 15:00 0.04 0.84 0.09 1.56 0.01 0.05 0.04
 10.04.13 16:00 0.04 0.83 0.10 1.73 0.01 0.05 0.04
 -------- 17:00 0.04 0.81 0.13 1.56 0.01 0.05 0.04
 -------- 18:00 0.05 0.76 0.18 1.58 0.01 0.06 0.05
 -------- 19:00 0.07 0.61 0.31 1.77 0.01 0.10 0.07
 -------- 20:00 0.15 0.28 0.58 2.08 0.07 0.19 0.11
 10.04.13 21:00 0.17 0.05 0.70 1.97 0.12 0.23 0.13
 -------- 22:00 0.39 0.01 0.69 2.20 0.58 0.50 0.23
 -------- 23:00 0.08 0.27 0.40 2.75 0.03 0.15 0.08
