 Date Time CO OZ NO2 CHX NO PM10
 08.10.12 12:00 0.08 0.06 0.33 1.49 0.12 0.05
 -------- 13:00 0.10 0.08 0.29 1.48 0.08 0.04
 -------- 14:00 0.07 0.12 0.22 1.40 0.07 0.03
 -------- 15:00 0.06 0.12 0.19 1.42 0.06 0.03
 -------- 16:00 0.08 0.13 0.20 1.38 0.07 0.03
 08.10.12 17:00 0.09 0.13 0.18 1.38 0.06 0.03
 -------- 18:00 0.09 0.12 0.21 1.38 0.08 0.03
 -------- 19:00 0.08 0.12 0.19 1.38 0.07 0.03
 -------- 20:00 0.16 0.11 0.22 1.52 0.08 0.03
 -------- 21:00 0.12 0.12 0.20 1.50 0.05 0.02
 08.10.12 22:00 0.16 0.12 0.19 1.46 0.04 0.03
 -------- 23:00 0.13 0.12 0.20 1.43 0.03 0.02
 -------- 00:00 0.07 0.05 0.27 1.42 0.04 0.03
 -------- 01:00 0.06 0.05 0.26 1.45 0.05 0.02
 -------- 02:00 0.05 0.06 0.24 1.44 0.03 0.01
 09.10.12 03:00 0.04 0.10 0.19 1.39 0.02 0.01
 -------- 04:00 0.04 0.10 0.18 1.39 0.02 0.01
 -------- 05:00 0.05 0.11 0.20 1.37 0.03 0.02
 -------- 06:00 0.05 0.08 0.25 1.41 0.05 0.03
 -------- 07:00 0.07 0.04 0.26 1.41 0.10 0.02
 09.10.12 08:00 0.09 0.04 0.26 1.41 0.11 0.03
 -------- 09:00 0.08 0.07 0.24 1.41 0.09 0.03
 -------- 10:00 0.09 0.05 0.26 1.46 0.11 0.04
 -------- 11:00 0.09 0.04 0.30 1.45 0.13 0.06
 -------- 12:00 0.11 0.04 0.30 1.52 0.14 0.06
 09.10.12 13:00 0.09 0.05 0.30 1.44 0.15 0.07
 -------- 14:00 0.11 0.04 0.30 1.45 0.13 0.06
 -------- 15:00 0.10 0.05 0.31 1.43 0.13 0.07
 -------- 16:00 0.10 0.07 0.28 1.45 0.12 0.09
 -------- 17:00 0.13 0.10 0.25 1.45 0.11 0.09
 09.10.12 18:00 0.11 0.06 0.28 1.42 0.13 0.10
 -------- 19:00 0.11 0.07 0.26 1.43 0.10 0.09
 -------- 20:00 0.15 0.07 0.25 1.54 0.10 0.22
 -------- 21:00 0.17 0.08 0.23 1.53 0.08 0.46
 -------- 22:00 0.11 0.08 0.25 1.41 0.06 0.02
 09.10.12 23:00 0.11 0.06 0.38 1.48 0.13 0.08
 -------- 00:00 0.05 0.16 0.14 1.37 0.02 0.01
 -------- 01:00 0.05 0.10 0.22 1.38 0.03 0.02
 -------- 02:00 0.05 0.12 0.24 1.40 0.06 0.03
 -------- 03:00 0.05 0.17 0.15 1.38 0.01 0.01
 10.10.12 04:00 0.04 0.14 0.19 1.39 0.02 0.02
 -------- 05:00 0.05 0.08 0.25 1.49 0.03 0.02
 -------- 06:00 0.07 0.03 0.29 1.45 0.05 0.03
 -------- 07:00 0.09 0.01 0.32 1.55 0.08 0.04
 -------- 08:00 0.08 0.04 0.28 1.53 0.04 0.03
 10.10.12 09:00 0.11 0.03 0.30 1.58 0.12 0.05
 -------- 10:00 0.10 0.05 0.27 1.51 0.09 0.06
 -------- 11:00 0.09 0.03 0.26 1.55 0.10 0.08
