 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 03.04.13 12:00 0.12 0.13 0.41 1.85 0.11 0.07 0.06
 -------- 13:00 0.13 0.13 0.50 1.75 0.16 0.11 0.11
 -------- 14:00 0.12 0.23 0.34 1.73 0.09 0.08 0.09
 -------- 15:00 0.12 0.28 0.33 1.64 0.08 0.25 0.35
 -------- 16:00 0.15 0.19 0.52 1.73 0.16 0.42 0.60
 03.04.13 17:00 0.13 0.21 0.43 1.65 0.11 0.48 0.66
 -------- 18:00 0.16 0.29 0.41 1.71 0.08 0.23 0.29
 -------- 19:00 0.19 0.20 0.49 1.70 0.10 0.19 0.23
 -------- 20:00 0.15 0.29 0.34 1.57 0.05 0.12 0.15
 -------- 21:00 0.12 0.26 0.38 1.56 0.06 0.13 0.17
 03.04.13 22:00 0.11 0.30 0.32 1.55 0.05 0.08 0.13
 -------- 23:00 0.09 0.30 0.32 1.52 0.04 0.06 0.08
 -------- 00:00 0.05 0.32 0.30 1.51 0.03 0.06 0.07
 -------- 01:00 0.04 0.33 0.30 1.50 0.03 0.04 0.06
 -------- 02:00 0.05 0.29 0.30 1.57 0.02 0.06 0.08
 04.04.13 03:00 0.04 0.28 0.32 1.60 0.02 0.05 0.07
 -------- 04:00 0.04 0.31 0.27 1.61 0.02 0.05 0.07
 -------- 05:00 0.04 0.38 0.25 1.56 0.02 0.07 0.09
 -------- 06:00 0.05 0.40 0.28 1.45 0.04 0.05 0.07
 -------- 07:00 0.04 0.44 0.25 1.42 0.04 0.03 0.05
 04.04.13 08:00 0.04 0.44 0.23 1.43 0.03 0.04 0.05
 -------- 09:00 0.07 0.51 0.23 1.75 0.04 0.07 0.07
 -------- 10:00 0.08 0.51 0.23 1.86 0.05 0.09 0.08
 -------- 11:00 0.06 0.58 0.18 1.65 0.03 0.06 0.05
 -------- 12:00 0.07 0.64 0.15 1.61 0.03 0.06 0.06
 04.04.13 13:00 0.06 0.64 0.17 1.61 0.03 0.05 0.05
 -------- 14:00 0.06 0.62 0.17 1.56 0.04 0.05 0.04
 -------- 15:00 0.06 0.64 0.16 1.90 0.03 0.06 0.04
 -------- 16:00 0.06 0.64 0.16 2.40 0.03 0.13 0.07
 -------- 17:00 0.07 0.59 0.20 2.01 0.04 0.08 0.05
 04.04.13 18:00 0.07 0.51 0.27 1.72 0.04 0.06 0.05
 -------- 19:00 0.06 0.51 0.24 1.55 0.03 0.05 0.04
 -------- 20:00 0.09 0.43 0.30 1.53 0.04 0.05 0.05
 -------- 21:00 0.07 0.37 0.30 1.50 0.03 0.04 0.04
 -------- 22:00 0.07 0.45 0.23 1.84 0.02 0.05 0.05
 04.04.13 23:00 0.06 0.48 0.21 1.64 0.01 0.05 0.05
 -------- 00:00 0.06 0.45 0.24 1.61 0.02 0.05 0.05
 -------- 01:00 0.06 0.54 0.15 1.58 0.01 0.05 0.05
 -------- 02:00 0.04 0.58 0.13 1.51 0.01 0.04 0.05
 -------- 03:00 0.04 0.62 0.11 1.67 0.01 0.05 0.04
 05.04.13 04:00 0.04 0.62 0.12 1.52 0.01 0.04 0.04
 -------- 05:00 0.04 0.61 0.11 1.49 0.01 0.04 0.04
 -------- 06:00 0.04 0.58 0.15 1.50 0.01 0.04 0.04
 -------- 07:00 0.05 0.51 0.20 1.58 0.02 0.04 0.04
 -------- 08:00 0.06 0.48 0.24 1.56 0.03 0.05 0.05
 05.04.13 09:00 0.06 0.43 0.28 1.84 0.04 0.08 0.06
 -------- 10:00 0.06 0.48 0.23 1.51 0.03 0.07 0.06
 -------- 11:00 0.07 0.42 0.28 1.61 0.05 0.08 0.08
