 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 28.01.13 12:00 0.08 0.09 0.30 1.59 0.09 0.06 0.08
 -------- 13:00 0.08 0.11 0.31 1.60 0.09 0.06 0.09
 -------- 14:00 0.09 0.09 0.35 1.70 0.13 0.07 0.10
 -------- 15:00 0.07 0.10 0.32 1.63 0.08 0.08 0.09
 -------- 16:00 0.07 0.13 0.30 1.58 0.05 0.07 0.09
 28.01.13 17:00 0.08 0.09 0.34 1.59 0.05 0.08 0.09
 -------- 18:00 0.09 0.02 0.39 1.61 0.06 0.09 0.11
 -------- 19:00 0.08 0.02 0.39 1.58 0.05 0.07 0.09
 -------- 20:00 0.08 0.02 0.39 1.58 0.05 0.07 0.10
 -------- 21:00 0.08 0.01 0.39 1.60 0.04 0.08 0.10
 28.01.13 22:00 0.07 0.01 0.38 1.60 0.04 0.08 0.10
 -------- 23:00 0.08 0.01 0.40 1.64 0.06 0.10 0.13
 -------- 00:00 0.08 0.01 0.38 1.63 0.05 0.11 0.13
 -------- 01:00 0.07 0.01 0.36 1.61 0.03 0.09 0.12
 -------- 02:00 0.06 0.01 0.38 1.63 0.04 0.09 0.11
 29.01.13 03:00 0.07 0.02 0.36 1.63 0.04 0.10 0.12
 -------- 04:00 0.07 0.03 0.35 1.60 0.03 0.09 0.11
 -------- 05:00 0.07 0.02 0.34 1.61 0.04 0.09 0.11
 -------- 06:00 0.11 0.01 0.38 1.63 0.09 0.11 0.13
 -------- 07:00 0.11 0.01 0.43 1.67 0.18 0.10 0.12
 29.01.13 08:00 0.12 0.01 0.41 1.67 0.16 0.11 0.14
 -------- 09:00 0.12 0.01 0.38 1.65 0.16 0.13 0.16
 -------- 10:00 0.11 0.01 0.37 1.69 0.13 0.16 0.18
 -------- 11:00 0.11 0.05 0.33 1.65 0.09 0.13 0.15
 -------- 12:00 0.11 0.04 0.40 1.73 0.20 0.17 0.21
 29.01.13 13:00 0.11 0.04 0.38 1.72 0.17 0.16 0.20
 -------- 14:00 0.09 0.07 0.33 1.66 0.10 0.12 0.14
 -------- 15:00 0.09 0.10 0.30 1.60 0.07 0.09 0.12
 -------- 16:00 0.09 0.10 0.31 1.59 0.07 0.07 0.10
 -------- 17:00 0.10 0.06 0.37 1.63 0.08 0.07 0.09
 29.01.13 18:00 0.10 0.02 0.40 1.66 0.08 0.06 0.09
 -------- 19:00 0.14 0.01 0.42 1.75 0.12 0.09 0.13
 -------- 20:00 0.13 0.01 0.42 1.71 0.14 0.08 0.10
 -------- 21:00 0.13 0.01 0.40 1.68 0.12 0.09 0.11
 -------- 22:00 0.11 0.01 0.41 1.70 0.14 0.10 0.13
 29.01.13 23:00 0.09 0.01 0.38 1.64 0.09 0.10 0.13
 -------- 00:00 0.09 0.01 0.37 1.62 0.07 0.10 0.12
 -------- 01:00 0.07 0.02 0.35 1.58 0.03 0.07 0.09
 -------- 02:00 0.06 0.02 0.35 1.58 0.02 0.07 0.09
 -------- 03:00 0.06 0.03 0.34 1.57 0.02 0.06 0.08
 30.01.13 04:00 0.06 0.06 0.30 1.55 0.02 0.07 0.08
 -------- 05:00 0.06 0.02 0.34 1.57 0.03 0.09 0.10
 -------- 06:00 0.08 0.03 0.32 1.70 0.04 0.10 0.11
 -------- 07:00 0.07 0.03 0.32 1.60 0.06 0.11 0.12
 -------- 08:00 0.09 0.01 0.34 1.58 0.11 0.12 0.11
 30.01.13 09:00 0.10 0.01 0.34 1.60 0.09 0.14 0.13
 -------- 10:00 0.10 0.01 0.32 1.67 0.11 0.15 0.14
 -------- 11:00 0.10 0.03 0.30 1.62 0.10 0.14 0.14
