 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 29.11.12 00:00 0.08 0.11 0.07 1.48 0.01 0.58 0.05
 -------- 01:00 0.02 0.13 0.07 1.45 0.01 0.52 0.04
 -------- 02:00 0.02 0.13 0.06 1.45 0.00 0.46 0.05
 -------- 03:00 0.02 0.14 0.06 1.46 0.01 0.41 0.05
 -------- 04:00 0.02 0.14 0.07 1.50 0.01 0.40 0.05
 29.11.12 05:00 0.02 0.14 0.07 1.45 0.01 0.31 0.05
 -------- 06:00 0.03 0.13 0.09 1.43 0.02 0.29 0.06
 -------- 07:00 0.04 0.11 0.12 1.44 0.04 0.21 0.06
 -------- 08:00 0.04 0.10 0.14 1.44 0.05 0.13 0.06
 -------- 09:00 0.05 0.10 0.16 1.46 0.06 0.13 0.06
 29.11.12 10:00 0.05 0.11 0.17 1.49 0.07 0.14 0.07
 -------- 11:00 0.04 0.12 0.14 1.52 0.06 0.18 0.06
 -------- 12:00 0.04 0.14 0.13 1.65 0.05 0.19 0.06
 -------- 13:00 0.05 0.16 0.13 1.55 0.06 0.14 0.05
 -------- 14:00 0.05 0.16 0.13 1.47 0.05 0.15 0.05
 29.11.12 15:00 0.05 0.14 0.15 1.48 0.05 0.12 0.06
 -------- 16:00 0.07 0.11 0.16 1.50 0.06 0.12 0.06
 -------- 17:00 0.05 0.11 0.15 1.49 0.06 0.07 0.07
 -------- 18:00 0.06 0.11 0.15 1.51 0.05 0.06 0.06
 -------- 19:00 0.05 0.13 0.13 1.48 0.04 0.11 0.05
 29.11.12 20:00 0.05 0.14 0.12 1.47 0.03 0.05 0.05
 -------- 21:00 0.06 0.15 0.10 1.50 0.02 0.06 0.05
 -------- 22:00 0.02 0.15 0.09 1.42 0.02 0.07 0.05
 -------- 23:00 0.02 0.14 0.10 1.42 0.02 0.06 0.05
 -------- 00:00 0.02 0.10 0.12 1.45 0.03 0.04 0.05
 30.11.12 01:00 0.02 0.12 0.08 1.44 0.01 0.04 0.04
 -------- 02:00 0.02 0.12 0.08 1.43 0.01 0.02 0.05
 -------- 03:00 0.02 0.13 0.07 1.42 0.01 0.02 0.04
 -------- 04:00 0.02 0.14 0.07 1.41 0.01 0.02 0.04
 -------- 05:00 0.02 0.14 0.07 1.42 0.01 0.01 0.04
 30.11.12 06:00 0.03 0.13 0.07 1.42 0.02 0.02 0.04
 -------- 07:00 0.03 0.13 0.08 1.43 0.02 0.02 0.03
 -------- 08:00 0.04 0.11 0.10 1.45 0.04 0.01 0.03
 -------- 09:00 0.04 0.10 0.15 1.47 0.07 0.01 0.04
 -------- 10:00 0.04 0.09 0.12 1.49 0.05 0.01 0.04
 30.11.12 11:00 0.04 0.09 0.12 1.49 0.04 0.01 0.03
 -------- 12:00 0.06 0.09 0.10 1.49 0.05 0.01 0.03
 -------- 13:00 0.05 0.09 0.09 1.49 0.04 0.01 0.03
 -------- 14:00 0.05 0.08 0.10 1.51 0.05 0.01 0.03
 -------- 15:00 0.05 0.07 0.10 1.51 0.03 0.01 0.03
 30.11.12 16:00 0.06 0.05 0.11 1.60 0.04 0.01 0.03
 -------- 17:00 0.07 0.05 0.11 1.60 0.04 0.02 0.04
 -------- 18:00 0.08 0.03 0.13 1.65 0.06 0.01 0.03
 -------- 19:00 0.11 0.01 0.16 1.78 0.11 0.04 0.09
 -------- 20:00 0.18 0.01 0.20 1.69 0.19 0.04 0.10
 30.11.12 21:00 0.24 0.01 0.23 1.92 0.36 0.08 0.15
 -------- 22:00 0.25 0.01 0.24 1.85 0.35 0.06 0.11
 -------- 23:00 0.19 0.01 0.24 1.91 0.34 0.07 0.13
