 Date Time CO OZ NO2 CHX NO PM10
 01.11.12 00:00 0.05 0.21 0.12 1.39 0.01 0.03
 -------- 01:00 0.05 0.22 0.13 1.40 0.02 0.03
 -------- 02:00 0.05 0.18 0.15 1.42 0.02 0.03
 -------- 03:00 0.05 0.21 0.13 1.43 0.02 0.03
 -------- 04:00 0.06 0.19 0.15 1.46 0.03 0.03
 01.11.12 05:00 0.05 0.13 0.21 1.47 0.02 0.03
 -------- 06:00 0.09 0.07 0.30 1.51 0.04 0.04
 -------- 07:00 0.07 0.03 0.34 1.53 0.07 0.06
 -------- 08:00 0.08 0.01 0.32 1.54 0.08 0.05
 -------- 09:00 0.09 0.03 0.30 1.48 0.09 0.04
 01.11.12 10:00 0.09 0.05 0.29 1.51 0.10 0.05
 -------- 11:00 0.09 0.07 0.27 1.51 0.10 0.05
 -------- 12:00 0.09 0.08 0.26 1.50 0.09 0.07
 -------- 13:00 0.10 0.08 0.27 1.49 0.10 0.06
 -------- 14:00 0.11 0.08 0.28 1.49 0.09 0.07
 01.11.12 15:00 0.10 0.06 0.31 1.49 0.09 0.08
 -------- 16:00 0.11 0.06 0.31 1.48 0.08 0.08
 -------- 17:00 0.12 0.06 0.30 1.49 0.06 0.08
 -------- 18:00 0.19 0.02 0.32 1.53 0.05 0.11
 -------- 19:00 0.20 0.01 0.32 1.55 0.06 0.11
 01.11.12 20:00 0.10 0.02 0.29 1.45 0.05 0.06
 -------- 21:00 0.12 0.01 0.29 1.54 0.13 0.07
 -------- 22:00 0.12 0.01 0.29 1.62 0.18 0.07
 -------- 23:00 0.12 0.01 0.30 1.61 0.20 0.11
 -------- 00:00 0.08 0.01 0.27 1.55 0.08 0.07
 02.11.12 01:00 0.07 0.01 0.25 1.56 0.06 0.07
 -------- 02:00 0.05 0.03 0.25 1.49 0.02 0.05
 -------- 03:00 0.04 0.12 0.14 1.43 0.00 0.03
 -------- 04:00 0.04 0.12 0.15 1.43 0.00 0.04
 -------- 05:00 0.04 0.08 0.17 1.42 0.01 0.05
 02.11.12 06:00 0.06 0.06 0.21 1.42 0.05 0.04
 -------- 07:00 0.06 0.08 0.18 1.41 0.01 0.04
 -------- 08:00 0.08 0.06 0.20 1.56 0.03 0.05
 -------- 09:00 0.08 0.10 0.18 1.44 0.02 0.06
 -------- 10:00 0.07 0.11 0.19 1.42 0.03 0.05
 02.11.12 11:00 0.07 0.10 0.21 1.42 0.05 0.05
 -------- 12:00 0.07 0.06 0.23 1.43 0.06 0.10
 -------- 13:00 0.08 0.07 0.24 1.43 0.05 0.08
 -------- 14:00 0.08 0.05 0.26 1.43 0.06 0.09
 -------- 15:00 0.07 0.10 0.22 1.43 0.03 0.08
 02.11.12 16:00 0.07 0.07 0.25 1.43 0.04 0.08
 -------- 17:00 0.06 0.08 0.24 1.42 0.02 0.08
 -------- 18:00 0.07 0.09 0.22 1.43 0.02 0.07
 -------- 19:00 0.09 0.11 0.20 1.43 0.01 0.11
 -------- 20:00 0.08 0.12 0.18 1.42 0.01 0.11
 02.11.12 21:00 0.08 0.15 0.15 1.44 0.01 0.07
 -------- 22:00 0.06 0.19 0.13 1.43 0.01 0.05
 -------- 23:00 0.05 0.21 0.12 1.41 0.00 0.04
