 Date Time CO OZ NO2 CHX NO PM10
 28.10.12 12:00 0.07 0.11 0.21 1.56 0.02 0.05
 -------- 13:00 0.06 0.15 0.18 1.55 0.01 0.03
 -------- 14:00 0.08 0.13 0.19 1.50 0.02 0.03
 -------- 15:00 0.08 0.07 0.25 1.47 0.04 0.04
 -------- 16:00 0.09 0.04 0.27 1.45 0.05 0.04
 28.10.12 17:00 0.10 0.02 0.27 1.45 0.06 0.04
 -------- 18:00 0.11 0.01 0.29 1.48 0.09 0.04
 -------- 19:00 0.11 0.01 0.28 1.53 0.12 0.04
 -------- 20:00 0.14 0.01 0.25 1.58 0.13 0.04
 -------- 21:00 0.18 0.01 0.26 2.01 0.22 0.05
 28.10.12 22:00 0.28 0.01 0.25 2.09 0.24 0.06
 -------- 23:00 0.27 0.01 0.26 2.06 0.43 0.07
 -------- 00:00 0.28 0.01 0.27 2.16 0.56 0.09
 -------- 01:00 0.15 0.01 0.28 1.80 0.22 0.04
 -------- 02:00 0.07 0.01 0.22 1.77 0.05 0.02
 29.10.12 03:00 0.04 0.03 0.16 1.54 0.02 0.01
 -------- 04:00 0.05 0.06 0.16 1.49 0.01 0.02
 -------- 05:00 0.05 0.07 0.17 1.46 0.02 0.03
 -------- 06:00 0.05 0.06 0.22 1.47 0.14 0.03
 -------- 07:00 0.08 0.04 0.24 1.50 0.08 0.04
 29.10.12 08:00 0.08 0.05 0.19 1.48 0.08 0.04
 -------- 09:00 0.10 0.08 0.24 1.48 0.09 0.08
 -------- 10:00 0.08 0.08 0.25 1.45 0.09 0.05
 -------- 11:00 0.08 0.11 0.23 1.44 0.08 0.04
 -------- 12:00 0.09 0.11 0.29 1.45 0.10 0.06
 29.10.12 13:00 0.07 0.17 0.21 1.41 0.07 0.06
 -------- 14:00 0.07 0.13 0.27 1.43 0.10 0.07
 -------- 15:00 0.09 0.11 0.29 1.44 0.09 0.08
 -------- 16:00 0.07 0.11 0.28 1.44 0.10 0.10
 -------- 17:00 0.08 0.14 0.28 1.44 0.12 0.11
 29.10.12 18:00 0.11 0.12 0.26 1.45 0.10 0.10
 -------- 19:00 0.09 0.18 0.18 1.44 0.06 0.10
 -------- 20:00 0.07 0.20 0.16 1.44 0.05 0.14
 -------- 21:00 0.07 0.20 0.14 1.42 0.05 0.16
 -------- 22:00 0.05 0.24 0.13 1.42 0.04 0.06
 29.10.12 23:00 0.03 0.26 0.11 1.39 0.02 0.05
 -------- 00:00 0.03 0.28 0.07 1.37 0.01 0.04
 -------- 01:00 0.02 0.27 0.07 1.43 0.01 0.02
 -------- 02:00 0.02 0.29 0.06 1.41 0.01 0.03
 -------- 03:00 0.02 0.33 0.04 1.45 0.01 0.03
 30.10.12 04:00 0.02 0.35 0.03 1.55 0.00 0.02
 -------- 05:00 0.02 0.31 0.07 1.68 0.00 0.02
 -------- 06:00 0.03 0.24 0.11 1.54 0.01 0.03
 -------- 07:00 0.04 0.22 0.13 1.58 0.02 0.04
 -------- 08:00 0.04 0.20 0.15 1.54 0.04 0.05
 30.10.12 09:00 0.05 0.18 0.15 1.65 0.05 0.06
 -------- 10:00 0.06 0.22 0.13 1.55 0.04 0.07
 -------- 11:00 0.05 0.24 0.12 1.76 0.04 0.09
