 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 14.01.13 00:00 0.07 0.01 0.31 1.55 0.09 0.04 0.07
 -------- 01:00 0.07 0.01 0.30 1.53 0.06 0.04 0.06
 -------- 02:00 0.06 0.01 0.30 1.52 0.05 0.05 0.08
 -------- 03:00 0.06 0.01 0.29 1.50 0.05 0.04 0.07
 -------- 04:00 0.06 0.03 0.27 1.49 0.03 0.04 0.06
 14.01.13 05:00 0.06 0.04 0.32 1.55 0.04 0.07 0.10
 -------- 06:00 0.07 0.02 0.33 1.52 0.07 0.06 0.09
 -------- 07:00 0.06 0.01 0.29 1.53 0.05 0.04 0.07
 -------- 08:00 0.08 0.01 0.33 1.58 0.10 0.06 0.09
 -------- 09:00 0.12 0.01 0.36 1.67 0.20 0.09 0.13
 14.01.13 10:00 0.13 0.01 0.38 1.68 0.21 0.08 0.11
 -------- 11:00 0.11 0.02 0.38 1.66 0.24 0.08 0.11
 -------- 12:00 0.12 0.03 0.37 1.65 0.24 0.08 0.11
 -------- 13:00 0.15 0.04 0.37 1.68 0.18 0.17 0.25
 -------- 14:00 0.11 0.05 0.39 1.64 0.17 0.20 0.28
 14.01.13 15:00 0.12 0.04 0.40 1.60 0.18 0.14 0.20
 -------- 16:00 0.11 0.03 0.41 1.63 0.17 0.08 0.13
 -------- 17:00 0.09 0.03 0.41 1.54 0.10 0.06 0.09
 -------- 18:00 0.14 0.06 0.36 1.56 0.04 0.12 0.18
 -------- 19:00 0.21 0.04 0.39 1.64 0.05 0.13 0.22
 14.01.13 20:00 0.17 0.11 0.30 1.55 0.02 0.09 0.15
 -------- 21:00 0.10 0.17 0.25 1.45 0.02 0.04 0.07
 -------- 22:00 0.04 0.20 0.20 1.43 0.01 0.02 0.03
 -------- 23:00 0.02 0.20 0.22 1.42 0.02 0.02 0.04
 -------- 00:00 0.02 0.20 0.22 1.40 0.03 0.02 0.04
 15.01.13 01:00 0.02 0.22 0.20 1.40 0.05 0.02 0.04
 -------- 02:00 0.02 0.30 0.12 1.39 0.01 0.02 0.04
 -------- 03:00 0.02 0.30 0.13 1.39 0.01 0.02 0.04
 -------- 04:00 0.02 0.31 0.14 1.39 0.01 0.02 0.03
 -------- 05:00 0.02 0.29 0.15 1.39 0.01 0.02 0.03
 15.01.13 06:00 0.02 0.26 0.17 1.39 0.01 0.02 0.04
 -------- 07:00 0.05 0.16 0.34 1.48 0.05 0.06 0.10
 -------- 08:00 0.07 0.04 0.43 1.51 0.07 0.06 0.11
 -------- 09:00 0.07 0.01 0.42 1.52 0.09 0.07 0.11
 -------- 10:00 0.07 0.02 0.42 1.52 0.10 0.06 0.09
 15.01.13 11:00 0.09 0.04 0.40 1.51 0.14 0.08 0.12
 -------- 12:00 0.07 0.09 0.34 1.50 0.08 0.09 0.15
 -------- 13:00 0.07 0.07 0.37 1.51 0.11 0.09 0.14
 -------- 14:00 0.08 0.05 0.38 1.53 0.13 0.11 0.18
 -------- 15:00 0.07 0.05 0.39 1.53 0.12 0.09 0.14
 15.01.13 16:00 0.08 0.09 0.34 1.49 0.06 0.09 0.15
 -------- 17:00 0.06 0.05 0.41 1.52 0.08 0.08 0.12
 -------- 18:00 0.11 0.01 0.45 1.58 0.20 0.06 0.10
 -------- 19:00 0.12 0.01 0.45 1.61 0.21 0.06 0.09
 -------- 20:00 0.12 0.01 0.44 1.60 0.20 0.06 0.10
 15.01.13 21:00 0.11 0.01 0.44 1.63 0.16 0.07 0.11
 -------- 22:00 0.10 0.01 0.43 1.59 0.13 0.06 0.10
 -------- 23:00 0.07 0.01 0.44 1.50 0.09 0.04 0.07
