 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 14.12.12 00:00 0.03 0.33 0.09 1.46 ---- 0.04 0.06
 -------- 01:00 0.04 0.31 0.09 1.46 ---- 0.04 0.06
 -------- 02:00 0.03 0.33 0.08 1.45 ---- 0.04 0.06
 -------- 03:00 0.02 0.35 0.07 1.44 ---- 0.05 0.06
 -------- 04:00 0.02 0.37 0.06 1.42 ---- 0.05 0.06
 14.12.12 05:00 0.02 0.35 0.07 1.42 ---- 0.06 0.07
 -------- 06:00 0.04 0.32 0.09 1.44 0.01 0.05 0.07
 -------- 07:00 0.04 0.30 0.11 1.45 0.01 0.05 0.07
 -------- 08:00 0.04 0.29 0.13 1.49 0.02 0.05 0.07
 -------- 09:00 0.04 0.26 0.15 1.48 0.02 0.06 0.07
 14.12.12 10:00 0.04 0.25 0.17 1.48 0.02 0.06 0.08
 -------- 11:00 0.04 0.27 0.15 1.45 0.02 0.06 0.06
 -------- 12:00 0.05 0.30 0.13 1.47 0.01 0.06 0.06
 -------- 13:00 0.04 0.30 0.13 1.48 0.02 0.05 0.06
 -------- 14:00 0.05 0.29 0.14 1.49 0.02 0.05 0.06
 14.12.12 15:00 0.06 0.26 0.18 1.52 0.03 0.06 0.06
 -------- 16:00 0.06 0.24 0.20 1.50 0.03 0.06 0.07
 -------- 17:00 0.07 0.21 0.25 1.51 0.06 0.07 0.07
 -------- 18:00 0.07 0.15 0.29 1.55 0.06 0.09 0.09
 -------- 19:00 0.06 0.25 0.20 1.45 0.02 0.07 0.08
 14.12.12 20:00 0.08 0.24 0.21 1.50 0.03 0.07 0.08
 -------- 21:00 0.10 0.25 0.19 1.49 0.02 0.06 0.07
 -------- 22:00 0.06 0.25 0.19 1.47 0.03 0.06 0.06
 -------- 23:00 0.06 0.23 0.20 1.48 0.03 0.06 0.07
 -------- 00:00 0.06 0.23 0.18 1.51 0.03 0.06 0.07
 15.12.12 01:00 0.05 0.23 0.17 1.50 0.02 0.05 0.07
 -------- 02:00 0.05 0.23 0.18 1.51 0.02 0.06 0.08
 -------- 03:00 0.04 0.24 0.16 1.58 0.02 0.05 0.08
 -------- 04:00 0.04 0.24 0.15 1.63 0.01 0.05 0.07
 -------- 05:00 0.04 0.23 0.14 1.67 0.01 0.05 0.07
 15.12.12 06:00 0.05 0.20 0.16 1.68 0.01 0.05 0.07
 -------- 07:00 0.06 0.17 0.19 1.62 0.03 0.05 0.08
 -------- 08:00 0.07 0.11 0.24 1.56 0.05 0.06 0.09
 -------- 09:00 0.09 0.09 0.26 1.74 0.07 0.07 0.11
 -------- 10:00 0.08 0.08 0.27 1.73 0.09 0.07 0.11
 15.12.12 11:00 0.15 0.09 0.28 1.79 0.11 0.09 0.14
 -------- 12:00 0.12 0.12 0.24 1.64 0.09 0.11 0.15
 -------- 13:00 0.11 0.14 0.23 1.64 0.10 0.11 0.15
 -------- 14:00 0.13 0.14 0.24 1.70 0.10 0.12 0.14
 -------- 15:00 0.10 0.13 0.26 1.60 0.10 0.13 0.16
 15.12.12 16:00 0.08 0.11 0.28 1.73 0.10 0.12 0.14
 -------- 17:00 0.09 0.08 0.31 1.71 0.06 0.11 0.13
 -------- 18:00 0.09 0.09 0.29 1.59 0.05 0.10 0.15
 -------- 19:00 0.07 0.10 0.28 1.55 0.05 0.10 0.14
 -------- 20:00 0.08 0.10 0.28 1.57 0.06 0.09 0.13
 15.12.12 21:00 0.09 0.09 0.28 1.57 0.06 0.08 0.11
 -------- 22:00 0.09 0.06 0.28 1.60 0.04 0.08 0.11
 -------- 23:00 0.06 0.07 0.29 1.61 0.04 0.08 0.11
