 Date Time CO OZ NO2 CHX NO PM10
 14.01.13 12:00 0.12 0.03 0.37 1.64 0.22 0.08
 -------- 13:00 0.15 0.04 0.37 1.68 0.18 0.17
 -------- 14:00 0.11 0.05 0.39 1.64 0.17 0.20
 -------- 15:00 0.12 0.04 0.40 1.60 0.18 0.14
 -------- 16:00 0.11 0.03 0.41 1.63 0.17 0.08
 14.01.13 17:00 0.09 0.03 0.41 1.54 0.10 0.06
 -------- 18:00 0.14 0.06 0.36 1.56 0.04 0.12
 -------- 19:00 0.21 0.04 0.39 1.64 0.05 0.13
 -------- 20:00 0.17 0.11 0.30 1.55 0.02 0.09
 -------- 21:00 0.10 0.17 0.25 1.45 0.02 0.04
 14.01.13 22:00 0.04 0.20 0.20 1.43 0.01 0.02
 -------- 23:00 0.02 0.20 0.22 1.42 0.02 0.02
 -------- 00:00 0.02 0.20 0.22 1.40 0.03 0.02
 -------- 01:00 0.02 0.22 0.20 1.40 0.05 0.02
 -------- 02:00 0.02 0.30 0.12 1.39 0.01 0.02
 15.01.13 03:00 0.02 0.30 0.13 1.39 0.01 0.02
 -------- 04:00 0.02 0.31 0.14 1.39 0.01 0.02
 -------- 05:00 0.02 0.29 0.15 1.39 0.01 0.02
 -------- 06:00 0.02 0.26 0.17 1.39 0.01 0.02
 -------- 07:00 0.05 0.16 0.34 1.48 0.05 0.06
 15.01.13 08:00 0.07 0.04 0.43 1.51 0.07 0.06
 -------- 09:00 0.07 0.01 0.42 1.52 0.09 0.07
 -------- 10:00 0.07 0.02 0.42 1.52 0.10 0.06
 -------- 11:00 0.09 0.04 0.40 1.51 0.14 0.08
 -------- 12:00 0.07 0.09 0.34 1.50 0.08 0.09
 15.01.13 13:00 0.07 0.07 0.37 1.51 0.11 0.09
 -------- 14:00 0.08 0.05 0.38 1.53 0.13 0.11
 -------- 15:00 0.07 0.05 0.39 1.53 0.12 0.09
 -------- 16:00 0.08 0.09 0.34 1.49 0.06 0.09
 -------- 17:00 0.06 0.05 0.41 1.52 0.08 0.08
 15.01.13 18:00 0.11 0.01 0.45 1.58 0.20 0.06
 -------- 19:00 0.12 0.01 0.45 1.61 0.21 0.06
 -------- 20:00 0.12 0.01 0.44 1.60 0.20 0.06
 -------- 21:00 0.11 0.01 0.44 1.63 0.16 0.07
 -------- 22:00 0.10 0.01 0.43 1.59 0.13 0.06
 15.01.13 23:00 0.07 0.01 0.44 1.50 0.09 0.04
 -------- 00:00 0.05 0.02 0.42 1.58 0.05 0.03
 -------- 01:00 0.07 0.01 0.43 1.73 0.08 0.05
 -------- 02:00 0.07 0.01 0.41 1.61 0.06 0.08
 -------- 03:00 0.06 0.08 0.33 1.49 0.01 0.05
 16.01.13 04:00 0.04 0.06 0.35 1.55 0.02 0.04
 -------- 05:00 0.02 0.20 0.19 1.52 0.00 0.03
 -------- 06:00 0.04 0.24 0.19 1.49 0.01 0.03
 -------- 07:00 0.05 0.20 0.25 1.47 0.01 0.03
 -------- 08:00 0.06 0.09 0.33 1.48 0.04 0.03
 16.01.13 09:00 0.07 0.07 0.37 1.49 0.07 0.04
 -------- 10:00 0.07 0.04 0.39 1.53 0.11 0.05
 -------- 11:00 0.08 0.04 0.37 1.52 0.11 0.06
