 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 02.05.13 12:00 0.02 0.52 0.18 1.44 0.03 0.25 0.04
 -------- 13:00 0.03 0.61 0.14 1.44 0.02 0.08 0.03
 -------- 14:00 0.03 0.63 0.17 1.46 0.04 0.09 0.06
 -------- 15:00 0.02 0.70 0.14 1.44 0.02 0.07 0.05
 -------- 16:00 0.02 0.79 0.11 1.41 0.02 0.05 0.04
 02.05.13 17:00 0.03 0.80 0.12 1.42 0.02 0.07 0.06
 -------- 18:00 0.04 0.79 0.10 1.41 0.01 0.06 0.05
 -------- 19:00 0.04 0.77 0.11 1.41 0.01 0.05 0.04
 -------- 20:00 0.05 0.65 0.17 1.43 0.01 0.05 0.05
 -------- 21:00 0.08 0.45 0.27 1.50 0.01 0.08 0.07
 02.05.13 22:00 0.23 0.11 0.53 1.95 0.15 0.30 0.19
 -------- 23:00 0.31 0.01 0.61 2.33 0.41 0.71 0.33
 -------- 00:00 0.32 0.01 0.56 2.51 0.48 0.58 0.35
 -------- 01:00 0.40 0.01 0.48 2.41 0.41 0.67 0.35
 -------- 02:00 0.27 0.01 0.51 2.62 0.42 0.55 0.32
 03.05.13 03:00 0.14 0.07 0.47 1.98 0.15 0.31 0.18
 -------- 04:00 0.05 0.41 0.22 1.49 0.01 0.05 0.05
 -------- 05:00 0.05 0.39 0.28 1.48 0.02 0.05 0.05
 -------- 06:00 0.06 0.37 0.29 1.48 0.02 0.05 0.05
 -------- 07:00 0.07 0.34 0.32 1.54 0.02 0.07 0.06
 03.05.13 08:00 0.07 0.37 0.29 1.49 0.03 0.08 0.06
 -------- 09:00 0.06 0.35 0.30 1.55 0.03 0.08 0.06
 -------- 10:00 0.06 0.42 0.27 1.50 0.03 0.37 0.19
 -------- 11:00 0.06 0.51 0.23 1.52 0.03 0.10 0.08
 -------- 12:00 0.07 0.54 0.25 1.51 0.03 0.11 0.09
 03.05.13 13:00 0.06 0.62 0.22 1.47 0.03 0.11 0.09
 -------- 14:00 0.07 0.65 0.19 1.49 0.02 0.16 0.16
 -------- 15:00 0.06 0.71 0.15 1.44 0.02 0.15 0.13
 -------- 16:00 0.06 0.75 0.14 1.40 0.02 0.10 0.09
 -------- 17:00 0.07 0.72 0.17 1.42 0.02 0.11 0.11
 03.05.13 18:00 0.08 0.64 0.19 1.46 0.02 0.12 0.13
 -------- 19:00 0.08 0.56 0.22 1.44 0.02 0.10 0.10
 -------- 20:00 0.09 0.48 0.28 1.46 0.02 0.10 0.10
 -------- 21:00 0.10 0.34 0.37 1.46 0.02 0.09 0.09
 -------- 22:00 0.15 0.07 0.54 1.57 0.04 0.14 0.11
 03.05.13 23:00 0.19 0.01 0.54 1.72 0.11 0.18 0.16
 -------- 00:00 0.26 0.01 0.53 2.00 0.34 0.35 0.23
 -------- 01:00 0.25 0.01 0.52 2.06 0.44 0.43 0.21
 -------- 02:00 0.21 0.01 0.54 1.98 0.32 0.39 0.21
 -------- 03:00 0.12 0.05 0.45 1.69 0.03 0.20 0.17
 04.05.13 04:00 0.10 0.10 0.37 1.71 0.03 0.22 0.16
 -------- 05:00 0.10 0.12 0.30 2.07 0.03 0.22 0.19
 -------- 06:00 0.08 0.24 0.22 2.48 0.02 0.20 0.21
 -------- 07:00 0.09 0.25 0.23 2.44 0.02 0.20 0.18
 -------- 08:00 0.11 0.16 0.28 2.32 0.04 0.26 0.22
 04.05.13 09:00 0.13 0.07 0.35 2.20 0.11 0.30 0.28
 -------- 10:00 0.11 0.08 0.28 2.20 0.07 0.22 0.23
 -------- 11:00 0.09 0.21 0.23 1.67 0.03 0.13 0.15
