 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 02.02.13 00:00 0.04 0.01 0.31 1.59 0.05 0.15 0.22
 -------- 01:00 0.06 0.01 0.31 1.60 0.05 0.14 0.20
 -------- 02:00 0.06 ---- 0.30 1.64 0.08 0.14 0.18
 -------- 03:00 0.05 0.01 0.28 1.64 0.05 0.10 0.14
 -------- 04:00 0.03 0.01 0.29 1.55 0.05 0.07 0.10
 02.02.13 05:00 0.02 0.01 0.27 1.57 0.04 0.06 0.09
 -------- 06:00 0.02 0.01 0.28 1.78 0.09 0.07 0.11
 -------- 07:00 0.02 0.01 0.33 1.82 0.19 0.09 0.13
 -------- 08:00 0.04 0.01 0.36 1.67 0.24 0.11 0.15
 -------- 09:00 0.02 0.01 0.31 1.58 0.07 0.08 0.11
 02.02.13 10:00 0.02 0.02 0.30 1.62 0.09 0.08 0.10
 -------- 11:00 0.03 0.02 0.30 1.62 0.10 0.10 0.12
 -------- 12:00 0.04 0.03 0.29 1.65 0.11 0.12 0.16
 -------- 13:00 0.09 0.04 0.28 1.66 0.09 0.10 0.13
 -------- 14:00 0.04 0.13 0.23 1.53 0.06 0.07 0.09
 02.02.13 15:00 0.02 0.13 0.26 1.60 0.07 0.09 0.11
 -------- 16:00 0.03 0.09 0.28 1.68 0.07 0.17 0.22
 -------- 17:00 0.02 0.05 0.33 1.61 0.08 0.12 0.15
 -------- 18:00 0.03 0.01 0.37 1.64 0.11 0.11 0.13
 -------- 19:00 0.03 0.01 0.34 1.61 0.07 0.10 0.14
 02.02.13 20:00 0.02 0.01 0.33 1.64 0.07 0.10 0.14
 -------- 21:00 0.02 0.01 0.32 1.67 0.07 0.09 0.12
 -------- 22:00 0.02 0.01 0.32 1.87 0.12 0.12 0.16
 -------- 23:00 0.02 0.01 0.31 1.83 0.08 0.09 0.14
 -------- 00:00 0.02 0.01 0.31 1.69 0.13 0.11 0.15
 03.02.13 01:00 0.04 0.01 0.30 1.65 0.13 0.14 0.18
 -------- 02:00 0.04 0.01 0.28 1.59 0.05 0.10 0.13
 -------- 03:00 ---- 0.04 0.25 1.55 0.02 0.09 0.12
 -------- 04:00 ---- 0.09 0.21 1.52 0.01 0.08 0.11
 -------- 05:00 ---- 0.14 0.18 1.50 0.01 0.06 0.09
 03.02.13 06:00 ---- 0.13 0.21 1.49 0.02 0.06 0.09
 -------- 07:00 ---- 0.15 0.21 1.48 0.01 0.05 0.08
 -------- 08:00 ---- 0.16 0.20 1.46 0.01 0.05 0.07
 -------- 09:00 ---- 0.21 0.18 1.46 0.01 0.04 0.07
 -------- 10:00 ---- 0.24 0.17 1.46 0.01 0.05 0.07
 03.02.13 11:00 ---- 0.26 0.16 1.44 0.02 0.05 0.07
 -------- 12:00 ---- 0.29 0.14 1.45 0.02 0.04 0.06
 -------- 13:00 ---- 0.34 0.10 1.45 0.01 0.03 0.05
 -------- 14:00 ---- 0.37 0.11 1.45 0.01 0.03 0.05
 -------- 15:00 ---- 0.36 0.13 1.45 0.02 0.04 0.06
 03.02.13 16:00 0.02 0.29 0.19 1.47 0.03 0.06 0.09
 -------- 17:00 0.02 0.27 0.18 1.48 0.02 0.04 0.06
 -------- 18:00 0.02 0.25 0.20 1.46 0.01 0.04 0.07
 -------- 19:00 0.02 0.22 0.21 1.46 0.01 0.04 0.06
 -------- 20:00 0.02 0.16 0.26 1.46 0.02 0.04 0.06
 03.02.13 21:00 0.02 0.18 0.23 1.48 0.01 0.04 0.05
 -------- 22:00 0.02 0.14 0.26 1.48 0.03 0.04 0.06
 -------- 23:00 0.02 0.13 0.26 1.48 0.01 0.04 0.06
