 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 14.05.13 12:00 0.03 0.54 0.15 1.49 0.02 ---- ----
 -------- 13:00 0.02 0.75 0.07 1.50 0.01 ---- ----
 -------- 14:00 0.02 0.83 0.08 1.52 0.01 ---- ----
 -------- 15:00 0.02 0.84 0.08 1.64 0.01 ---- ----
 -------- 16:00 0.03 0.79 0.07 1.56 0.01 0.51 ----
 14.05.13 17:00 0.03 0.78 0.06 1.40 0.01 0.15 ----
 -------- 18:00 0.03 0.79 0.07 1.39 0.01 0.11 ----
 -------- 19:00 0.03 0.74 0.11 1.42 0.01 0.12 ----
 -------- 20:00 0.10 0.28 0.39 1.71 0.03 0.25 ----
 -------- 21:00 0.07 0.54 0.23 1.50 0.01 0.46 ----
 14.05.13 22:00 0.07 0.44 0.29 1.53 0.01 0.23 ----
 -------- 23:00 0.20 0.06 0.51 1.90 0.21 0.66 ----
 -------- 00:00 0.22 0.01 0.46 1.97 0.26 0.97 ----
 -------- 01:00 0.17 0.01 0.43 1.93 0.15 0.49 ----
 -------- 02:00 0.11 0.11 0.32 1.96 0.12 0.35 ----
 15.05.13 03:00 0.11 0.04 0.36 2.15 0.10 0.58 ----
 -------- 04:00 0.10 0.02 0.38 2.45 0.19 0.64 ----
 -------- 05:00 0.09 0.02 0.41 2.91 0.16 0.68 ----
 -------- 06:00 0.09 0.03 0.38 2.20 0.08 0.31 ----
 -------- 07:00 0.10 0.04 0.37 2.27 0.09 0.23 ----
 15.05.13 08:00 0.10 0.10 0.34 2.60 0.07 0.55 ----
 -------- 09:00 0.09 0.18 0.32 2.34 0.05 0.35 ----
 -------- 10:00 0.08 0.29 0.27 1.97 0.04 0.28 ----
 -------- 11:00 0.06 0.47 0.21 1.56 0.02 0.23 ----
 -------- 12:00 0.07 0.55 0.21 1.59 0.02 0.24 ----
 15.05.13 13:00 0.05 0.71 0.15 1.51 0.01 0.22 ----
 -------- 14:00 0.05 0.63 0.17 1.45 0.01 0.23 ----
 -------- 15:00 0.04 0.69 0.10 1.42 0.01 0.17 ----
 -------- 16:00 0.04 0.69 0.15 1.62 0.01 0.31 ----
 -------- 17:00 0.09 0.35 0.32 1.54 0.01 0.30 ----
 15.05.13 18:00 0.15 0.10 0.48 1.64 0.07 0.22 ----
 -------- 19:00 0.18 0.05 0.57 1.70 0.13 0.27 ----
 -------- 20:00 0.14 0.05 0.53 1.77 0.06 0.28 ----
 -------- 21:00 0.07 0.27 0.31 1.53 0.02 0.14 ----
 -------- 22:00 0.11 0.11 0.45 1.62 0.08 0.29 ----
 15.05.13 23:00 0.10 0.07 0.43 1.69 0.08 0.28 ----
 -------- 00:00 0.09 0.07 0.38 1.91 0.04 0.15 ----
 -------- 01:00 0.07 0.15 0.26 1.93 0.02 0.12 ----
 -------- 02:00 0.04 0.25 0.19 2.01 0.01 0.10 ----
 -------- 03:00 0.04 0.26 0.14 1.85 0.01 0.12 ----
 16.05.13 04:00 0.05 0.16 0.21 2.46 0.03 0.18 ----
 -------- 05:00 0.05 0.09 0.25 1.59 0.04 0.18 ----
 -------- 06:00 0.06 0.05 0.29 1.52 0.07 0.21 ----
 -------- 07:00 0.06 0.08 0.26 1.66 0.05 0.13 ----
 -------- 08:00 0.06 0.25 0.21 1.93 0.04 0.13 ----
 16.05.13 09:00 0.06 0.30 0.23 1.81 0.06 0.14 ----
 -------- 10:00 0.04 0.34 0.16 1.47 0.02 0.13 ----
 -------- 11:00 0.04 0.44 0.14 1.51 0.02 0.18 ----
