 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 08.02.13 12:00 ---- 0.21 0.17 1.52 0.03 0.05 0.06
 -------- 13:00 ---- 0.24 0.15 1.55 0.02 0.04 0.06
 -------- 14:00 ---- 0.21 0.16 1.51 0.03 0.05 0.07
 -------- 15:00 ---- 0.20 0.17 1.57 0.02 0.05 0.07
 -------- 16:00 ---- 0.18 0.19 1.57 0.03 0.05 0.06
 08.02.13 17:00 0.02 0.14 0.23 1.58 0.05 0.05 0.06
 -------- 18:00 ---- 0.14 0.23 1.53 0.03 0.05 0.06
 -------- 19:00 ---- 0.16 0.21 1.54 0.02 0.03 0.05
 -------- 20:00 ---- 0.24 0.16 1.53 0.01 0.03 0.05
 -------- 21:00 ---- 0.28 0.15 1.53 0.01 0.03 0.05
 08.02.13 22:00 ---- 0.32 0.11 1.54 0.01 0.03 0.05
 -------- 23:00 ---- 0.32 0.13 1.53 0.01 0.04 0.05
 -------- 00:00 ---- 0.31 0.11 1.50 0.01 0.04 0.06
 -------- 01:00 ---- 0.29 0.13 1.53 0.01 0.04 0.05
 -------- 02:00 ---- 0.34 0.10 1.50 0.01 0.04 0.06
 09.02.13 03:00 ---- 0.38 0.07 1.52 0.01 0.03 0.05
 -------- 04:00 ---- 0.38 0.08 1.52 0.01 0.04 0.06
 -------- 05:00 ---- 0.37 0.09 1.47 0.01 0.04 0.06
 -------- 06:00 ---- 0.34 0.12 1.48 0.01 0.04 0.07
 -------- 07:00 ---- 0.34 0.10 1.50 0.01 0.05 0.07
 09.02.13 08:00 0.02 0.28 0.15 1.49 0.01 0.06 0.08
 -------- 09:00 0.02 0.31 0.12 1.47 0.01 0.06 0.06
 -------- 10:00 ---- 0.31 0.13 1.46 0.02 0.06 0.06
 -------- 11:00 0.02 0.29 0.15 1.45 0.02 0.05 0.05
 -------- 12:00 0.02 0.24 0.19 1.48 0.02 0.05 0.06
 09.02.13 13:00 0.02 0.26 0.15 1.53 0.02 0.05 0.06
 -------- 14:00 0.02 0.31 0.14 1.56 0.02 0.05 0.07
 -------- 15:00 0.02 0.33 0.15 1.54 0.02 0.07 0.08
 -------- 16:00 0.02 0.36 0.14 1.52 0.01 0.08 0.09
 -------- 17:00 0.02 0.40 0.14 1.51 0.01 0.07 0.09
 09.02.13 18:00 0.02 0.40 0.14 1.51 0.01 0.07 0.09
 -------- 19:00 ---- 0.39 0.16 1.55 0.01 0.07 0.09
 -------- 20:00 ---- 0.39 0.14 1.51 0.01 0.08 0.11
 -------- 21:00 ---- 0.41 0.11 1.50 0.01 0.05 0.07
 -------- 22:00 ---- 0.41 0.12 1.50 0.01 0.04 0.06
 09.02.13 23:00 ---- 0.41 0.12 1.45 0.01 0.05 0.07
 -------- 00:00 ---- 0.41 0.10 1.45 0.01 0.05 0.06
 -------- 01:00 ---- 0.42 0.09 1.45 0.01 0.06 0.07
 -------- 02:00 ---- 0.40 0.09 1.46 0.01 0.05 0.06
 -------- 03:00 ---- 0.40 0.07 1.44 0.01 0.04 0.06
 10.02.13 04:00 ---- 0.41 0.06 1.44 0.01 0.03 0.05
 -------- 05:00 ---- 0.40 0.06 1.45 0.01 0.02 0.04
 -------- 06:00 ---- 0.40 0.05 1.53 0.01 0.02 0.04
 -------- 07:00 ---- 0.39 0.06 1.57 0.01 0.02 0.03
 -------- 08:00 ---- 0.37 0.07 1.46 0.01 0.03 0.04
 10.02.13 09:00 ---- 0.35 0.08 1.47 0.01 0.03 0.04
 -------- 10:00 0.02 0.33 0.09 1.46 0.01 0.03 0.04
 -------- 11:00 0.02 0.31 0.10 1.47 0.01 0.03 0.05
