 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 13.02.13 00:00 ---- 0.22 0.21 1.65 0.02 0.08 0.10
 -------- 01:00 ---- 0.20 0.20 1.72 0.02 0.08 0.10
 -------- 02:00 ---- 0.24 0.17 1.73 0.01 0.08 0.11
 -------- 03:00 ---- 0.19 0.21 2.01 0.02 0.10 0.14
 -------- 04:00 ---- 0.20 0.18 1.83 0.01 0.09 0.12
 13.02.13 05:00 ---- 0.17 0.26 1.53 0.02 0.07 0.08
 -------- 06:00 0.02 0.08 0.38 1.49 0.03 0.07 0.08
 -------- 07:00 0.02 0.04 0.42 1.65 0.08 0.09 0.10
 -------- 08:00 0.03 0.03 0.42 1.70 0.09 0.10 0.11
 -------- 09:00 0.04 0.06 0.37 1.59 0.05 0.08 0.09
 13.02.13 10:00 0.03 0.09 0.38 1.58 0.08 0.10 0.09
 -------- 11:00 0.02 0.11 0.37 1.60 0.12 0.14 0.11
 -------- 12:00 0.03 0.12 0.37 1.76 0.15 0.17 0.14
 -------- 13:00 ---- 0.22 0.27 1.61 0.08 0.14 0.13
 -------- 14:00 ---- 0.25 0.26 1.60 0.07 0.12 0.11
 13.02.13 15:00 ---- 0.33 0.19 1.54 0.04 0.09 0.08
 -------- 16:00 ---- 0.29 0.26 1.59 0.05 0.10 0.10
 -------- 17:00 ---- 0.19 0.34 1.63 0.07 0.12 0.11
 -------- 18:00 ---- 0.13 0.39 1.69 0.11 0.14 0.13
 -------- 19:00 0.03 0.02 0.48 1.77 0.23 0.15 0.14
 13.02.13 20:00 0.08 0.01 0.58 2.01 0.60 0.16 0.17
 -------- 21:00 0.11 0.02 0.54 2.23 0.38 0.15 0.15
 -------- 22:00 0.03 0.06 0.40 1.61 0.11 0.10 0.10
 -------- 23:00 ---- 0.04 0.42 1.87 0.12 0.10 0.11
 -------- 00:00 ---- 0.07 0.37 1.82 0.07 0.10 0.10
 14.02.13 01:00 ---- 0.13 0.32 1.50 0.04 0.10 0.10
 -------- 02:00 ---- 0.09 0.36 1.49 0.05 0.12 0.10
 -------- 03:00 ---- 0.11 0.32 1.48 0.04 0.09 0.09
 -------- 04:00 ---- 0.12 0.30 1.49 0.04 0.11 0.10
 -------- 05:00 ---- 0.15 0.27 1.49 0.04 0.09 0.10
 14.02.13 06:00 ---- 0.17 0.26 1.49 0.04 0.09 0.09
 -------- 07:00 ---- 0.14 0.31 1.51 0.07 0.09 0.10
 -------- 08:00 0.02 0.08 0.36 1.55 0.13 0.10 0.11
 -------- 09:00 ---- 0.10 0.31 1.53 0.13 0.10 0.11
 -------- 10:00 0.02 0.08 0.35 1.54 0.17 0.12 0.12
 14.02.13 11:00 0.02 0.13 0.32 1.55 0.13 0.13 0.12
 -------- 12:00 ---- 0.17 0.27 1.52 0.10 0.15 0.12
 -------- 13:00 ---- 0.20 0.28 1.52 0.10 0.16 0.13
 -------- 14:00 0.02 0.23 0.32 1.53 0.10 0.19 0.15
 -------- 15:00 0.03 0.21 0.31 1.52 0.12 0.15 0.11
 14.02.13 16:00 0.02 0.17 0.36 1.55 0.11 0.17 0.12
 -------- 17:00 ---- 0.19 0.34 1.50 0.09 0.14 0.10
 -------- 18:00 0.02 0.09 0.42 1.51 0.18 0.18 0.11
 -------- 19:00 0.04 0.03 0.53 1.67 0.29 0.18 0.15
 -------- 20:00 0.04 0.02 0.48 1.59 0.21 0.15 0.14
 14.02.13 21:00 0.04 0.01 0.48 1.95 0.21 0.15 0.15
 -------- 22:00 0.04 0.01 0.47 2.73 0.17 0.16 0.17
 -------- 23:00 0.03 0.03 0.43 2.70 0.11 0.15 0.18
