 Date Time CO OZ NO2 CHX NO PM10
 10.05.13 00:00 0.22 0.01 0.44 2.21 0.17 0.55
 -------- 01:00 0.25 0.01 0.43 2.42 0.26 0.42
 -------- 02:00 0.27 0.01 0.40 2.41 0.28 0.40
 -------- 03:00 0.25 0.01 0.37 2.49 0.33 0.33
 -------- 04:00 0.23 0.01 0.40 2.48 0.35 0.38
 10.05.13 05:00 0.25 0.01 0.42 2.52 0.44 0.45
 -------- 06:00 0.19 0.01 0.43 2.42 0.44 0.46
 -------- 07:00 0.11 0.07 0.44 1.70 0.06 0.12
 -------- 08:00 0.08 0.25 0.34 1.56 0.04 0.10
 -------- 09:00 0.08 0.38 0.28 1.54 0.03 0.10
 10.05.13 10:00 0.06 0.55 0.21 1.52 0.02 0.10
 -------- 11:00 0.05 0.73 0.14 1.49 0.01 0.11
 -------- 12:00 0.04 0.88 0.11 1.45 0.01 0.12
 -------- 13:00 0.04 0.91 0.09 1.41 0.01 0.15
 -------- 14:00 0.04 0.88 0.09 1.60 0.01 0.12
 10.05.13 15:00 0.04 0.88 0.08 1.69 0.01 0.13
 -------- 16:00 0.04 0.87 0.08 1.51 0.01 0.09
 -------- 17:00 0.06 0.85 0.08 1.58 0.01 0.11
 -------- 18:00 0.06 0.85 0.09 1.50 0.01 0.09
 -------- 19:00 0.06 0.84 0.12 1.50 0.01 0.16
 10.05.13 20:00 0.07 0.79 0.14 1.55 0.01 0.11
 -------- 21:00 0.09 0.56 0.29 1.47 0.01 0.11
 -------- 22:00 0.13 0.26 0.46 1.64 0.03 0.21
 -------- 23:00 0.18 0.08 0.48 1.81 0.06 0.27
 -------- 00:00 0.17 0.02 0.58 1.77 0.10 0.15
 11.05.13 01:00 0.23 0.01 0.55 1.97 0.26 0.27
 -------- 02:00 0.16 0.02 0.51 1.72 0.11 0.24
 -------- 03:00 0.08 0.15 0.40 1.53 0.04 0.26
 -------- 04:00 0.11 0.08 0.43 1.70 0.17 0.17
 -------- 05:00 0.18 0.01 0.49 1.90 0.29 0.25
 11.05.13 06:00 0.14 0.01 0.48 2.01 0.24 0.22
 -------- 07:00 0.15 0.02 0.46 2.15 0.25 0.22
 -------- 08:00 0.14 0.06 0.50 1.76 0.11 0.17
 -------- 09:00 0.10 0.19 0.38 1.78 0.05 0.21
 -------- 10:00 0.08 0.36 0.29 1.63 0.02 0.16
 11.05.13 11:00 0.07 0.48 0.25 1.57 0.02 0.14
 -------- 12:00 0.05 0.67 0.18 1.48 0.02 0.12
 -------- 13:00 0.05 0.81 0.13 1.55 0.01 0.09
 -------- 14:00 0.04 0.96 0.08 1.83 0.01 0.07
 -------- 15:00 0.04 0.98 0.07 1.66 0.01 0.09
 11.05.13 16:00 0.04 0.94 0.08 1.60 0.01 0.10
 -------- 17:00 0.04 0.91 0.07 1.81 0.01 0.10
 -------- 18:00 0.04 0.85 0.10 1.45 0.01 0.11
 -------- 19:00 0.05 0.71 0.16 1.46 0.01 0.10
 -------- 20:00 0.07 0.56 0.22 1.50 0.01 0.13
 11.05.13 21:00 0.09 0.36 0.29 1.55 0.01 0.26
 -------- 22:00 0.17 0.07 0.52 2.00 0.10 0.22
 -------- 23:00 0.23 0.01 0.53 1.88 0.15 0.21
