 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 01.12.12 00:00 0.27 0.01 0.30 2.01 0.79 0.09 0.17
 -------- 01:00 0.17 0.01 0.28 1.82 0.46 0.08 0.14
 -------- 02:00 0.09 0.01 0.30 1.55 0.07 0.03 0.07
 -------- 03:00 0.11 0.01 0.31 1.72 0.19 0.04 0.08
 -------- 04:00 0.19 0.01 0.30 1.83 0.30 0.07 0.12
 01.12.12 05:00 0.07 0.01 0.28 1.64 0.04 0.05 0.08
 -------- 06:00 0.07 0.05 0.22 1.49 0.03 0.03 0.07
 -------- 07:00 0.08 0.03 0.20 1.47 0.05 0.03 0.06
 -------- 08:00 0.09 0.01 0.21 1.49 0.07 0.03 0.06
 -------- 09:00 0.10 0.01 0.21 1.50 0.10 0.03 0.06
 01.12.12 10:00 0.10 0.01 0.19 1.50 0.10 0.03 0.06
 -------- 11:00 0.11 0.01 0.20 1.55 0.16 0.04 0.07
 -------- 12:00 0.13 0.01 0.24 1.59 0.20 0.05 0.08
 -------- 13:00 0.11 0.01 0.19 1.58 0.18 0.05 0.07
 -------- 14:00 0.13 0.01 0.20 1.60 0.20 0.06 0.08
 01.12.12 15:00 0.13 0.01 0.20 1.59 0.20 0.05 0.07
 -------- 16:00 0.13 0.01 0.18 1.62 0.20 0.04 0.06
 -------- 17:00 0.13 0.01 0.18 1.68 0.20 0.06 0.08
 -------- 18:00 0.17 0.01 0.19 1.81 0.29 0.08 0.11
 -------- 19:00 0.20 0.01 0.20 1.91 0.35 0.13 0.16
 01.12.12 20:00 0.24 0.01 0.20 1.96 0.36 0.16 0.20
 -------- 21:00 0.22 0.01 0.20 1.91 0.41 0.13 0.16
 -------- 22:00 0.21 0.01 0.19 1.93 0.37 0.13 0.17
 -------- 23:00 0.23 0.01 0.18 2.08 0.39 0.13 0.17
 -------- 00:00 0.10 0.01 0.17 1.77 0.16 0.06 0.08
 02.12.12 01:00 0.12 0.01 0.18 1.77 0.25 0.09 0.14
 -------- 02:00 0.15 0.01 0.17 1.80 0.26 0.11 0.17
 -------- 03:00 0.15 0.01 0.17 1.84 0.31 0.09 0.13
 -------- 04:00 0.18 0.01 0.19 1.96 0.51 0.09 0.14
 -------- 05:00 0.20 0.01 0.20 2.04 0.64 0.09 0.14
 02.12.12 06:00 0.13 0.01 0.17 1.73 0.30 0.05 0.07
 -------- 07:00 0.11 0.01 0.21 1.70 0.22 0.05 0.09
 -------- 08:00 0.09 0.01 0.14 1.65 0.16 0.02 0.04
 -------- 09:00 0.08 0.01 0.14 1.63 0.14 0.02 0.03
 -------- 10:00 0.09 0.01 0.21 1.56 0.17 0.04 0.06
 02.12.12 11:00 0.08 0.01 0.18 1.60 0.14 0.03 0.04
 -------- 12:00 0.08 0.02 0.16 1.53 0.11 0.03 0.04
 -------- 13:00 0.09 0.03 0.18 1.51 0.14 0.04 0.05
 -------- 14:00 0.13 0.02 0.21 1.59 0.17 0.07 0.10
 -------- 15:00 0.15 0.02 0.24 1.61 0.17 0.11 0.16
 02.12.12 16:00 0.16 0.02 0.24 1.61 0.17 0.07 0.10
 -------- 17:00 0.16 0.02 0.23 1.62 0.11 0.05 0.08
 -------- 18:00 0.15 0.01 0.23 1.66 0.16 0.04 0.05
 -------- 19:00 0.15 0.01 0.24 1.63 0.12 0.09 0.13
 -------- 20:00 0.35 0.02 0.27 1.85 0.15 0.88 1.28
 02.12.12 21:00 0.19 0.01 0.27 1.53 0.10 0.07 0.10
 -------- 22:00 0.14 0.02 0.25 1.55 0.09 0.04 0.07
 -------- 23:00 0.12 0.01 0.26 1.53 0.12 0.06 0.09
