 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 06.12.12 12:00 0.06 0.06 0.26 1.46 0.06 0.06 0.07
 -------- 13:00 0.06 0.06 0.26 1.45 0.06 0.06 0.08
 -------- 14:00 0.06 0.06 0.25 1.46 0.06 0.07 0.08
 -------- 15:00 0.07 0.05 0.27 1.49 0.06 0.09 0.09
 -------- 16:00 0.06 0.10 0.23 1.55 0.02 0.11 1.12
 06.12.12 17:00 0.09 0.08 0.22 1.53 0.03 0.05 0.41
 -------- 18:00 0.05 0.12 0.17 1.49 0.01 0.05 0.18
 -------- 19:00 0.05 0.13 0.19 1.47 0.01 0.05 0.14
 -------- 20:00 0.05 0.07 0.23 1.47 0.03 0.07 0.13
 -------- 21:00 0.04 0.09 0.18 1.43 0.03 0.06 0.11
 06.12.12 22:00 0.04 0.11 0.16 1.56 0.02 0.06 0.12
 -------- 23:00 0.05 0.12 0.14 1.54 0.02 0.05 0.10
 -------- 00:00 0.03 0.20 0.08 1.43 0.01 0.03 0.07
 -------- 01:00 0.02 0.21 0.07 1.43 0.01 0.03 0.06
 -------- 02:00 0.02 0.23 0.06 1.41 0.00 0.02 0.06
 07.12.12 03:00 0.02 0.23 0.05 1.45 0.00 0.03 0.06
 -------- 04:00 0.02 0.26 0.04 1.45 0.00 0.02 0.05
 -------- 05:00 0.02 0.26 0.05 1.43 0.00 0.02 0.05
 -------- 06:00 0.03 0.26 0.06 1.42 0.01 0.02 0.04
 -------- 07:00 0.04 0.22 0.10 1.42 0.02 0.03 0.06
 07.12.12 08:00 0.06 0.19 0.12 1.41 0.02 0.02 0.05
 -------- 09:00 0.07 0.16 0.15 1.47 0.06 0.03 0.06
 -------- 10:00 0.06 0.16 0.15 1.44 0.04 0.04 0.08
 -------- 11:00 0.07 0.13 0.18 1.47 0.04 0.05 0.08
 -------- 12:00 0.08 0.14 0.17 1.62 0.05 0.05 0.08
 07.12.12 13:00 0.08 0.14 0.18 1.47 0.04 0.05 0.08
 -------- 14:00 0.08 0.13 0.18 1.50 0.06 0.05 0.09
 -------- 15:00 0.09 0.10 0.20 1.66 0.08 0.05 0.09
 -------- 16:00 0.07 0.10 0.19 1.50 0.06 0.04 0.07
 -------- 17:00 0.08 0.09 0.19 1.55 0.05 0.04 0.07
 07.12.12 18:00 0.07 0.10 0.16 1.51 0.04 0.04 0.07
 -------- 19:00 0.06 0.08 0.17 1.52 0.04 0.05 0.08
 -------- 20:00 0.06 0.06 0.17 1.52 0.06 0.05 0.09
 -------- 21:00 0.06 0.04 0.16 1.55 0.07 0.07 0.12
 -------- 22:00 0.06 0.04 0.16 1.52 0.06 0.07 0.11
 07.12.12 23:00 0.06 0.05 0.15 1.94 0.05 0.07 0.11
 -------- 00:00 0.08 0.05 0.15 2.24 0.06 0.07 0.11
 -------- 01:00 0.06 0.03 0.20 2.06 0.04 0.06 0.10
 -------- 02:00 0.06 0.01 0.21 2.20 0.04 0.07 0.13
 -------- 03:00 0.05 0.02 0.19 2.35 0.03 0.07 0.13
 08.12.12 04:00 0.04 0.05 0.15 1.84 0.02 0.06 0.11
 -------- 05:00 0.04 0.04 0.15 2.11 0.03 0.06 0.12
 -------- 06:00 0.04 0.05 0.14 1.96 0.02 0.06 0.11
 -------- 07:00 0.04 0.04 0.15 2.19 0.04 0.06 0.11
 -------- 08:00 0.04 0.03 0.16 2.34 0.04 0.07 0.12
 08.12.12 09:00 0.06 0.01 0.19 2.38 0.08 0.08 0.13
 -------- 10:00 0.07 0.01 0.19 1.95 0.08 0.08 0.14
 -------- 11:00 0.06 0.03 0.16 1.84 0.08 0.07 0.11
