 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 19.12.12 12:00 0.08 0.13 0.22 1.65 0.09 0.06 0.07
 -------- 13:00 0.09 0.13 0.23 1.61 0.10 0.07 0.08
 -------- 14:00 0.06 0.15 0.22 1.58 0.07 0.11 0.10
 -------- 15:00 0.06 0.14 0.25 1.58 0.07 0.11 0.08
 -------- 16:00 0.06 0.12 0.27 1.58 0.05 0.06 0.07
 19.12.12 17:00 0.13 0.03 0.41 1.82 0.21 0.13 0.15
 -------- 18:00 0.11 0.01 0.37 1.93 0.22 0.12 0.15
 -------- 19:00 0.08 0.03 0.35 1.82 0.15 0.09 0.11
 -------- 20:00 0.09 0.03 0.34 1.77 0.12 0.08 0.11
 -------- 21:00 0.14 0.03 0.33 1.93 0.12 0.08 0.11
 19.12.12 22:00 0.06 0.07 0.28 1.78 0.06 0.07 0.11
 -------- 23:00 0.06 0.06 0.30 1.77 0.10 0.07 0.10
 -------- 00:00 0.06 0.06 0.29 1.72 0.06 0.06 0.10
 -------- 01:00 0.05 0.08 0.27 1.88 0.05 0.06 0.10
 -------- 02:00 0.04 0.09 0.25 1.99 0.04 0.06 0.09
 20.12.12 03:00 0.04 0.10 0.24 1.97 0.04 0.05 0.08
 -------- 04:00 0.04 0.11 0.24 1.93 0.03 0.05 0.08
 -------- 05:00 0.04 0.11 0.23 1.97 0.03 0.05 0.08
 -------- 06:00 0.06 0.11 0.24 1.96 0.04 0.05 0.08
 -------- 07:00 0.07 0.06 0.32 1.97 0.12 0.06 0.09
 20.12.12 08:00 0.08 0.04 0.36 2.09 0.20 0.06 0.10
 -------- 09:00 0.09 0.03 0.36 1.99 0.21 0.06 0.10
 -------- 10:00 0.12 0.03 0.37 2.12 0.25 0.08 0.12
 -------- 11:00 0.11 0.06 0.33 2.02 0.18 0.09 0.13
 -------- 12:00 0.11 0.08 0.32 1.90 0.18 0.10 0.14
 20.12.12 13:00 0.11 0.09 0.31 1.90 0.17 0.12 0.15
 -------- 14:00 0.11 0.10 0.29 1.86 0.13 0.12 0.15
 -------- 15:00 0.09 0.10 0.30 1.99 0.13 0.12 0.16
 -------- 16:00 0.11 0.05 0.37 2.58 0.21 0.12 0.15
 -------- 17:00 0.14 0.01 0.44 1.82 0.33 0.10 0.14
 20.12.12 18:00 0.18 0.01 0.45 1.94 0.38 0.11 0.16
 -------- 19:00 0.19 0.01 0.44 2.52 0.35 0.15 0.23
 -------- 20:00 0.15 0.01 0.41 2.50 0.28 0.12 0.18
 -------- 21:00 0.17 0.01 0.41 2.39 0.25 0.11 0.17
 -------- 22:00 0.17 0.01 0.37 2.60 0.18 0.10 0.15
 20.12.12 23:00 0.09 0.01 0.35 2.36 0.14 0.10 0.16
 -------- 00:00 0.09 0.01 0.35 2.44 0.15 0.12 0.18
 -------- 01:00 0.10 0.01 0.37 2.66 0.24 0.13 0.19
 -------- 02:00 0.11 0.01 0.38 2.08 0.26 0.12 0.16
 -------- 03:00 0.10 0.01 0.37 1.76 0.24 0.11 0.14
 21.12.12 04:00 0.10 0.01 0.38 1.76 0.25 0.11 0.15
 -------- 05:00 0.08 0.01 0.35 2.09 0.17 0.11 0.17
 -------- 06:00 0.08 0.01 0.32 2.33 0.13 0.12 0.19
 -------- 07:00 0.08 0.01 0.32 2.20 0.11 0.12 0.18
 -------- 08:00 0.08 0.01 0.34 2.08 0.16 0.12 0.17
 21.12.12 09:00 0.10 0.01 0.33 2.44 0.21 0.13 0.21
 -------- 10:00 0.11 0.01 0.35 2.71 0.33 0.14 0.21
 -------- 11:00 0.12 0.01 0.39 2.25 0.37 0.19 0.19
