 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 10.12.12 12:00 0.11 0.03 0.18 2.05 0.08 0.09 0.12
 -------- 13:00 0.06 0.04 0.16 2.12 0.08 0.10 0.11
 -------- 14:00 0.06 0.04 0.16 1.74 0.09 0.06 0.09
 -------- 15:00 0.07 0.03 0.19 1.77 0.10 0.08 0.12
 -------- 16:00 0.07 0.03 0.17 1.60 0.08 0.06 0.08
 10.12.12 17:00 0.06 0.03 0.16 1.64 0.07 0.05 0.08
 -------- 18:00 0.06 0.04 0.15 1.58 0.05 0.05 0.07
 -------- 19:00 0.05 0.04 0.15 1.57 0.05 0.04 0.06
 -------- 20:00 0.04 0.07 0.14 1.51 0.02 0.04 0.06
 -------- 21:00 0.03 0.19 0.11 1.44 0.00 0.02 0.04
 10.12.12 22:00 0.02 0.24 0.11 1.43 ---- 0.02 0.03
 -------- 23:00 0.02 0.26 0.10 1.41 ---- 0.02 0.04
 -------- 00:00 0.02 0.30 0.09 1.40 ---- 0.02 0.04
 -------- 01:00 0.02 0.31 0.08 1.40 ---- 0.02 0.04
 -------- 02:00 0.02 0.32 0.07 1.40 ---- 0.03 0.05
 11.12.12 03:00 0.03 0.35 0.05 1.39 ---- 0.04 0.07
 -------- 04:00 0.02 0.40 0.07 1.36 ---- 0.03 0.05
 -------- 05:00 0.03 0.34 0.08 1.39 ---- 0.04 0.07
 -------- 06:00 0.04 0.31 0.09 1.42 0.00 0.04 0.06
 -------- 07:00 0.04 0.28 0.12 1.42 0.01 0.04 0.07
 11.12.12 08:00 0.04 0.25 0.15 1.40 0.01 0.04 0.07
 -------- 09:00 0.04 0.29 0.15 1.40 0.01 0.03 0.05
 -------- 10:00 0.04 0.29 0.15 1.39 0.01 0.04 0.06
 -------- 11:00 0.03 0.29 0.17 1.40 0.01 0.03 0.04
 -------- 12:00 0.03 0.27 0.17 1.41 0.01 0.04 0.06
 11.12.12 13:00 0.04 0.25 0.19 1.43 0.02 0.05 0.07
 -------- 14:00 0.03 0.24 0.19 1.42 0.01 0.04 0.05
 -------- 15:00 0.04 0.23 0.22 1.42 0.01 0.04 0.06
 -------- 16:00 0.04 0.20 0.20 1.44 0.02 0.05 0.07
 -------- 17:00 0.03 0.25 0.17 1.42 0.01 0.04 0.06
 11.12.12 18:00 0.02 0.24 0.20 1.43 0.01 0.04 0.06
 -------- 19:00 0.03 0.21 0.19 1.47 0.01 0.06 0.10
 -------- 20:00 0.03 0.18 0.17 1.50 0.01 0.04 0.06
 -------- 21:00 0.03 0.17 0.17 1.48 0.01 0.04 0.05
 -------- 22:00 0.04 0.18 0.16 1.46 0.01 0.04 0.06
 11.12.12 23:00 0.04 0.17 0.18 1.46 0.01 0.04 0.06
