 Date Time CO NO2 CHX NO PM10
 19.09.12 12:00 0.06 0.14 1.40 0.02 0.08
 -------- 13:00 0.04 0.10 1.38 0.01 0.07
 -------- 14:00 0.05 0.09 1.37 0.01 0.06
 -------- 15:00 0.05 0.08 1.38 0.00 0.09
 -------- 16:00 0.05 0.10 1.38 0.00 0.08
 19.09.12 17:00 0.06 0.12 1.41 0.00 0.09
 -------- 18:00 0.07 0.21 1.50 0.00 0.12
 -------- 19:00 0.09 0.31 1.55 0.01 0.16
 -------- 20:00 0.16 0.44 1.67 0.08 0.19
 -------- 21:00 0.20 0.47 1.72 0.16 0.19
 19.09.12 22:00 0.16 0.47 1.65 0.14 0.19
 -------- 23:00 0.11 0.42 1.59 0.07 0.15
 -------- 00:00 0.10 0.37 1.61 0.07 0.13
 -------- 01:00 0.08 0.33 1.63 0.07 0.12
 -------- 02:00 0.07 0.32 1.59 0.04 0.10
 20.09.12 03:00 0.06 0.29 1.59 0.03 0.10
 -------- 04:00 0.04 0.27 1.60 0.04 0.09
 -------- 05:00 0.05 0.27 1.60 0.06 0.09
 -------- 06:00 0.09 0.33 1.61 0.21 0.12
 -------- 07:00 0.09 0.27 1.62 0.15 0.13
 20.09.12 08:00 0.12 0.28 1.64 0.16 0.18
 -------- 09:00 0.13 0.28 1.64 0.14 0.17
 -------- 10:00 0.12 0.28 1.61 0.13 0.16
 -------- 11:00 0.10 0.27 1.59 0.10 0.16
 -------- 12:00 0.07 0.21 1.52 0.05 0.12
 20.09.12 13:00 0.04 0.13 1.41 0.01 0.07
 -------- 14:00 0.04 0.10 1.43 0.01 0.08
 -------- 15:00 0.04 0.08 1.45 ---- 0.08
 -------- 16:00 0.05 0.11 1.39 0.00 0.10
 -------- 17:00 0.05 0.13 1.43 0.00 0.09
 20.09.12 18:00 0.06 0.18 1.50 0.00 0.11
 -------- 19:00 0.10 0.34 1.68 0.01 0.16
 -------- 20:00 0.19 0.44 1.90 0.14 0.29
 -------- 21:00 0.23 0.45 1.84 0.25 0.28
 -------- 22:00 0.13 0.47 1.61 0.08 0.16
 20.09.12 23:00 0.11 0.41 1.60 0.06 0.13
 -------- 00:00 0.08 0.38 1.59 0.03 0.12
 -------- 01:00 0.08 0.36 1.64 0.03 0.10
 -------- 02:00 0.06 0.33 1.60 0.05 0.09
 -------- 03:00 0.07 0.28 1.72 0.06 0.09
 21.09.12 04:00 0.08 0.21 1.66 0.09 0.12
 -------- 05:00 0.07 0.25 1.76 0.10 0.11
 -------- 06:00 0.13 0.31 1.89 0.31 0.15
 -------- 07:00 0.14 0.28 1.69 0.25 0.15
 -------- 08:00 0.13 0.29 1.57 0.16 0.14
 21.09.12 09:00 0.14 0.31 1.64 0.19 0.17
 -------- 10:00 0.14 0.34 1.69 0.19 0.19
 -------- 11:00 0.11 0.34 1.63 0.14 0.21
