 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 16.05.13 00:00 0.10 0.06 0.40 2.06 0.05 0.16 ----
 -------- 01:00 0.07 0.15 0.26 1.93 0.02 0.12 ----
 -------- 02:00 0.04 0.25 0.19 2.01 0.01 0.10 ----
 -------- 03:00 0.04 0.26 0.14 1.85 0.01 0.12 ----
 -------- 04:00 0.05 0.16 0.21 2.46 0.03 0.18 ----
 16.05.13 05:00 0.05 0.09 0.25 1.59 0.04 0.18 ----
 -------- 06:00 0.06 0.05 0.29 1.52 0.07 0.21 ----
 -------- 07:00 0.06 0.08 0.26 1.66 0.05 0.13 ----
 -------- 08:00 0.06 0.25 0.21 1.93 0.04 0.13 ----
 -------- 09:00 0.06 0.30 0.23 1.81 0.06 0.14 ----
 16.05.13 10:00 0.04 0.34 0.16 1.47 0.02 0.13 ----
 -------- 11:00 0.04 0.44 0.14 1.51 0.02 0.18 ----
 -------- 12:00 0.05 0.54 0.13 1.50 0.01 0.17 ----
 -------- 13:00 0.06 0.62 0.14 1.48 0.01 0.21 ----
 -------- 14:00 0.06 0.77 0.15 1.48 0.01 0.21 ----
 16.05.13 15:00 0.06 0.82 0.17 1.48 0.01 0.21 ----
 -------- 16:00 0.05 0.90 0.11 1.48 0.01 0.20 ----
 -------- 17:00 0.05 0.83 0.11 1.49 0.01 0.17 ----
 -------- 18:00 0.07 0.56 0.15 1.57 0.01 0.21 ----
 -------- 19:00 0.23 0.09 0.40 2.07 0.24 0.32 ----
 16.05.13 20:00 0.21 ---- 0.52 2.35 0.20 0.32 ----
 -------- 21:00 0.15 0.05 0.41 3.14 0.07 0.46 ----
 -------- 22:00 0.08 0.19 0.30 2.86 0.02 0.30 ----
 -------- 23:00 0.07 0.25 0.22 1.67 0.02 0.25 ----
 -------- 00:00 0.05 0.39 0.15 1.41 0.01 0.18 ----
 17.05.13 01:00 0.04 0.40 0.13 1.70 0.01 0.11 ----
 -------- 02:00 0.04 0.36 0.15 1.54 0.01 0.10 ----
 -------- 03:00 0.04 0.30 0.18 1.53 0.01 0.09 ----
 -------- 04:00 0.05 0.16 0.33 1.68 0.04 0.19 ----
 -------- 05:00 0.05 0.18 0.24 1.46 0.03 0.20 ----
 17.05.13 06:00 0.04 0.22 0.19 1.43 0.02 0.13 ----
 -------- 07:00 0.05 0.24 0.18 1.40 0.02 0.10 ----
 -------- 08:00 0.07 0.23 0.21 1.76 0.03 0.12 ----
 -------- 09:00 0.07 0.30 0.23 1.60 0.03 0.12 ----
 -------- 10:00 0.06 0.39 0.17 1.45 0.02 0.12 ----
 17.05.13 11:00 0.05 0.52 0.13 1.41 0.02 0.15 ----
 -------- 12:00 0.05 0.62 0.10 1.41 0.01 0.15 ----
 -------- 13:00 0.05 0.60 0.13 1.40 0.01 0.15 0.07
 -------- 14:00 0.06 0.55 0.13 1.52 0.02 0.22 0.10
 -------- 15:00 0.07 0.57 0.12 1.65 0.01 0.20 0.11
 17.05.13 16:00 0.07 0.44 0.13 1.71 0.02 0.21 0.11
 -------- 17:00 0.06 0.45 0.11 1.52 0.02 0.19 0.09
 -------- 18:00 0.05 0.41 0.13 1.44 0.02 0.18 0.08
 -------- 19:00 0.05 0.40 0.12 1.48 0.02 0.15 0.08
 -------- 20:00 0.07 0.35 0.12 1.51 0.02 0.13 0.09
 17.05.13 21:00 0.06 0.35 0.15 1.54 0.02 0.13 0.10
 -------- 22:00 0.07 0.25 0.16 1.85 0.02 0.15 0.12
 -------- 23:00 0.08 0.19 0.15 2.05 0.02 0.22 0.16
