 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 04.01.13 12:00 0.12 0.01 0.30 1.67 0.21 0.06 0.08
 -------- 13:00 0.11 0.02 0.29 1.58 0.13 0.05 0.06
 -------- 14:00 0.10 0.04 0.28 1.56 0.08 0.05 0.08
 -------- 15:00 0.12 0.03 0.30 1.61 0.11 0.08 0.10
 -------- 16:00 0.12 0.03 0.31 1.57 0.07 0.09 0.14
 04.01.13 17:00 0.11 0.01 0.33 1.59 0.15 0.06 0.08
 -------- 18:00 0.14 0.01 0.32 1.72 0.21 0.07 0.09
 -------- 19:00 0.21 0.01 0.34 1.67 0.15 0.12 0.18
 -------- 20:00 0.19 0.01 0.32 1.68 0.23 0.08 0.11
 -------- 21:00 0.23 0.01 0.34 1.90 0.41 0.08 0.10
 04.01.13 22:00 0.19 0.01 0.31 1.73 0.32 0.07 0.09
 -------- 23:00 0.18 0.01 0.32 1.85 0.36 0.08 0.12
 -------- 00:00 0.21 0.01 0.32 1.91 0.49 0.10 0.14
 -------- 01:00 0.17 0.01 0.30 2.34 0.27 0.06 0.09
 -------- 02:00 0.16 0.01 0.29 2.53 0.20 0.05 0.07
 05.01.13 03:00 0.15 0.01 0.28 4.41 0.23 0.07 0.10
 -------- 04:00 0.12 0.01 0.28 2.98 0.13 0.07 0.11
 -------- 05:00 0.11 0.01 0.28 2.18 0.11 0.06 0.09
 -------- 06:00 0.09 0.01 0.27 1.80 0.06 0.04 0.07
 -------- 07:00 0.07 0.01 0.29 2.11 0.07 0.03 0.06
 05.01.13 08:00 0.09 0.01 0.30 1.75 0.10 0.04 0.06
 -------- 09:00 0.11 0.01 0.30 1.85 0.16 0.04 0.07
 -------- 10:00 0.12 0.01 0.28 1.91 0.15 0.05 0.07
 -------- 11:00 0.09 0.02 0.24 1.72 0.11 0.06 0.07
 -------- 12:00 0.09 0.06 0.21 1.59 0.08 0.05 0.05
 05.01.13 13:00 0.10 0.09 0.21 1.53 0.08 0.03 0.03
 -------- 14:00 0.08 0.08 0.24 1.61 0.09 0.04 0.04
 -------- 15:00 0.11 0.05 0.25 1.66 0.11 0.06 0.08
 -------- 16:00 0.11 0.05 0.23 1.54 0.09 0.06 0.08
 -------- 17:00 0.10 0.07 0.21 1.49 0.07 0.03 0.05
 05.01.13 18:00 0.13 0.06 0.23 1.53 0.09 0.03 0.05
 -------- 19:00 0.09 0.02 0.25 1.50 0.11 0.03 0.05
 -------- 20:00 0.09 0.02 0.25 1.53 0.08 0.05 0.08
 -------- 21:00 0.08 0.02 0.25 1.56 0.09 0.03 0.05
 -------- 22:00 0.06 0.06 0.20 1.44 0.04 0.02 0.04
 05.01.13 23:00 0.05 0.10 0.17 1.41 0.02 0.02 0.04
 -------- 00:00 0.05 0.09 0.18 1.42 0.04 0.02 0.04
 -------- 01:00 0.06 0.07 0.19 1.44 0.05 0.03 0.04
 -------- 02:00 0.05 0.09 0.18 1.43 0.03 0.03 0.04
 -------- 03:00 0.04 0.11 0.14 1.42 0.01 0.02 0.04
 06.01.13 04:00 0.04 0.11 0.15 1.43 0.03 0.02 0.03
 -------- 05:00 0.04 0.11 0.14 1.44 0.01 0.02 0.04
 -------- 06:00 0.04 0.09 0.15 1.44 0.02 0.02 0.04
 -------- 07:00 0.04 0.08 0.17 1.45 0.03 0.02 0.04
 -------- 08:00 0.05 0.07 0.17 1.46 0.04 0.03 0.04
 06.01.13 09:00 0.05 0.04 0.19 1.48 0.05 0.03 0.05
 -------- 10:00 0.06 0.04 0.19 1.53 0.06 0.03 0.05
 -------- 11:00 0.06 0.05 0.18 1.54 0.08 0.03 0.05
