 Date Time CO OZ NO2 CHX NO PM10
 15.11.12 12:00 0.08 0.05 0.22 1.44 0.05 0.06
 -------- 13:00 0.09 0.03 0.25 1.49 0.08 0.06
 -------- 14:00 0.10 0.02 0.26 1.49 0.09 0.04
 -------- 15:00 0.10 0.01 0.27 1.53 0.09 0.07
 -------- 16:00 0.10 0.03 0.27 1.51 0.08 0.09
 15.11.12 17:00 0.13 0.02 0.41 1.52 0.10 0.07
 -------- 18:00 0.08 0.04 0.26 1.43 0.04 0.02
 -------- 19:00 0.08 0.05 0.27 1.44 0.05 0.04
 -------- 20:00 0.08 0.09 0.24 1.43 0.03 0.04
 -------- 21:00 0.08 0.07 0.26 1.46 0.03 0.05
 15.11.12 22:00 0.08 0.11 0.19 1.43 0.02 0.05
 -------- 23:00 0.08 0.13 0.18 1.39 0.02 0.02
 -------- 00:00 0.07 0.13 0.18 1.39 0.02 0.01
 -------- 01:00 0.05 0.15 0.14 1.38 0.02 0.00
 -------- 02:00 0.04 0.17 0.13 1.38 0.02 0.00
 16.11.12 03:00 0.03 0.19 0.11 1.38 0.01 0.01
 -------- 04:00 0.02 0.23 0.09 1.35 0.01 0.01
 -------- 05:00 0.02 0.30 0.12 1.35 0.01 0.01
 -------- 06:00 0.04 0.24 0.23 1.38 0.03 0.03
 -------- 07:00 0.04 0.19 0.25 1.41 0.04 0.04
 16.11.12 08:00 0.04 0.20 0.22 1.40 0.04 0.02
 -------- 09:00 0.04 0.18 0.24 1.39 0.04 0.03
 -------- 10:00 0.06 0.14 0.29 1.42 0.05 0.05
 -------- 11:00 0.05 0.13 0.25 1.41 0.05 0.04
 -------- 12:00 0.07 0.12 0.24 1.39 0.07 0.04
 16.11.12 13:00 0.09 0.14 0.24 1.47 0.08 0.10
 -------- 14:00 0.09 0.15 0.27 1.47 0.10 0.07
 -------- 15:00 0.43 0.12 0.35 1.48 0.12 0.12
 -------- 16:00 0.09 0.09 0.31 1.42 0.09 0.11
 -------- 17:00 0.09 0.10 0.30 1.44 0.08 0.10
 16.11.12 18:00 0.07 0.09 0.33 1.42 0.11 0.15
 -------- 19:00 0.07 0.13 0.26 1.43 0.05 0.12
 -------- 20:00 0.11 0.13 0.25 1.46 0.03 0.15
 -------- 21:00 0.12 0.14 0.34 1.46 0.08 0.13
 -------- 22:00 0.06 0.14 0.23 1.41 0.03 0.06
 16.11.12 23:00 0.04 0.13 0.23 1.39 0.02 0.08
 -------- 00:00 0.05 0.10 0.28 1.41 0.04 0.04
 -------- 01:00 0.07 0.08 0.26 1.44 0.02 0.07
 -------- 02:00 0.12 0.10 0.25 1.45 0.02 0.02
 -------- 03:00 0.04 0.11 0.22 1.39 0.02 0.02
 17.11.12 04:00 0.02 0.08 0.21 1.38 0.01 0.02
 -------- 05:00 0.03 0.11 0.21 1.39 0.02 0.02
 -------- 06:00 0.05 0.09 0.26 1.40 0.03 0.02
 -------- 07:00 0.08 0.09 0.29 1.41 0.03 0.04
 -------- 08:00 0.10 0.12 0.37 1.43 0.06 0.10
 17.11.12 09:00 0.07 0.06 0.29 1.40 0.06 0.09
 -------- 10:00 0.10 0.04 0.36 1.46 0.10 0.15
 -------- 11:00 0.11 0.06 0.34 1.45 0.10 0.12
