 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 07.05.13 12:00 0.06 0.38 0.18 1.47 0.04 0.05 0.03
 -------- 13:00 0.06 0.39 0.19 1.46 0.05 0.06 0.03
 -------- 14:00 0.05 0.49 0.14 1.41 0.03 0.07 0.03
 -------- 15:00 0.05 0.54 0.14 1.42 0.02 0.05 0.03
 -------- 16:00 0.05 0.52 0.17 1.42 0.03 0.05 0.04
 07.05.13 17:00 0.05 0.53 0.17 1.43 0.02 0.04 0.03
 -------- 18:00 0.05 0.54 0.21 1.45 0.02 0.05 0.04
 -------- 19:00 0.07 0.46 0.29 1.50 0.02 0.09 0.05
 -------- 20:00 0.08 0.37 0.33 1.52 0.01 0.09 0.06
 -------- 21:00 0.17 0.11 0.51 1.74 0.15 0.24 0.11
 07.05.13 22:00 0.35 0.01 0.65 2.34 0.59 0.52 0.24
 -------- 23:00 0.49 0.01 0.70 2.31 0.97 1.10 0.49
 -------- 00:00 0.33 0.01 0.62 2.15 0.75 0.74 0.23
 -------- 01:00 0.34 0.01 0.57 2.32 0.78 0.73 0.29
 -------- 02:00 0.35 0.01 0.56 2.52 0.88 0.51 0.25
 08.05.13 03:00 0.35 0.01 0.49 2.71 0.95 0.57 0.29
 -------- 04:00 0.28 0.01 0.53 2.70 0.97 0.57 0.26
 -------- 05:00 0.26 0.01 0.51 2.63 0.94 0.48 0.30
 -------- 06:00 0.21 0.01 0.47 2.23 0.67 0.24 0.18
 -------- 07:00 0.37 0.01 0.54 2.23 0.98 0.43 0.22
 08.05.13 08:00 0.15 0.03 0.52 1.87 0.24 0.18 0.12
 -------- 09:00 0.12 0.11 0.44 1.62 0.11 0.17 0.12
 -------- 10:00 0.11 0.16 0.46 1.61 0.10 0.16 0.10
 -------- 11:00 0.09 0.25 0.40 1.56 0.07 0.15 0.09
 -------- 12:00 0.05 0.48 0.28 1.48 0.04 0.09 0.05
 08.05.13 13:00 0.07 0.51 0.34 1.50 0.05 0.16 0.10
 -------- 14:00 0.07 0.75 0.15 1.50 0.02 0.11 0.06
 -------- 15:00 0.06 0.71 0.16 1.45 0.02 0.12 0.05
 -------- 16:00 0.05 0.73 0.16 1.43 0.02 0.11 0.06
 -------- 17:00 0.06 0.65 0.21 1.43 0.03 0.10 0.05
 08.05.13 18:00 0.05 0.62 0.22 1.43 0.02 0.11 0.05
 -------- 19:00 0.08 0.53 0.26 1.43 0.03 0.12 0.06
 -------- 20:00 0.09 0.40 0.37 1.48 0.03 0.12 0.05
 -------- 21:00 0.09 0.39 0.39 1.50 0.05 0.20 0.10
 -------- 22:00 0.17 0.11 0.61 1.65 0.13 0.43 0.16
 08.05.13 23:00 0.19 0.01 0.61 1.86 0.19 0.26 0.17
 -------- 00:00 0.36 0.01 0.63 2.22 0.67 0.48 0.25
 -------- 01:00 0.49 0.01 0.59 2.32 0.99 0.79 0.40
 -------- 02:00 0.42 0.01 0.50 2.34 0.88 0.41 0.32
 -------- 03:00 0.19 0.02 0.43 1.94 0.30 0.19 0.13
 09.05.13 04:00 0.08 0.10 0.34 1.66 0.02 0.10 0.08
 -------- 05:00 0.10 0.06 0.37 1.70 0.09 0.17 0.10
 -------- 06:00 0.07 0.07 0.33 1.60 0.04 0.12 0.08
 -------- 07:00 0.07 0.17 0.30 1.54 0.05 0.09 0.07
 -------- 08:00 0.05 0.34 0.17 1.71 0.02 0.07 0.05
 09.05.13 09:00 0.06 0.45 0.16 1.95 0.02 0.08 0.06
 -------- 10:00 0.06 0.50 0.16 1.73 0.02 0.07 0.05
 -------- 11:00 0.08 0.48 0.21 1.65 0.03 0.11 0.08
