 Date Time CO OZ NO2 CHX NO PM10
 25.03.13 00:00 0.04 0.53 0.09 1.35 0.03 0.01
 -------- 01:00 0.04 0.53 0.06 1.37 0.01 0.01
 -------- 02:00 0.04 0.53 0.07 1.37 0.01 0.01
 -------- 03:00 0.04 0.53 0.09 1.38 0.01 0.01
 -------- 04:00 0.04 0.55 0.08 1.37 0.01 0.01
 25.03.13 05:00 0.04 0.55 0.08 1.37 0.01 0.01
 -------- 06:00 0.04 0.53 0.10 1.38 0.02 0.01
 -------- 07:00 0.05 0.50 0.13 1.38 0.03 0.02
 -------- 08:00 0.07 0.47 0.16 1.38 0.04 0.01
 -------- 09:00 0.06 0.48 0.15 1.38 0.04 0.02
 25.03.13 10:00 0.06 0.48 0.15 1.38 0.05 0.02
 -------- 11:00 0.05 0.51 0.14 1.38 0.05 0.02
 -------- 12:00 0.05 0.51 0.13 1.38 0.04 0.02
 -------- 13:00 0.05 0.54 0.12 1.39 0.04 0.03
 -------- 14:00 0.07 0.51 0.14 1.42 0.05 0.04
 25.03.13 15:00 0.07 0.50 0.16 1.42 0.06 0.05
 -------- 16:00 0.08 0.47 0.21 1.43 0.12 0.04
 -------- 17:00 0.08 0.49 0.18 1.42 0.06 0.05
 -------- 18:00 0.10 0.44 0.22 1.42 0.06 0.02
 -------- 19:00 0.08 0.45 0.18 1.41 0.04 0.02
 25.03.13 20:00 0.08 0.35 0.28 1.42 0.06 0.02
 -------- 21:00 0.09 0.24 0.36 1.46 0.07 0.02
 -------- 22:00 0.11 0.28 0.27 1.53 0.06 0.02
 -------- 23:00 0.08 0.26 0.29 1.47 0.05 0.05
 -------- 00:00 0.07 0.29 0.25 1.43 0.04 0.03
 26.03.13 01:00 0.08 0.28 0.24 1.44 0.03 0.03
 -------- 02:00 0.07 0.30 0.21 1.43 0.02 0.01
 -------- 03:00 0.05 0.39 0.16 1.40 0.02 0.00
 -------- 04:00 0.04 0.38 0.18 1.38 0.02 0.00
 -------- 05:00 0.04 0.34 0.23 1.39 0.06 0.01
 26.03.13 06:00 0.05 0.28 0.25 1.40 0.04 0.01
 -------- 07:00 0.06 0.28 0.26 1.40 0.05 0.01
 -------- 08:00 0.07 0.28 0.25 1.42 0.07 0.01
 -------- 09:00 0.07 0.30 0.24 1.42 0.08 0.01
 -------- 10:00 0.07 0.34 0.20 1.42 0.08 0.02
 26.03.13 11:00 0.06 0.38 0.18 1.41 0.07 0.02
 -------- 12:00 0.06 0.40 0.16 1.42 0.06 0.02
 -------- 13:00 0.07 0.36 0.21 1.43 0.09 0.03
 -------- 14:00 0.09 0.36 0.22 1.44 0.08 0.05
 -------- 15:00 0.10 0.38 0.23 1.46 0.08 0.06
 26.03.13 16:00 0.09 0.40 0.22 1.45 0.07 0.03
 -------- 17:00 0.08 0.48 0.20 1.41 0.05 0.03
 -------- 18:00 0.12 0.49 0.21 1.45 0.05 0.04
 -------- 19:00 0.09 0.47 0.20 1.43 0.04 0.01
 -------- 20:00 0.10 0.34 0.30 1.43 0.05 0.03
 26.03.13 21:00 0.13 0.20 0.41 1.50 0.07 0.09
 -------- 22:00 0.28 0.18 0.41 1.64 0.06 0.32
 -------- 23:00 0.15 0.14 0.42 1.49 0.06 0.05
