 Date Time CO OZ NO2 CHX NO PM10
 02.03.13 12:00 0.09 0.36 0.18 1.45 0.08 0.08
 -------- 13:00 0.09 0.38 0.17 1.44 0.07 0.05
 -------- 14:00 0.08 0.38 0.18 1.44 0.07 0.05
 -------- 15:00 0.07 0.42 0.16 1.42 0.06 0.06
 -------- 16:00 0.07 0.46 0.14 1.43 0.05 0.04
 02.03.13 17:00 0.09 0.44 0.20 1.47 0.06 0.07
 -------- 18:00 0.11 0.35 0.29 1.48 0.11 0.05
 -------- 19:00 0.15 0.30 0.29 1.51 0.07 0.05
 -------- 20:00 0.11 0.16 0.39 1.51 0.07 0.08
 -------- 21:00 0.09 0.21 0.33 1.48 0.06 0.06
 02.03.13 22:00 0.12 0.14 0.40 1.53 0.08 0.06
 -------- 23:00 0.12 0.07 0.42 1.54 0.08 0.02
 -------- 00:00 0.16 0.01 0.49 1.65 0.24 0.04
 -------- 01:00 0.21 0.01 0.49 1.76 0.44 0.06
 -------- 02:00 0.19 0.01 0.45 1.62 0.37 0.03
 03.03.13 03:00 0.21 0.01 0.53 1.73 0.73 0.08
 -------- 04:00 0.17 0.01 0.47 1.77 0.42 0.04
 -------- 05:00 0.19 0.01 0.46 1.87 0.46 0.10
 -------- 06:00 0.17 0.01 0.47 2.36 0.40 0.05
 -------- 07:00 0.17 0.01 0.52 2.78 0.45 0.10
 03.03.13 08:00 0.21 0.01 0.50 3.50 0.51 0.13
 -------- 09:00 0.23 0.01 0.52 3.21 0.53 0.15
 -------- 10:00 0.23 0.03 0.53 2.93 0.42 0.15
 -------- 11:00 0.19 0.08 0.48 2.41 0.27 0.12
 -------- 12:00 0.09 0.22 0.30 1.63 0.09 0.05
 03.03.13 13:00 0.07 0.31 0.22 1.60 0.06 0.05
 -------- 14:00 0.06 0.44 0.15 1.51 0.03 0.03
 -------- 15:00 0.05 0.52 0.10 1.46 0.02 0.02
 -------- 16:00 0.06 0.51 0.11 1.51 0.02 0.06
 -------- 17:00 0.06 0.50 0.13 1.49 0.02 0.07
 03.03.13 18:00 0.06 0.51 0.13 1.51 0.01 0.08
 -------- 19:00 0.06 0.49 0.14 1.45 0.02 0.05
 -------- 20:00 0.06 0.53 0.12 1.47 0.01 0.05
 -------- 21:00 0.05 0.48 0.14 1.47 0.02 0.06
 -------- 22:00 0.04 0.55 0.09 1.41 0.01 0.04
 03.03.13 23:00 0.04 0.51 0.13 1.41 0.02 0.03
 -------- 00:00 0.04 0.51 0.09 1.41 0.02 0.03
 -------- 01:00 0.04 0.54 0.07 1.55 0.02 0.03
 -------- 02:00 0.04 0.54 0.08 1.83 0.02 0.03
 -------- 03:00 0.04 0.56 0.08 1.71 0.02 0.03
 04.03.13 04:00 0.04 0.49 0.13 1.55 0.02 0.04
 -------- 05:00 0.05 0.44 0.15 1.44 0.02 0.03
 -------- 06:00 0.06 0.43 0.15 1.42 0.02 0.03
 -------- 07:00 0.06 0.44 0.14 1.41 0.03 0.03
 -------- 08:00 0.07 0.40 0.20 1.42 0.05 0.03
 04.03.13 09:00 0.07 0.40 0.19 1.43 0.05 0.03
 -------- 10:00 0.06 0.40 0.23 1.43 0.07 0.04
 -------- 11:00 0.06 0.43 0.18 1.43 0.07 0.04
