 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 04.03.13 00:00 0.04 0.53 0.09 1.42 0.02 0.03 0.04
 -------- 01:00 0.04 0.54 0.07 1.55 0.02 0.03 0.04
 -------- 02:00 0.04 0.54 0.08 1.83 0.02 0.03 0.05
 -------- 03:00 0.04 0.56 0.08 1.71 0.02 0.03 0.05
 -------- 04:00 0.04 0.49 0.13 1.55 0.02 0.04 0.05
 04.03.13 05:00 0.05 0.44 0.15 1.44 0.02 0.03 0.05
 -------- 06:00 0.06 0.43 0.15 1.42 0.02 0.03 0.05
 -------- 07:00 0.06 0.44 0.14 1.41 0.03 0.03 0.04
 -------- 08:00 0.07 0.40 0.20 1.42 0.05 0.03 0.05
 -------- 09:00 0.07 0.40 0.19 1.43 0.05 0.03 0.05
 04.03.13 10:00 0.06 0.40 0.23 1.43 0.07 0.04 0.06
 -------- 11:00 0.06 0.43 0.18 1.43 0.07 0.04 0.05
 -------- 12:00 0.05 0.46 0.15 1.41 0.06 0.04 0.04
 -------- 13:00 0.05 0.49 0.14 1.43 0.06 0.04 0.04
 -------- 14:00 0.05 0.53 0.12 1.42 0.05 0.05 0.06
 04.03.13 15:00 0.05 0.54 0.14 1.42 0.05 0.04 0.05
 -------- 16:00 0.06 0.54 0.14 1.44 0.05 0.06 0.06
 -------- 17:00 0.06 0.50 0.16 1.43 0.06 0.07 0.05
 -------- 18:00 0.07 0.46 0.19 1.44 0.05 0.05 0.06
 -------- 19:00 0.09 0.38 0.25 1.48 0.05 0.07 0.10
 04.03.13 20:00 0.08 0.42 0.24 1.46 0.05 0.05 0.07
 -------- 21:00 0.09 0.29 0.32 1.53 0.06 0.05 0.09
 -------- 22:00 0.07 0.35 0.22 1.47 0.04 0.04 0.06
 -------- 23:00 0.07 0.29 0.25 1.48 0.04 0.03 0.05
 -------- 00:00 0.06 0.23 0.29 1.52 0.04 0.04 0.06
 05.03.13 01:00 0.08 0.23 0.27 1.49 0.04 0.04 0.07
 -------- 02:00 0.09 0.21 0.26 1.45 0.03 0.03 0.05
 -------- 03:00 0.07 0.15 0.33 1.46 0.03 0.04 0.06
 -------- 04:00 0.07 0.13 0.35 1.47 0.03 0.04 0.06
 -------- 05:00 0.09 0.03 0.48 1.65 0.31 0.05 0.07
 05.03.13 06:00 0.14 0.01 0.57 1.70 0.36 0.06 0.10
 -------- 07:00 0.17 0.01 0.59 1.78 0.44 0.08 0.15
 -------- 08:00 0.21 0.01 0.56 1.80 0.53 0.07 0.11
 -------- 09:00 0.26 0.02 0.62 1.95 0.57 0.09 0.14
 -------- 10:00 0.25 0.04 0.68 2.11 0.55 0.11 0.19
 05.03.13 11:00 0.21 0.07 0.58 1.89 0.36 0.08 0.10
 -------- 12:00 0.11 0.16 0.38 1.62 0.16 0.06 0.06
 -------- 13:00 0.09 0.24 0.34 1.54 0.13 0.06 0.05
 -------- 14:00 0.12 0.23 0.35 1.58 0.13 0.10 0.13
 -------- 15:00 0.11 0.26 0.37 1.54 0.13 0.09 0.12
 05.03.13 16:00 0.17 0.15 0.52 1.64 0.21 0.19 0.26
 -------- 17:00 0.17 0.09 0.58 1.78 0.23 0.18 0.24
 -------- 18:00 0.16 0.04 0.61 1.70 0.20 0.07 0.08
 -------- 19:00 0.23 0.01 0.69 1.83 0.51 0.08 0.09
 -------- 20:00 0.21 0.01 0.67 2.28 0.40 0.10 0.13
 05.03.13 21:00 0.33 0.01 0.84 3.06 0.71 0.18 0.26
 -------- 22:00 0.31 0.01 0.64 3.19 0.56 0.10 0.14
 -------- 23:00 0.24 0.01 0.58 3.30 0.50 0.09 0.12
