 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 28.12.12 00:00 0.11 0.01 0.33 1.60 0.13 0.07 0.11
 -------- 01:00 0.09 0.01 0.30 1.58 0.12 0.05 0.06
 -------- 02:00 0.07 0.01 0.27 1.51 0.06 0.04 0.05
 -------- 03:00 0.04 0.04 0.25 1.47 0.04 0.03 0.04
 -------- 04:00 0.06 0.04 0.25 1.46 0.04 0.03 0.05
 28.12.12 05:00 0.06 0.07 0.24 1.43 0.03 0.03 0.04
 -------- 06:00 0.06 0.10 0.19 1.44 0.02 0.02 0.03
 -------- 07:00 0.07 0.04 0.27 1.56 0.06 0.04 0.05
 -------- 08:00 0.09 0.02 0.28 1.57 0.05 0.04 0.05
 -------- 09:00 0.09 0.03 0.27 1.54 0.05 0.03 0.04
 28.12.12 10:00 0.08 0.04 0.28 1.51 0.05 0.03 0.04
 -------- 11:00 0.07 0.07 0.23 1.49 0.03 0.03 0.05
 -------- 12:00 0.08 0.03 0.30 1.53 0.08 0.05 0.07
 -------- 13:00 0.08 0.06 0.28 1.51 0.06 0.08 0.11
 -------- 14:00 0.08 0.08 0.26 1.51 0.05 0.10 0.13
 28.12.12 15:00 0.07 0.07 0.27 1.48 0.05 0.03 0.04
 -------- 16:00 0.06 0.08 0.27 1.44 0.04 0.05 0.05
 -------- 17:00 0.06 0.11 0.23 1.45 0.02 0.04 0.05
 -------- 18:00 0.06 0.10 0.25 1.46 0.03 0.05 0.06
 -------- 19:00 0.06 0.09 0.24 1.45 0.02 0.06 0.08
 28.12.12 20:00 0.06 0.10 0.23 1.47 0.02 0.05 0.07
 -------- 21:00 0.06 0.09 0.25 1.49 0.03 0.04 0.06
 -------- 22:00 0.04 0.20 0.20 1.41 0.02 0.01 0.01
 -------- 23:00 0.03 0.29 0.18 1.39 0.02 0.01 0.01
 -------- 00:00 0.04 0.27 0.19 1.39 0.02 0.02 0.02
 29.12.12 01:00 0.04 0.26 0.18 1.39 0.02 0.01 0.02
 -------- 02:00 0.03 0.33 0.14 1.38 0.01 0.01 0.01
 -------- 03:00 0.02 0.39 0.14 1.38 0.02 0.01 0.01
 -------- 04:00 0.03 0.38 0.15 1.38 0.02 0.01 0.02
 -------- 05:00 0.04 0.34 0.16 1.38 0.02 0.02 0.02
 29.12.12 06:00 0.04 0.31 0.18 1.39 0.02 0.02 0.02
 -------- 07:00 0.04 0.31 0.20 1.38 0.02 0.01 0.01
 -------- 08:00 0.04 0.26 0.23 1.41 0.02 0.02 0.02
 -------- 09:00 0.04 0.25 0.23 1.41 0.03 0.02 0.02
 -------- 10:00 0.04 0.26 0.23 1.39 0.02 0.03 0.03
 29.12.12 11:00 0.04 0.25 0.25 1.40 0.03 0.03 0.03
 -------- 12:00 0.04 0.25 0.24 1.41 0.02 0.03 0.04
 -------- 13:00 0.04 0.29 0.19 1.40 0.02 0.06 0.10
 -------- 14:00 0.06 0.31 0.20 1.42 0.02 0.08 0.12
 -------- 15:00 0.06 0.28 0.21 1.41 0.02 0.06 0.10
 29.12.12 16:00 0.07 0.24 0.22 1.43 0.03 0.07 0.08
 -------- 17:00 0.07 0.21 0.21 1.42 0.04 0.04 0.04
 -------- 18:00 0.06 0.16 0.24 1.43 0.04 0.04 0.05
 -------- 19:00 0.09 0.19 0.22 1.46 0.02 0.05 0.07
 -------- 20:00 0.04 0.20 0.20 1.42 0.03 0.03 0.04
 29.12.12 21:00 0.04 0.19 0.20 1.42 0.03 0.03 0.03
 -------- 22:00 0.05 0.17 0.26 1.42 0.06 0.04 0.05
