 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 01.03.13 00:00 0.10 0.01 0.45 1.59 0.12 0.04 0.04
 -------- 01:00 0.06 0.09 0.34 1.49 0.04 0.01 0.01
 -------- 02:00 0.05 0.12 0.34 1.46 0.03 0.01 0.01
 -------- 03:00 0.08 0.08 0.35 1.49 0.04 0.01 0.01
 -------- 04:00 0.08 0.11 0.32 1.48 0.04 0.02 0.03
 01.03.13 05:00 0.07 0.15 0.30 1.47 0.03 0.02 0.03
 -------- 06:00 0.08 0.07 0.40 1.52 0.05 0.02 0.03
 -------- 07:00 0.10 0.04 0.41 1.49 0.04 0.02 0.03
 -------- 08:00 0.10 0.09 0.39 1.49 0.04 0.02 0.02
 -------- 09:00 0.10 0.13 0.34 1.53 0.05 0.01 0.02
 01.03.13 10:00 0.10 0.09 0.37 1.50 0.07 0.02 0.03
 -------- 11:00 0.10 0.12 0.34 1.51 0.07 0.02 0.04
 -------- 12:00 0.09 0.20 0.27 1.49 0.06 0.02 0.03
 -------- 13:00 0.08 0.22 0.28 1.49 0.06 0.04 0.06
 -------- 14:00 0.10 0.17 0.32 1.52 0.07 0.06 0.10
 01.03.13 15:00 0.10 0.16 0.33 1.52 0.07 0.03 0.04
 -------- 16:00 0.09 0.21 0.30 1.47 0.06 0.03 0.04
 -------- 17:00 0.09 0.24 0.29 1.48 0.05 0.03 0.05
 -------- 18:00 0.08 0.28 0.27 1.45 0.03 0.02 0.04
 -------- 19:00 0.08 0.26 0.28 1.43 0.03 0.02 0.03
 01.03.13 20:00 0.09 0.23 0.30 1.47 0.03 0.04 0.06
 -------- 21:00 0.11 0.19 0.29 1.47 0.03 0.05 0.08
 -------- 22:00 0.10 0.17 0.28 1.47 0.03 0.06 0.09
 -------- 23:00 0.10 0.11 0.29 1.44 0.04 0.01 0.02
 -------- 00:00 0.09 0.16 0.20 1.44 0.04 0.01 0.03
 02.03.13 01:00 0.07 0.23 0.14 1.43 0.02 0.01 0.03
 -------- 02:00 0.06 0.29 0.12 1.43 0.01 0.02 0.04
 -------- 03:00 0.06 0.35 0.09 1.41 0.01 0.02 0.04
 -------- 04:00 0.06 0.41 0.06 1.40 0.01 0.02 0.03
 -------- 05:00 0.06 0.39 0.07 1.40 0.01 0.02 0.04
 02.03.13 06:00 0.06 0.35 0.12 1.42 0.02 0.02 0.03
 -------- 07:00 0.07 0.39 0.12 1.42 0.03 0.03 0.05
 -------- 08:00 0.05 0.41 0.10 1.40 0.02 0.03 0.03
 -------- 09:00 0.05 0.39 0.12 1.40 0.03 0.02 0.03
 -------- 10:00 0.06 0.38 0.14 1.41 0.04 0.03 0.04
 02.03.13 11:00 0.08 0.38 0.15 1.44 0.06 0.04 0.07
 -------- 12:00 0.09 0.37 0.17 1.45 0.07 0.07 0.08
 -------- 13:00 0.09 0.38 0.17 1.44 0.07 0.05 0.05
 -------- 14:00 0.08 0.38 0.18 1.44 0.07 0.05 0.05
 -------- 15:00 0.07 0.42 0.16 1.42 0.06 0.06 0.06
 02.03.13 16:00 0.07 0.46 0.14 1.43 0.05 0.04 0.05
 -------- 17:00 0.09 0.44 0.20 1.47 0.06 0.07 0.10
 -------- 18:00 0.11 0.35 0.29 1.48 0.11 0.05 0.07
 -------- 19:00 0.15 0.30 0.29 1.51 0.07 0.05 0.07
 -------- 20:00 0.11 0.16 0.39 1.51 0.07 0.08 0.10
 02.03.13 21:00 0.09 0.21 0.33 1.48 0.06 0.06 0.08
 -------- 22:00 0.12 0.14 0.40 1.53 0.08 0.06 0.09
 -------- 23:00 0.12 0.07 0.42 1.54 0.08 0.02 0.04
