 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 18.02.13 12:00 0.04 0.18 0.34 1.52 0.13 0.15 0.12
 -------- 13:00 0.02 0.22 0.29 1.49 0.10 0.14 0.11
 -------- 14:00 ---- 0.23 0.32 1.49 0.10 0.11 0.10
 -------- 15:00 0.02 0.17 0.40 1.57 0.16 0.20 0.21
 -------- 16:00 0.08 0.11 0.48 1.79 0.17 0.29 0.35
 18.02.13 17:00 0.09 0.06 0.49 1.78 0.19 0.24 0.27
 -------- 18:00 0.07 0.05 0.46 1.68 0.16 0.27 0.31
 -------- 19:00 0.06 0.05 0.42 1.65 0.13 0.19 0.22
 -------- 20:00 0.07 0.12 0.32 1.56 0.08 0.13 0.13
 -------- 21:00 0.02 0.15 0.32 1.54 0.08 0.12 0.11
 18.02.13 22:00 0.02 0.16 0.32 1.51 0.07 0.11 0.09
 -------- 23:00 ---- 0.08 0.43 1.60 0.12 0.15 0.18
 -------- 00:00 0.04 0.03 0.51 1.69 0.21 0.21 0.27
 -------- 01:00 0.07 0.01 0.45 1.63 0.19 0.15 0.19
 -------- 02:00 0.03 0.01 0.40 1.61 0.10 0.09 0.12
 19.02.13 03:00 ---- 0.04 0.38 1.59 0.08 0.07 0.10
 -------- 04:00 ---- 0.04 0.39 1.54 0.06 0.06 0.09
 -------- 05:00 ---- 0.06 0.37 1.57 0.06 0.07 0.10
 -------- 06:00 ---- 0.08 0.39 1.55 0.07 0.06 0.09
 -------- 07:00 ---- 0.06 0.42 1.60 0.10 0.07 0.10
 19.02.13 08:00 ---- 0.07 0.48 1.66 0.15 0.15 0.14
 -------- 09:00 0.02 0.05 0.44 1.66 0.17 0.13 0.12
 -------- 10:00 0.02 0.07 0.44 1.64 0.18 0.13 0.12
 -------- 11:00 0.02 0.08 0.43 1.65 0.18 0.13 0.12
 -------- 12:00 0.02 0.09 0.43 1.65 0.18 0.12 0.14
 19.02.13 13:00 0.02 0.06 0.45 1.65 0.23 0.16 0.15
 -------- 14:00 0.04 0.05 0.47 1.67 0.28 0.16 0.17
 -------- 15:00 0.04 0.04 0.50 1.66 0.29 0.18 0.17
 -------- 16:00 0.04 0.04 0.50 1.63 0.24 0.19 0.17
 -------- 17:00 0.05 0.04 0.51 1.64 0.28 0.28 0.26
 19.02.13 18:00 0.07 0.01 0.56 1.75 0.38 0.27 0.20
 -------- 19:00 ---- 0.01 0.57 1.74 0.30 0.22 0.18
 -------- 20:00 ---- 0.01 0.52 1.79 0.20 0.16 0.15
 -------- 21:00 ---- 0.01 0.51 1.76 0.15 0.14 0.14
 -------- 22:00 ---- 0.02 0.47 1.69 0.11 0.12 0.13
 19.02.13 23:00 ---- 0.01 0.48 1.64 0.07 0.10 0.12
 -------- 00:00 ---- 0.01 0.49 1.62 0.07 0.11 0.13
 -------- 01:00 ---- 0.02 0.45 1.56 0.07 0.09 0.11
 -------- 02:00 ---- 0.06 0.41 1.54 0.04 0.08 0.11
 -------- 03:00 ---- 0.06 0.39 1.54 0.02 0.09 0.12
 20.02.13 04:00 ---- 0.04 0.41 1.57 0.03 0.09 0.12
 -------- 05:00 0.02 0.06 0.38 1.56 0.03 0.08 0.11
 -------- 06:00 0.04 0.06 0.38 1.63 0.05 0.09 0.12
 -------- 07:00 0.05 0.03 0.43 1.72 0.09 0.09 0.12
 -------- 08:00 0.02 0.04 0.42 1.62 0.11 0.09 0.13
 20.02.13 09:00 0.02 0.05 0.40 1.64 0.09 0.09 0.12
 -------- 10:00 0.03 0.08 0.39 1.66 0.10 0.09 0.13
 -------- 11:00 0.02 0.10 0.37 1.61 0.10 0.09 0.14
