 Date Time CO OZ NO2 CHX NO PM10
 16.02.13 00:00 0.04 0.02 0.48 4.09 0.31 0.15
 -------- 01:00 0.03 0.01 0.51 3.52 0.34 0.16
 -------- 02:00 0.03 0.01 0.49 2.23 0.26 0.14
 -------- 03:00 0.03 0.01 0.48 2.00 0.27 0.15
 -------- 04:00 0.04 0.01 0.48 1.87 0.23 0.16
 16.02.13 05:00 0.04 0.01 0.50 1.91 0.28 0.18
 -------- 06:00 0.04 0.01 0.52 1.85 0.24 0.14
 -------- 07:00 0.06 0.02 0.59 2.00 0.43 0.21
 -------- 08:00 0.11 0.02 0.61 2.18 0.44 0.25
 -------- 09:00 0.07 0.01 0.55 2.42 0.36 0.18
 16.02.13 10:00 0.05 0.02 0.51 3.19 0.25 0.15
 -------- 11:00 ---- 0.04 0.48 4.08 0.25 0.16
 -------- 12:00 0.02 0.07 0.43 2.01 0.19 0.17
 -------- 13:00 ---- 0.10 0.39 1.71 0.14 0.17
 -------- 14:00 ---- 0.10 0.42 1.77 0.18 0.23
 16.02.13 15:00 ---- 0.10 0.43 1.71 0.17 0.22
 -------- 16:00 0.02 0.07 0.44 1.67 0.15 0.16
 -------- 17:00 ---- 0.08 0.40 1.58 0.13 0.17
 -------- 18:00 ---- 0.20 0.30 1.58 0.07 0.25
 -------- 19:00 ---- 0.21 0.29 1.55 0.07 0.09
 16.02.13 20:00 ---- 0.20 0.29 1.53 0.07 0.08
 -------- 21:00 ---- 0.18 0.30 1.51 0.07 0.08
 -------- 22:00 ---- 0.20 0.28 1.52 0.05 0.07
 -------- 23:00 ---- 0.29 0.22 1.48 0.04 0.07
 -------- 00:00 ---- 0.28 0.24 1.49 0.04 0.09
 17.02.13 01:00 ---- 0.24 0.25 1.49 0.04 0.10
 -------- 02:00 ---- 0.23 0.26 1.51 0.05 0.11
 -------- 03:00 ---- 0.19 0.29 1.54 0.04 0.10
 -------- 04:00 ---- 0.21 0.25 1.54 0.03 0.09
 -------- 05:00 ---- 0.28 0.21 1.51 0.02 0.08
 17.02.13 06:00 ---- 0.34 0.18 1.51 0.02 0.08
 -------- 07:00 0.02 0.34 0.22 1.51 0.04 0.08
 -------- 08:00 0.02 0.21 0.31 1.53 0.05 0.08
 -------- 09:00 0.02 0.14 0.32 1.56 0.09 0.10
 -------- 10:00 0.04 0.16 0.32 1.56 0.10 0.10
 17.02.13 11:00 0.04 0.20 0.30 1.54 0.10 0.12
 -------- 12:00 0.04 0.27 0.24 1.53 0.09 0.14
 -------- 13:00 0.03 0.26 0.27 1.55 0.10 0.16
 -------- 14:00 0.09 0.22 0.30 1.68 0.12 0.27
 -------- 15:00 0.08 0.21 0.31 1.64 0.11 0.21
 17.02.13 16:00 0.08 0.20 0.37 1.75 0.12 0.28
 -------- 17:00 0.03 0.17 0.41 1.73 0.11 0.32
 -------- 18:00 0.02 0.11 0.38 1.63 0.11 0.21
 -------- 19:00 0.03 0.12 0.43 1.73 0.09 0.29
 -------- 20:00 0.02 0.13 0.35 1.55 0.07 0.10
 17.02.13 21:00 ---- 0.15 0.33 1.57 0.06 0.12
 -------- 22:00 ---- 0.26 0.25 1.56 0.05 0.11
 -------- 23:00 ---- 0.27 0.21 1.49 0.03 0.07
