 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 19.12.12 00:00 0.06 0.08 0.23 1.64 0.04 0.05 0.07
 -------- 01:00 0.04 0.15 0.16 1.54 0.01 0.04 0.06
 -------- 02:00 0.04 0.18 0.14 1.55 0.01 0.04 0.06
 -------- 03:00 0.04 0.14 0.18 1.61 0.02 0.04 0.06
 -------- 04:00 0.04 0.12 0.18 1.68 0.03 0.04 0.06
 19.12.12 05:00 0.04 0.11 0.20 1.68 0.03 0.04 0.06
 -------- 06:00 0.06 0.09 0.21 1.73 0.04 0.04 0.06
 -------- 07:00 0.06 0.06 0.26 1.72 0.09 0.05 0.08
 -------- 08:00 0.09 0.02 0.35 1.74 0.19 0.07 0.09
 -------- 09:00 0.09 0.02 0.32 1.68 0.19 0.07 0.10
 19.12.12 10:00 0.16 0.02 0.31 1.77 0.20 0.08 0.11
 -------- 11:00 0.09 0.06 0.28 1.66 0.18 0.08 0.10
 -------- 12:00 0.09 0.13 0.23 1.64 0.09 0.07 0.08
 -------- 13:00 0.09 0.13 0.23 1.61 0.10 0.07 0.08
 -------- 14:00 0.06 0.15 0.22 1.58 0.07 0.11 0.10
 19.12.12 15:00 0.06 0.14 0.25 1.58 0.07 0.11 0.08
 -------- 16:00 0.06 0.12 0.27 1.58 0.05 0.06 0.07
 -------- 17:00 0.13 0.03 0.41 1.82 0.21 0.13 0.15
 -------- 18:00 0.11 0.01 0.37 1.93 0.22 0.12 0.15
 -------- 19:00 0.08 0.03 0.35 1.82 0.15 0.09 0.11
 19.12.12 20:00 0.09 0.03 0.34 1.77 0.12 0.08 0.11
 -------- 21:00 0.14 0.03 0.33 1.93 0.12 0.08 0.11
 -------- 22:00 0.06 0.07 0.28 1.78 0.06 0.07 0.11
 -------- 23:00 0.06 0.06 0.30 1.77 0.10 0.07 0.10
 -------- 00:00 0.06 0.06 0.29 1.72 0.06 0.06 0.10
 20.12.12 01:00 0.05 0.08 0.27 1.88 0.05 0.06 0.10
 -------- 02:00 0.04 0.09 0.25 1.99 0.04 0.06 0.09
 -------- 03:00 0.04 0.10 0.24 1.97 0.04 0.05 0.08
 -------- 04:00 0.04 0.11 0.24 1.93 0.03 0.05 0.08
 -------- 05:00 0.04 0.11 0.23 1.97 0.03 0.05 0.08
 20.12.12 06:00 0.06 0.11 0.24 1.96 0.04 0.05 0.08
 -------- 07:00 0.07 0.06 0.32 1.97 0.12 0.06 0.09
 -------- 08:00 0.08 0.04 0.36 2.09 0.20 0.06 0.10
 -------- 09:00 0.09 0.03 0.36 1.99 0.21 0.06 0.10
 -------- 10:00 0.12 0.03 0.37 2.12 0.25 0.08 0.12
 20.12.12 11:00 0.11 0.06 0.33 2.02 0.18 0.09 0.13
 -------- 12:00 0.11 0.08 0.32 1.90 0.18 0.10 0.14
 -------- 13:00 0.11 0.09 0.31 1.90 0.17 0.12 0.15
 -------- 14:00 0.11 0.10 0.29 1.86 0.13 0.12 0.15
 -------- 15:00 0.09 0.10 0.30 1.99 0.13 0.12 0.16
 20.12.12 16:00 0.11 0.05 0.37 2.58 0.21 0.12 0.15
