 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 28.04.13 12:00 0.08 0.25 0.28 1.46 0.06 0.09 0.06
 -------- 13:00 0.10 0.23 0.25 1.48 0.05 0.16 0.13
 -------- 14:00 0.06 0.38 0.14 1.42 0.02 0.07 0.05
 -------- 15:00 0.12 0.28 0.27 1.50 0.04 0.14 0.08
 -------- 16:00 0.11 0.15 0.34 1.50 0.08 0.35 0.10
 28.04.13 17:00 0.10 0.24 0.27 1.49 0.05 0.24 0.10
 -------- 18:00 0.15 0.22 0.32 1.59 0.07 0.18 0.25
 -------- 19:00 0.14 0.14 0.35 1.56 0.07 0.11 0.16
 -------- 20:00 0.17 0.18 0.33 1.62 0.05 0.16 0.23
 -------- 21:00 0.11 0.12 0.38 1.49 0.06 0.03 0.03
 28.04.13 22:00 0.12 0.10 0.39 1.49 0.06 0.06 0.07
 -------- 23:00 0.11 0.08 0.37 1.51 0.06 0.05 0.06
 -------- 00:00 0.06 0.15 0.30 1.50 0.03 0.03 0.04
 -------- 01:00 0.07 0.27 0.18 1.45 0.02 0.03 0.04
 -------- 02:00 0.06 0.15 0.31 1.49 0.03 0.03 0.05
 29.04.13 03:00 0.06 0.12 0.31 1.46 0.03 0.03 0.04
 -------- 04:00 0.06 0.16 0.28 1.46 0.03 0.03 0.05
 -------- 05:00 0.06 0.17 0.31 1.50 0.03 0.03 0.04
 -------- 06:00 0.09 0.08 0.39 1.58 0.08 0.06 0.08
 -------- 07:00 0.10 0.11 0.37 1.54 0.10 0.05 0.06
 29.04.13 08:00 0.14 0.15 0.43 1.59 0.18 0.13 0.11
 -------- 09:00 0.08 0.31 0.23 1.44 0.07 0.15 0.04
 -------- 10:00 0.06 0.36 0.19 1.42 0.06 0.21 0.05
 -------- 11:00 0.06 0.42 0.18 1.42 0.05 0.33 0.08
 -------- 12:00 0.07 0.45 0.16 1.41 0.05 0.30 0.05
 29.04.13 13:00 0.06 0.46 0.18 1.40 0.05 0.36 0.06
 -------- 14:00 0.06 0.46 0.18 1.40 0.05 0.35 0.07
 -------- 15:00 0.05 0.49 0.17 1.42 0.04 0.20 0.05
 -------- 16:00 0.06 0.50 0.17 1.43 0.03 0.14 0.05
 -------- 17:00 0.06 0.48 0.21 1.44 0.03 0.17 0.05
 29.04.13 18:00 0.07 0.42 0.30 1.46 0.05 0.20 0.07
 -------- 19:00 0.08 0.35 0.37 1.52 0.05 0.15 0.08
 -------- 20:00 0.07 0.35 0.33 1.52 0.02 0.10 0.05
 -------- 21:00 0.13 0.13 0.50 1.86 0.04 0.18 0.11
 -------- 22:00 0.28 0.01 0.59 2.39 0.24 0.39 0.24
 29.04.13 23:00 0.30 0.01 0.61 2.25 0.51 0.97 0.30
 -------- 00:00 0.17 0.01 0.57 1.75 0.14 0.39 0.15
 -------- 01:00 0.12 0.01 0.55 1.65 0.09 0.17 0.10
 -------- 02:00 0.09 0.02 0.50 1.66 0.05 0.13 0.09
 -------- 03:00 0.08 0.02 0.45 1.71 0.03 0.12 0.09
 30.04.13 04:00 0.07 0.01 0.47 1.67 0.08 0.12 0.09
 -------- 05:00 0.07 0.02 0.42 1.70 0.06 0.14 0.10
 -------- 06:00 0.10 0.01 0.51 1.67 0.18 0.21 0.13
 -------- 07:00 0.12 0.03 0.47 1.60 0.14 0.22 0.13
 -------- 08:00 0.09 0.13 0.37 1.54 0.05 0.16 0.07
 30.04.13 09:00 0.08 0.18 0.35 1.68 0.04 0.18 0.06
 -------- 10:00 0.07 0.29 0.28 2.00 0.03 0.20 0.07
 -------- 11:00 0.09 0.41 0.20 1.87 0.02 0.17 0.08
