 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 27.01.13 00:00 0.11 0.01 0.41 1.64 0.20 0.05 0.08
 -------- 01:00 0.12 0.01 0.41 1.71 0.26 0.06 0.09
 -------- 02:00 0.11 0.01 0.42 1.72 0.25 0.05 0.08
 -------- 03:00 0.09 0.01 0.41 1.65 0.18 0.04 0.07
 -------- 04:00 0.08 0.01 0.40 1.64 0.17 0.04 0.07
 27.01.13 05:00 0.08 0.01 0.42 1.66 0.14 0.04 0.06
 -------- 06:00 0.09 0.01 0.45 1.65 0.17 0.04 0.06
 -------- 07:00 0.09 0.01 0.45 1.64 0.19 0.04 0.06
 -------- 08:00 0.09 0.01 0.45 1.67 0.18 0.04 0.05
 -------- 09:00 0.12 0.01 0.45 1.65 0.21 0.07 0.10
 27.01.13 10:00 0.17 0.01 0.46 1.72 0.36 0.06 0.09
 -------- 11:00 0.16 0.02 0.44 1.72 0.37 0.07 0.10
 -------- 12:00 0.17 0.04 0.45 1.76 0.36 0.08 0.11
 -------- 13:00 0.18 0.05 0.46 1.78 0.32 0.09 0.11
 -------- 14:00 0.12 0.09 0.40 1.64 0.19 0.07 0.09
 27.01.13 15:00 0.10 0.10 0.38 1.60 0.13 0.06 0.07
 -------- 16:00 0.10 0.08 0.38 1.67 0.12 0.21 0.07
 -------- 17:00 0.11 0.04 0.41 1.68 0.16 0.08 0.09
 -------- 18:00 0.19 0.01 0.50 1.87 0.32 0.13 0.16
 -------- 19:00 0.24 0.01 0.55 2.05 0.55 0.16 0.21
 27.01.13 20:00 0.25 0.01 0.50 2.13 0.45 0.16 0.20
 -------- 21:00 0.28 0.01 0.56 2.13 0.61 0.16 0.21
 -------- 22:00 0.21 0.01 0.49 2.02 0.44 0.13 0.17
 -------- 23:00 0.24 0.01 0.49 2.04 0.57 0.12 0.16
 -------- 00:00 0.18 0.01 0.45 2.12 0.43 0.12 0.15
 28.01.13 01:00 0.17 0.01 0.43 2.37 0.34 0.13 0.17
 -------- 02:00 0.19 0.01 0.45 2.41 0.49 0.14 0.18
 -------- 03:00 0.09 0.01 0.40 1.76 0.11 0.08 0.11
 -------- 04:00 0.07 0.01 0.37 1.63 0.04 0.06 0.08
 -------- 05:00 0.09 0.01 0.38 1.75 0.11 0.08 0.10
 28.01.13 06:00 0.16 0.01 0.57 2.21 0.51 0.17 0.26
 -------- 07:00 0.11 0.01 0.44 2.04 0.15 0.08 0.11
 -------- 08:00 0.13 0.01 0.46 1.97 0.18 0.07 0.10
 -------- 09:00 0.11 0.01 0.40 2.01 0.17 0.07 0.09
 -------- 10:00 0.09 0.02 0.38 1.89 0.16 0.08 0.10
 28.01.13 11:00 0.09 0.07 0.35 1.64 0.11 0.05 0.07
 -------- 12:00 0.08 0.09 0.31 1.60 0.09 0.06 0.08
 -------- 13:00 0.08 0.11 0.31 1.60 0.09 0.06 0.09
 -------- 14:00 0.09 0.09 0.35 1.70 0.13 0.07 0.10
 -------- 15:00 0.07 0.10 0.32 1.63 0.08 0.08 0.09
 28.01.13 16:00 0.07 0.13 0.30 1.58 0.05 0.07 0.09
 -------- 17:00 0.08 0.09 0.34 1.59 0.05 0.08 0.09
 -------- 18:00 0.09 0.02 0.39 1.61 0.06 0.09 0.11
 -------- 19:00 0.08 0.02 0.39 1.58 0.05 0.07 0.09
 -------- 20:00 0.08 0.02 0.39 1.58 0.05 0.07 0.10
 28.01.13 21:00 0.08 0.01 0.39 1.60 0.04 0.08 0.10
 -------- 22:00 0.07 0.01 0.38 1.60 0.04 0.08 0.10
 -------- 23:00 0.08 0.01 0.40 1.64 0.06 0.10 0.13
