 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 20.11.12 00:00 0.08 0.01 0.18 1.52 0.08 0.11 0.14
 -------- 01:00 0.08 0.01 0.17 1.49 0.07 0.09 0.13
 -------- 02:00 0.07 0.01 0.16 1.49 0.05 0.08 0.11
 -------- 03:00 0.07 0.01 0.15 1.47 0.05 0.07 0.11
 -------- 04:00 0.06 0.01 0.16 1.48 0.05 0.06 0.10
 20.11.12 05:00 0.08 0.01 0.20 1.51 0.07 0.08 0.12
 -------- 06:00 0.09 0.01 0.19 1.51 0.10 0.09 0.13
 -------- 07:00 0.09 0.01 0.18 1.52 0.11 0.08 0.11
 -------- 08:00 0.11 0.01 0.22 1.55 0.17 0.13 0.13
 -------- 09:00 0.14 0.01 0.20 1.58 0.23 0.14 0.15
 20.11.12 10:00 0.16 0.01 0.20 1.61 0.25 0.16 0.17
 -------- 11:00 0.14 0.01 0.21 1.61 0.22 0.13 0.14
 -------- 12:00 0.15 0.01 0.21 1.60 0.27 0.15 0.13
 -------- 13:00 0.15 0.01 0.23 1.63 0.28 0.14 0.13
 -------- 14:00 0.14 0.01 0.25 1.61 0.27 0.13 0.12
 20.11.12 15:00 0.11 0.01 0.29 1.58 0.20 0.12 0.12
 -------- 16:00 0.08 0.03 0.30 1.50 0.07 0.06 0.07
 -------- 17:00 0.10 0.02 0.32 1.52 0.08 0.09 0.10
 -------- 18:00 0.10 0.01 0.32 1.50 0.09 0.09 0.10
 -------- 19:00 0.10 0.01 0.33 1.51 0.09 0.09 0.10
 20.11.12 20:00 0.10 0.01 0.32 1.52 0.09 0.09 0.10
 -------- 21:00 0.13 0.01 0.30 1.54 0.07 0.11 0.14
 -------- 22:00 0.11 0.03 0.28 1.51 0.06 0.14 0.17
 -------- 23:00 0.09 0.02 0.30 1.49 0.06 0.08 0.10
 -------- 00:00 0.07 0.04 0.26 1.49 0.04 0.05 0.06
 21.11.12 01:00 0.07 0.06 0.24 1.44 0.03 0.04 0.05
 -------- 02:00 0.08 0.11 0.19 1.44 0.02 0.03 0.05
 -------- 03:00 0.08 0.11 0.19 1.45 0.02 0.03 0.05
 -------- 04:00 0.08 0.08 0.20 1.46 0.02 0.03 0.05
 -------- 05:00 0.08 0.11 0.20 1.46 0.03 0.03 0.05
 21.11.12 06:00 0.09 0.06 0.31 1.47 0.06 0.06 0.08
 -------- 07:00 0.10 0.01 0.32 1.48 0.09 0.07 0.07
 -------- 08:00 0.13 0.01 0.35 1.55 0.18 0.13 0.10
 -------- 09:00 0.13 0.01 0.34 1.51 0.14 0.11 0.08
 -------- 10:00 0.13 0.01 0.34 1.53 0.19 0.13 0.09
 21.11.12 11:00 0.11 0.02 0.32 1.52 0.16 0.12 0.10
 -------- 12:00 0.12 0.02 0.30 1.58 0.19 0.13 0.12
 -------- 13:00 0.14 0.01 0.31 1.61 0.21 0.17 0.17
 -------- 14:00 0.15 0.01 0.31 1.68 0.26 0.23 0.22
 -------- 15:00 0.18 0.01 0.30 1.66 0.25 0.29 0.34
 21.11.12 16:00 0.13 0.01 0.28 1.61 0.18 0.17 0.18
 -------- 17:00 0.17 0.01 0.27 1.63 0.18 0.30 0.42
 -------- 18:00 0.16 0.01 0.28 1.65 0.16 0.24 0.31
 -------- 19:00 0.13 0.01 0.30 1.58 0.18 0.16 0.16
 -------- 20:00 0.15 0.01 0.35 1.58 0.18 0.16 0.17
 21.11.12 21:00 0.14 0.01 0.33 1.58 0.13 0.16 0.17
 -------- 22:00 0.13 0.01 0.32 1.55 0.07 0.14 0.16
 -------- 23:00 0.12 0.01 0.31 1.57 0.10 0.11 0.12
 -------- 00:00 0.12 0.01 0.33 1.63 0.20 0.15 0.14
