 Date Time CO NO2 CHX NO PM10
 17.09.12 00:00 0.13 0.24 1.53 0.19 0.10
 -------- 01:00 0.17 0.20 1.67 0.20 0.08
 -------- 02:00 0.21 0.18 1.81 0.38 0.09
 -------- 03:00 0.15 0.16 1.81 0.29 0.06
 -------- 04:00 0.29 0.14 1.95 0.48 0.06
 17.09.12 05:00 0.18 0.17 1.87 0.57 0.08
 -------- 06:00 0.23 0.18 1.99 0.87 0.11
 -------- 07:00 0.36 0.23 2.05 1.16 0.16
 -------- 08:00 0.50 0.51 2.12 1.42 0.33
 -------- 09:00 0.23 0.30 1.76 0.41 0.14
 17.09.12 10:00 0.17 0.38 1.58 0.23 0.10
 -------- 11:00 0.11 0.32 1.50 0.13 0.08
 -------- 12:00 0.10 0.26 1.46 0.09 0.07
 -------- 13:00 0.04 0.17 1.40 0.03 0.03
 -------- 14:00 0.05 0.23 1.41 0.04 0.05
 17.09.12 15:00 0.06 0.22 1.43 0.04 0.06
 -------- 16:00 0.09 0.22 1.50 0.04 0.13
 -------- 17:00 0.06 0.24 1.42 0.05 0.07
 -------- 18:00 0.09 0.31 1.43 0.08 0.09
 -------- 19:00 0.11 0.33 1.48 0.13 0.15
 17.09.12 20:00 0.28 0.31 1.80 0.46 0.34
 -------- 21:00 0.50 0.35 2.08 1.01 0.69
 -------- 22:00 0.40 0.30 1.95 0.92 0.58
 -------- 23:00 0.41 0.25 2.00 0.87 0.48
 -------- 00:00 0.44 0.21 2.03 0.95 0.46
 18.09.12 01:00 0.41 0.21 2.31 0.98 0.37
 -------- 02:00 0.35 0.17 2.96 0.80 0.32
 -------- 03:00 0.36 0.14 3.29 0.82 0.33
 -------- 04:00 0.34 0.14 3.57 0.86 0.38
 -------- 05:00 0.37 0.14 3.56 0.93 0.39
 18.09.12 06:00 0.37 0.18 3.83 1.00 0.37
 -------- 07:00 0.41 0.21 3.72 1.16 0.39
 -------- 08:00 0.50 0.27 3.36 1.44 0.57
 -------- 09:00 0.54 0.35 3.14 1.41 0.48
 -------- 10:00 0.38 0.44 2.32 0.97 0.29
 18.09.12 11:00 0.27 0.47 1.97 0.64 0.21
 -------- 12:00 0.14 0.48 1.85 0.30 0.17
 -------- 13:00 0.06 0.27 1.58 0.09 0.11
 -------- 14:00 ---- 0.15 1.39 0.02 0.03
 -------- 15:00 ---- 0.18 1.39 0.01 0.05
 18.09.12 16:00 0.04 0.21 1.40 0.01 0.05
 -------- 17:00 0.07 0.28 1.42 0.02 0.06
 -------- 18:00 0.09 0.34 1.48 0.03 0.06
 -------- 19:00 0.12 0.37 1.51 0.10 0.08
 -------- 20:00 0.33 0.35 1.85 0.53 0.34
 18.09.12 21:00 0.42 0.36 2.14 0.78 0.44
 -------- 22:00 0.40 0.32 2.20 0.74 0.45
 -------- 23:00 0.29 0.34 2.10 0.52 0.32
 -------- 00:00 0.16 0.37 1.96 0.28 0.19
