 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 30.01.13 12:00 0.12 0.04 0.32 1.70 0.14 0.13 0.12
 -------- 13:00 0.11 0.05 0.31 1.63 0.13 0.12 0.13
 -------- 14:00 0.11 0.06 0.30 1.67 0.12 0.12 0.14
 -------- 15:00 0.09 0.09 0.27 1.61 0.07 0.11 0.13
 -------- 16:00 0.10 0.04 0.36 1.71 0.13 0.12 0.14
 30.01.13 17:00 0.11 0.02 0.37 1.68 0.12 0.12 0.15
 -------- 18:00 0.13 0.01 0.39 1.70 0.12 0.13 0.17
 -------- 19:00 0.12 0.01 0.39 1.67 0.10 0.10 0.12
 -------- 20:00 0.09 0.02 0.37 1.58 0.06 0.09 0.10
 -------- 21:00 0.08 0.06 0.34 1.53 0.03 0.06 0.07
 30.01.13 22:00 0.08 0.08 0.31 1.52 0.02 0.07 0.08
 -------- 23:00 0.06 0.16 0.23 1.50 0.01 0.06 0.06
 -------- 00:00 0.06 0.15 0.23 1.52 0.01 0.06 0.07
 -------- 01:00 0.06 0.14 0.24 1.51 0.01 0.07 0.08
 -------- 02:00 0.06 0.17 0.20 1.50 0.01 0.06 0.08
 31.01.13 03:00 0.06 0.19 0.19 1.50 0.01 0.08 0.09
 -------- 04:00 0.05 0.16 0.22 1.50 0.01 0.08 0.09
 -------- 05:00 0.06 0.14 0.24 1.50 0.01 0.07 0.08
 -------- 06:00 0.07 0.08 0.28 1.53 0.03 0.07 0.08
 -------- 07:00 0.08 0.07 0.29 1.52 0.03 0.08 0.10
 31.01.13 08:00 0.09 0.05 0.31 1.54 0.04 0.08 0.11
 -------- 09:00 0.08 0.05 0.31 1.55 0.07 0.08 0.10
 -------- 10:00 0.08 0.05 0.29 1.57 0.07 0.07 0.10
 -------- 11:00 0.08 0.05 0.27 1.61 0.07 0.08 0.12
 -------- 12:00 0.08 0.10 0.22 1.55 0.05 0.09 0.13
 31.01.13 13:00 0.07 0.15 0.21 1.52 0.03 0.08 0.11
 -------- 14:00 0.06 0.17 0.20 1.52 0.03 0.08 0.11
 -------- 15:00 0.06 0.17 0.21 1.54 0.05 0.08 0.11
 -------- 16:00 0.07 0.18 0.21 1.54 0.03 0.07 0.10
 -------- 17:00 0.06 0.23 0.20 1.50 0.02 0.06 0.09
 31.01.13 18:00 0.07 0.24 0.22 1.52 0.01 0.06 0.09
 -------- 19:00 0.06 0.20 0.22 1.51 0.02 0.06 0.10
 -------- 20:00 0.06 0.19 0.24 1.52 0.02 0.07 0.10
 -------- 21:00 0.06 0.21 0.20 1.50 0.01 0.07 0.09
 -------- 22:00 0.06 0.18 0.20 1.52 0.01 0.08 0.11
 31.01.13 23:00 0.06 0.17 0.18 1.52 0.01 0.09 0.11
 -------- 00:00 0.06 0.18 0.17 1.53 0.01 0.09 0.13
 -------- 01:00 0.06 0.19 0.16 1.54 0.01 0.09 0.14
 -------- 02:00 0.06 0.16 0.17 1.54 0.01 0.09 0.13
 -------- 03:00 0.06 0.16 0.16 1.53 0.01 0.10 0.15
 01.02.13 04:00 0.06 0.16 0.16 1.53 0.01 0.09 0.13
 -------- 05:00 0.06 0.13 0.19 1.54 0.03 0.08 0.12
 -------- 06:00 0.08 0.08 0.23 1.55 0.05 0.09 0.12
 -------- 07:00 0.07 0.08 0.23 1.55 0.02 0.08 0.12
 -------- 08:00 0.08 0.06 0.26 1.55 0.04 0.08 0.12
 01.02.13 09:00 0.08 0.05 0.28 1.58 0.08 0.09 0.13
