 Date Time CO OZ NO2 CHX NO PM10
 07.04.13 12:00 0.14 0.49 0.18 1.51 0.05 0.14
 -------- 13:00 0.14 0.43 0.24 1.54 0.06 0.14
 -------- 14:00 0.14 0.39 0.33 1.55 0.07 0.12
 -------- 15:00 0.10 0.44 0.26 1.46 0.06 0.05
 -------- 16:00 0.10 0.45 0.23 1.44 0.05 0.07
 07.04.13 17:00 0.12 0.41 0.26 1.50 0.05 0.16
 -------- 18:00 0.12 0.41 0.23 1.50 0.04 0.09
 -------- 19:00 0.09 0.45 0.25 1.46 0.04 0.04
 -------- 20:00 0.14 0.29 0.44 1.58 0.07 0.08
 -------- 21:00 0.13 0.23 0.38 1.55 0.05 0.11
 07.04.13 22:00 0.13 0.24 0.37 1.51 0.05 0.06
 -------- 23:00 0.16 0.19 0.41 1.52 0.05 0.07
 -------- 00:00 0.08 0.23 0.37 1.47 0.04 0.06
 -------- 01:00 0.06 0.26 0.34 1.46 0.02 0.05
 -------- 02:00 0.06 0.26 0.31 1.46 0.02 0.05
 08.04.13 03:00 0.06 0.13 0.40 1.50 0.02 0.06
 -------- 04:00 0.06 0.05 0.46 1.58 0.03 0.05
 -------- 05:00 0.09 0.01 0.49 1.63 0.22 0.17
 -------- 06:00 0.15 0.01 0.66 1.72 0.37 0.23
 -------- 07:00 0.26 0.02 0.78 2.09 0.53 0.44
 08.04.13 08:00 0.21 0.02 0.61 2.04 0.50 0.33
 -------- 09:00 0.14 0.06 0.57 1.74 0.27 0.18
 -------- 10:00 0.09 0.23 0.39 1.49 0.10 0.12
 -------- 11:00 0.07 0.36 0.31 1.46 0.07 0.10
 -------- 12:00 0.08 0.37 0.35 1.50 0.08 0.09
 08.04.13 13:00 0.09 0.34 0.40 1.56 0.10 0.12
 -------- 14:00 0.06 0.44 0.36 1.42 0.06 0.11
 -------- 15:00 0.07 0.36 0.40 1.52 0.07 0.10
 -------- 16:00 0.07 0.37 0.38 1.51 0.07 0.11
 -------- 17:00 0.07 0.33 0.43 1.50 0.10 0.12
 08.04.13 18:00 0.05 0.50 0.31 1.49 0.04 0.10
 -------- 19:00 0.09 0.41 0.41 1.54 0.03 0.08
 -------- 20:00 0.14 0.08 0.68 1.98 0.10 0.16
 -------- 21:00 0.20 0.02 0.70 1.90 0.26 0.19
 -------- 22:00 0.33 0.01 0.77 2.22 0.57 0.27
 08.04.13 23:00 0.23 0.01 0.69 2.03 0.43 0.17
 -------- 00:00 0.22 0.01 0.60 1.99 0.42 0.13
 -------- 01:00 0.24 0.01 0.59 2.09 0.46 0.14
 -------- 02:00 0.22 0.01 0.54 2.18 0.51 0.15
 -------- 03:00 0.23 0.01 0.56 2.31 0.71 0.20
 09.04.13 04:00 0.25 0.01 0.62 2.44 0.86 0.24
 -------- 05:00 0.26 0.01 0.72 2.35 1.11 0.27
 -------- 06:00 0.43 0.01 1.10 2.90 1.57 0.46
 -------- 07:00 0.41 0.02 1.03 3.06 1.51 0.39
 -------- 08:00 0.19 0.04 0.71 2.09 0.48 0.14
 09.04.13 09:00 0.12 0.12 0.53 2.51 0.15 0.13
 -------- 10:00 0.09 0.29 0.40 2.43 0.08 0.16
 -------- 11:00 0.08 0.42 0.31 1.77 0.05 0.12
