 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 12.01.13 00:00 0.06 0.14 0.16 1.56 0.03 0.07 0.11
 -------- 01:00 0.06 0.17 0.13 1.80 0.02 0.08 0.12
 -------- 02:00 0.07 0.10 0.21 2.18 0.06 0.07 0.12
 -------- 03:00 0.08 0.07 0.22 2.16 0.03 0.08 0.13
 -------- 04:00 0.06 0.13 0.16 1.81 0.01 0.09 0.14
 12.01.13 05:00 0.07 0.10 0.20 1.88 0.02 0.09 0.15
 -------- 06:00 0.08 0.08 0.21 1.87 0.03 0.09 0.14
 -------- 07:00 0.08 0.07 0.21 1.87 0.02 0.08 0.14
 -------- 08:00 0.10 0.03 0.32 2.07 0.17 0.10 0.17
 -------- 09:00 0.11 0.01 0.30 1.77 0.18 0.09 0.15
 12.01.13 10:00 0.11 0.02 0.27 1.58 0.16 0.09 0.14
 -------- 11:00 0.09 0.04 0.22 1.58 0.12 0.09 0.13
 -------- 12:00 0.10 0.06 0.21 1.58 0.11 0.09 0.12
 -------- 13:00 0.13 0.06 0.22 1.98 0.14 0.09 0.14
 -------- 14:00 0.11 0.07 0.20 1.59 0.12 0.10 0.15
 12.01.13 15:00 0.15 0.05 0.24 1.66 0.14 0.11 0.17
 -------- 16:00 0.12 0.04 0.24 1.69 0.13 0.09 0.15
 -------- 17:00 0.13 0.03 0.25 1.69 0.13 0.11 0.17
 -------- 18:00 0.18 0.01 0.26 2.04 0.11 0.09 0.16
 -------- 19:00 0.13 0.01 0.29 1.95 0.18 0.11 0.17
 12.01.13 20:00 0.12 0.01 0.27 1.79 0.16 0.11 0.17
 -------- 21:00 0.13 0.01 0.28 1.74 0.23 0.11 0.17
 -------- 22:00 0.13 0.01 0.28 1.82 0.17 0.09 0.16
 -------- 23:00 0.13 0.01 0.27 1.76 0.16 0.09 0.16
 -------- 00:00 0.13 0.01 0.27 1.88 0.19 0.10 0.17
 13.01.13 01:00 0.15 0.01 0.34 1.99 0.29 0.12 0.19
 -------- 02:00 0.18 0.01 0.29 1.98 0.34 0.13 0.21
 -------- 03:00 0.15 0.01 0.28 1.91 0.31 0.11 0.18
 -------- 04:00 0.12 0.01 0.29 1.86 0.30 0.09 0.14
 -------- 05:00 0.11 0.01 0.29 1.82 0.25 0.08 0.14
 13.01.13 06:00 0.10 0.01 0.29 1.74 0.20 0.09 0.14
 -------- 07:00 0.10 0.01 0.33 1.66 0.18 0.09 0.14
 -------- 08:00 0.26 0.04 0.67 2.26 0.26 0.31 0.48
 -------- 09:00 0.11 0.02 0.33 1.67 0.13 0.05 0.09
 -------- 10:00 0.09 0.01 0.28 1.62 0.12 0.07 0.11
 13.01.13 11:00 0.08 0.03 0.26 1.61 0.11 0.08 0.13
 -------- 12:00 0.12 0.05 0.38 1.68 0.15 0.13 0.21
 -------- 13:00 0.11 0.06 0.29 1.61 0.12 0.09 0.13
 -------- 14:00 0.09 0.07 0.27 1.58 0.09 0.09 0.14
 -------- 15:00 0.10 0.06 0.29 1.57 0.11 0.08 0.13
 13.01.13 16:00 0.09 0.04 0.32 1.56 0.14 0.08 0.12
 -------- 17:00 0.13 0.03 0.41 1.70 0.18 0.12 0.19
 -------- 18:00 0.09 0.01 0.36 1.59 0.13 0.08 0.12
 -------- 19:00 0.09 0.01 0.33 1.58 0.13 0.07 0.11
 -------- 20:00 0.08 0.01 0.33 1.57 0.12 0.06 0.10
 13.01.13 21:00 0.08 0.01 0.33 1.60 0.10 0.09 0.14
 -------- 22:00 0.09 0.01 0.32 1.60 0.13 0.06 0.10
 -------- 23:00 0.09 0.01 0.31 1.60 0.10 0.05 0.08
