 Date Time CO H2S NO2 NO
 01.10.12 23:00 0.23 0.25 0.22 0.28
 -------- 00:00 0.22 0.21 0.21 0.26
 -------- 01:00 0.65 0.42 0.24 0.74
 -------- 02:00 0.59 1.12 0.24 0.73
 -------- 03:00 0.23 1.50 0.20 0.43
 02.10.12 04:00 0.19 0.96 0.17 0.25
 -------- 05:00 0.23 0.58 0.17 0.36
 -------- 06:00 0.37 0.58 0.20 0.62
 -------- 07:00 0.42 0.42 0.21 0.67
 -------- 08:00 0.51 0.38 0.24 0.71
 02.10.12 09:00 0.43 0.29 0.25 0.70
 -------- 10:00 0.36 0.25 0.25 0.56
 -------- 11:00 0.23 0.25 0.22 0.35
 -------- 12:00 0.13 ---- 0.18 0.16
 -------- 13:00 0.11 0.12 0.18 0.12
 02.10.12 14:00 0.09 0.21 0.17 0.09
 -------- 15:00 0.10 0.12 0.17 0.08
 -------- 16:00 0.11 0.12 0.20 0.11
 -------- 17:00 0.15 0.17 0.23 0.13
 -------- 18:00 0.22 0.17 0.23 0.17
 02.10.12 19:00 0.21 0.38 0.23 0.22
 -------- 20:00 0.26 0.54 0.24 0.28
 -------- 21:00 0.25 0.42 0.23 0.25
 -------- 22:00 0.15 0.25 0.21 0.15
 -------- 23:00 0.13 0.21 0.20 0.12
 03.10.12 00:00 0.09 0.33 0.19 0.09
 -------- 01:00 0.07 0.19 0.18 0.06
 -------- 02:00 0.07 ---- 0.17 0.06
 -------- 03:00 0.05 0.12 0.14 0.03
 -------- 04:00 0.04 0.21 0.13 0.02
 03.10.12 05:00 0.04 0.25 0.12 0.02
 -------- 06:00 0.05 0.12 0.12 0.03
 -------- 07:00 0.06 0.12 0.12 0.03
 -------- 08:00 0.08 0.12 0.13 0.04
 -------- 09:00 0.11 0.42 0.14 0.08
 03.10.12 10:00 0.11 0.54 0.15 0.08
 -------- 11:00 0.16 0.44 0.16 0.16
 -------- 12:00 0.15 ---- 0.16 0.17
 -------- 13:00 0.16 0.12 0.16 0.18
 -------- 14:00 0.17 0.25 0.17 0.22
 03.10.12 15:00 0.13 0.17 0.16 0.16
 -------- 16:00 0.09 0.17 0.17 0.19
 -------- 17:00 0.07 0.38 0.18 0.24
 -------- 18:00 0.08 0.42 0.18 0.26
 -------- 19:00 0.19 0.31 0.17 0.26
 03.10.12 20:00 0.43 ---- 0.17 0.26
 -------- 21:00 0.49 0.25 0.17 0.30
 -------- 22:00 0.50 0.25 0.17 0.31
