 Date Time CO H2S NO2 CHX NO
 21.03.13 12:00 0.09 0.12 0.35 1.65 0.14
 -------- 13:00 0.08 0.21 0.35 1.61 0.12
 -------- 14:00 0.09 0.25 0.36 1.66 0.11
 -------- 15:00 0.08 0.38 0.36 1.64 0.12
 -------- 16:00 0.07 0.38 0.37 1.61 0.10
 21.03.13 17:00 0.08 0.38 0.36 1.59 0.09
 -------- 18:00 0.09 0.38 0.36 1.60 0.09
 -------- 19:00 0.09 0.38 0.36 1.62 0.08
 -------- 20:00 0.09 0.29 0.34 1.57 0.06
 -------- 21:00 0.09 0.21 0.34 1.55 0.06
 21.03.13 22:00 0.08 0.12 0.36 1.53 0.06
 -------- 23:00 0.09 0.12 0.36 1.53 0.06
 -------- 00:00 0.07 0.12 0.33 1.51 0.03
 -------- 01:00 0.08 0.12 0.34 1.53 0.05
 -------- 02:00 0.08 0.21 0.37 1.57 0.09
 22.03.13 03:00 0.08 0.21 0.36 1.60 0.08
 -------- 04:00 0.06 0.25 0.37 1.62 0.08
 -------- 05:00 0.08 0.25 0.39 1.67 0.14
 -------- 06:00 0.09 0.25 0.38 1.72 0.14
 -------- 07:00 0.08 0.21 0.34 1.70 0.06
 22.03.13 08:00 0.12 0.29 0.37 1.71 0.11
 -------- 09:00 0.15 0.29 0.40 1.86 0.21
 -------- 10:00 0.13 0.29 0.40 1.85 0.18
 -------- 11:00 0.16 0.29 0.44 1.79 0.26
 -------- 12:00 0.12 0.25 0.42 1.67 0.21
 22.03.13 13:00 0.09 0.25 0.36 1.58 0.08
 -------- 14:00 0.09 0.38 0.35 1.58 0.08
 -------- 15:00 0.09 0.38 0.35 1.58 0.09
 -------- 16:00 0.08 0.46 0.34 1.54 0.09
 -------- 17:00 0.13 0.50 0.34 1.58 0.09
 22.03.13 18:00 0.11 0.50 0.36 1.57 0.09
 -------- 19:00 0.08 0.46 0.35 1.56 0.10
 -------- 20:00 0.05 0.33 0.30 1.53 0.04
 -------- 21:00 0.04 0.21 0.26 1.50 0.03
 -------- 22:00 0.04 0.12 0.24 1.49 0.03
 22.03.13 23:00 0.04 0.12 0.24 1.52 0.04
 -------- 00:00 0.05 0.12 0.21 1.49 0.03
 -------- 01:00 0.04 0.12 0.20 1.48 0.03
 -------- 02:00 0.03 0.12 0.18 1.48 0.01
 -------- 03:00 0.04 0.12 0.20 1.49 0.02
 23.03.13 04:00 0.05 0.12 0.24 1.50 0.03
 -------- 05:00 0.04 0.12 0.23 1.48 0.03
 -------- 06:00 0.04 0.12 0.20 1.47 0.01
 -------- 07:00 0.05 0.12 0.23 1.50 0.02
 -------- 08:00 0.05 0.12 0.26 1.52 0.04
 23.03.13 09:00 0.06 0.12 0.26 1.53 0.04
 -------- 10:00 0.05 0.12 0.26 1.50 0.04
 -------- 11:00 0.06 0.12 0.26 1.54 0.03
