 Date Time CO H2S NO2 CHX NO
 18.02.13 00:00 0.11 ---- 0.15 1.58 0.03
 -------- 01:00 0.09 ---- 0.13 1.56 0.01
 -------- 02:00 0.09 ---- 0.12 1.55 0.01
 -------- 03:00 0.08 ---- 0.11 1.53 0.01
 -------- 04:00 0.07 ---- 0.12 1.53 0.00
 18.02.13 05:00 0.09 ---- 0.17 1.54 0.03
 -------- 06:00 0.10 ---- 0.17 1.56 0.04
 -------- 07:00 0.09 ---- 0.17 1.55 0.04
 -------- 08:00 0.08 ---- 0.16 1.56 0.02
 -------- 09:00 0.08 ---- 0.16 1.57 0.03
 18.02.13 10:00 0.09 ---- 0.19 1.60 0.06
 -------- 11:00 0.09 ---- 0.20 1.58 0.07
 -------- 12:00 0.10 ---- 0.21 1.57 0.09
 -------- 13:00 0.11 ---- 0.21 1.62 0.10
 -------- 14:00 0.11 ---- 0.21 1.64 0.09
 18.02.13 15:00 0.13 ---- 0.24 1.68 0.15
 -------- 16:00 0.14 ---- 0.24 1.73 0.15
 -------- 17:00 0.15 ---- 0.24 1.79 0.15
 -------- 18:00 0.18 ---- 0.23 1.81 0.16
 -------- 19:00 0.10 ---- 0.21 1.77 0.09
 18.02.13 20:00 0.09 ---- 0.21 1.71 0.07
 -------- 21:00 0.08 ---- 0.20 1.66 0.05
 -------- 22:00 0.07 ---- 0.19 1.62 0.04
 -------- 23:00 0.07 ---- 0.17 1.59 0.03
 -------- 00:00 0.08 ---- 0.20 1.62 0.06
 19.02.13 01:00 0.08 ---- 0.20 1.62 0.06
 -------- 02:00 0.08 ---- 0.21 1.64 0.06
 -------- 03:00 0.06 ---- 0.21 1.66 0.05
 -------- 04:00 0.07 ---- 0.21 1.71 0.07
 -------- 05:00 0.08 ---- 0.22 1.70 0.10
 19.02.13 06:00 0.09 ---- 0.23 1.70 0.16
 -------- 07:00 0.09 ---- 0.22 1.68 0.12
 -------- 08:00 0.11 ---- 0.23 1.72 0.10
 -------- 09:00 0.12 ---- 0.24 1.71 0.14
 -------- 10:00 0.13 ---- 0.24 1.80 0.15
 19.02.13 11:00 0.13 ---- 0.26 1.75 0.18
 -------- 12:00 0.13 ---- 0.25 1.78 0.21
 -------- 13:00 0.11 ---- 0.21 1.70 0.14
 -------- 14:00 0.12 ---- 0.21 1.69 0.14
 -------- 15:00 0.12 ---- 0.22 1.73 0.15
 19.02.13 16:00 0.11 ---- 0.24 1.82 0.17
 -------- 17:00 0.13 ---- 0.25 1.78 0.17
 -------- 18:00 0.13 ---- 0.26 1.75 0.18
 -------- 19:00 0.11 ---- 0.24 1.68 0.11
 -------- 20:00 0.12 ---- 0.25 1.68 0.11
