 Date Time CO H2S NO2 NO
 08.10.12 12:00 0.18 0.25 0.22 0.17
 -------- 13:00 0.18 0.19 0.23 0.16
 -------- 14:00 0.16 ---- 0.20 0.14
 -------- 15:00 0.15 0.12 0.18 0.11
 -------- 16:00 0.13 0.12 0.18 0.10
 08.10.12 17:00 0.14 0.25 0.18 0.11
 -------- 18:00 0.15 0.25 0.17 0.09
 -------- 19:00 0.13 0.19 0.17 0.08
 -------- 20:00 0.09 ---- 0.17 0.09
 -------- 21:00 0.10 0.25 0.17 0.09
 08.10.12 22:00 0.11 0.21 0.18 0.14
 -------- 23:00 0.13 0.17 0.19 0.18
 -------- 00:00 0.14 0.21 0.19 0.19
 -------- 01:00 0.10 0.12 0.18 0.13
 -------- 02:00 0.05 0.12 0.16 0.10
 09.10.12 03:00 0.03 0.50 0.15 0.06
 -------- 04:00 0.05 0.54 0.17 0.09
 -------- 05:00 0.05 0.29 0.15 0.08
 -------- 06:00 0.07 0.12 0.16 0.10
 -------- 07:00 0.11 0.12 0.18 0.14
 09.10.12 08:00 0.16 0.21 0.19 0.13
 -------- 09:00 0.18 0.12 0.19 0.17
 -------- 10:00 0.20 0.12 0.21 0.23
 -------- 11:00 0.17 0.12 0.21 0.20
 -------- 12:00 0.15 0.21 0.19 0.16
 09.10.12 13:00 0.18 0.12 0.21 0.17
 -------- 14:00 0.12 0.12 0.18 0.09
 -------- 15:00 0.13 0.38 0.19 0.12
 -------- 16:00 0.12 0.50 0.19 0.09
 -------- 17:00 0.14 0.29 0.20 0.12
 09.10.12 18:00 0.11 0.12 0.17 0.06
 -------- 19:00 0.11 0.12 0.18 0.07
 -------- 20:00 0.12 0.12 0.16 0.07
 -------- 21:00 0.12 0.12 0.15 0.08
 -------- 22:00 0.14 0.25 0.17 0.10
 09.10.12 23:00 0.19 0.17 0.20 0.16
 -------- 00:00 0.18 0.12 0.19 0.13
 -------- 01:00 0.14 0.12 0.17 0.13
 -------- 02:00 0.12 0.12 0.15 0.08
 -------- 03:00 0.11 0.12 0.14 0.06
 10.10.12 04:00 0.08 0.12 0.13 0.05
 -------- 05:00 0.07 0.38 0.15 0.04
 -------- 06:00 0.11 0.50 0.18 0.12
 -------- 07:00 0.10 0.25 0.15 0.07
 -------- 08:00 0.14 0.38 0.19 0.13
 10.10.12 09:00 0.17 0.25 0.19 0.19
 -------- 10:00 0.15 0.12 0.17 0.18
